Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-10-25 18:00:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:01:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:02:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:03:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:04:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:05:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:06:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:07:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:08:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:09:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:10:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:11:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:12:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:13:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:14:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:15:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:16:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:17:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:18:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:19:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:20:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:21:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:22:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:23:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:24:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:25:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:26:00,0,0,0,0,0,0,0,0,0,100,0,100,7.254220579,100.4906447,0.217159686
2016-10-25 18:27:00,0,0,0,0,0,0,0,0,0,100,0,100,7.514203741,100.5251702,0.217234295
2016-10-25 18:28:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:29:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:30:00,0,0,0,0,0,0,0,0,0,100,0,100,7.771630025,100.5604279,0.217310487
2016-10-25 18:31:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:32:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:33:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:34:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:35:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:36:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:37:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:38:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:39:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:40:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:41:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:42:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:43:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:44:00,0,0,0,0,0,0,79,0,79,100,79,21,7.771630025,102.0992288,0.220635827
2016-10-25 18:45:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:46:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:47:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:48:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:49:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:50:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:51:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:52:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 18:53:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 18:54:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 18:55:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 18:56:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:57:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:58:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 18:59:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:00:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:01:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:02:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:03:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:04:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:05:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:06:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:07:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:08:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:09:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:10:00,0,0,0,0,0,0,0,0,0,100,0,100,10.46427587,100.9912804,0.218241557
2016-10-25 19:11:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:12:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:13:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:14:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:15:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:16:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:17:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:18:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:19:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:20:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:21:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:22:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:23:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:24:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:25:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:26:00,0,0,0,0,0,0,0,0,0,100,0,100,9.752131041,100.866535,0.217971983
2016-10-25 19:27:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:28:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:29:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:30:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:31:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:32:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:33:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:34:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:35:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:36:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:37:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:38:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:39:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:40:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:41:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
2016-10-25 19:42:00,0,0,0,0,0,0,0,0,0,100,0,100,10.22851404,100.9491419,0.218150496
