Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,BA5_CFM,BA6_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-09-20 18:00:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.7637251,192.9644337,0.275532271
2016-09-20 18:01:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.7637251,192.9644337,0.275532271
2016-09-20 18:02:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.7637251,192.9644337,0.275532271
2016-09-20 18:03:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.7637251,192.9644337,0.275532271
2016-09-20 18:04:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.7637251,192.9644337,0.275532271
2016-09-20 18:05:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.56798328,192.9103279,0.275455014
2016-09-20 18:06:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.56798328,192.9103279,0.275455014
2016-09-20 18:07:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.56798328,192.9103279,0.275455014
2016-09-20 18:08:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.37348382,192.8569835,0.275378844
2016-09-20 18:09:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.37348382,192.8569835,0.275378844
2016-09-20 18:10:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.18037051,192.8044334,0.275303808
2016-09-20 18:11:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.18037051,192.8044334,0.275303808
2016-09-20 18:12:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.18037051,192.8044334,0.275303808
2016-09-20 18:13:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.18037051,192.8044334,0.275303808
2016-09-20 18:14:00,0,0,0,0,100,78,0,0,0,0,178,190,178,12,19.18037051,201.7986607,0.288146589
2016-09-20 18:15:00,0,0,0,0,100,78,0,0,0,0,178,190,178,12,19.18037051,201.7986607,0.288146589
2016-09-20 18:16:00,0,0,0,0,100,78,0,0,0,0,178,190,178,12,19.18037051,201.7986607,0.288146589
2016-09-20 18:17:00,0,0,0,0,100,78,0,0,0,0,178,190,178,12,19.18037051,201.7986607,0.288146589
2016-09-20 18:18:00,0,0,0,0,100,78,0,0,0,0,178,190,178,12,19.18037051,201.7986607,0.288146589
2016-09-20 18:19:00,0,0,0,0,100,78,0,0,0,0,178,190,178,12,19.18037051,201.7986607,0.288146589
2016-09-20 18:20:00,0,0,0,0,100,78,0,0,0,0,178,190,178,12,19.18037051,201.7986607,0.288146589
2016-09-20 18:21:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.18037051,192.8044334,0.275303808
2016-09-20 18:22:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.37348382,192.8569835,0.275378844
2016-09-20 18:23:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.37348382,192.8569835,0.275378844
2016-09-20 18:24:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.37348382,192.8569835,0.275378844
2016-09-20 18:25:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.37348382,192.8569835,0.275378844
2016-09-20 18:26:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.37348382,192.8569835,0.275378844
2016-09-20 18:27:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.56798328,192.9103279,0.275455014
2016-09-20 18:28:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.56798328,192.9103279,0.275455014
2016-09-20 18:29:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.56798328,192.9103279,0.275455014
2016-09-20 18:30:00,0,0,0,0,0,78,0,0,0,0,78,190,78,112,19.56798328,192.9103279,0.275455014
