Time,BA1_CFM,TO1_CFM,BA2_CFM,LAU_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-08-25 18:00:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:01:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:02:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:03:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:04:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:05:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:06:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:07:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:08:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:09:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:10:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:11:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:12:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:13:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:14:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:15:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:16:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:17:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:18:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:19:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:20:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:21:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:22:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:23:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:24:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:25:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:26:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:27:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:28:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:29:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:30:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:31:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:32:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:33:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:34:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:35:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:36:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:37:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:38:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:39:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:40:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:41:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:42:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:43:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:44:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:45:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:46:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:47:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:48:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:49:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:50:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:51:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:52:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:53:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:54:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:55:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:56:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
2016-08-25 18:57:00,0,0,0,72,0,72,0,0,72,NA,NA,NA
