Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH,
2017-11-07 18:00:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:01:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:02:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:03:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:04:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:05:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:06:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:07:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:08:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:09:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:10:00,0,0,0,0,73,0,0,73,0,0,73,35.82037308,84.79098262,0.213956555,
2017-11-07 18:11:00,0,0,0,0,73,0,0,73,0,0,73,35.47087759,84.59927148,0.213472802,
2017-11-07 18:12:00,0,0,0,0,73,0,0,73,0,0,73,35.47087759,84.59927148,0.213472802,
2017-11-07 18:13:00,0,0,0,0,73,0,0,73,0,0,73,35.47087759,84.59927148,0.213472802,
2017-11-07 18:14:00,0,0,0,0,73,0,0,73,0,0,73,35.47087759,84.59927148,0.213472802,
2017-11-07 18:15:00,0,0,0,0,73,0,0,73,0,0,73,35.47087759,84.59927148,0.213472802,
2017-11-07 18:16:00,0,0,0,0,73,0,0,73,0,0,73,35.47087759,84.59927148,0.213472802,
2017-11-07 18:17:00,0,0,0,0,73,0,0,73,0,0,73,35.47087759,84.59927148,0.213472802,
