Time,BA1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,TO1_CFM,TO2_CFM,TO3_CFM,BA5_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-11-28 18:00:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,79.8589894776396,141.948112986889,0.173283556036894
2017-11-28 18:01:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,79.8589894776396,141.948112986889,0.173283556036894
2017-11-28 18:02:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,79.8589894776396,141.948112986889,0.173283556036894
2017-11-28 18:03:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,79.8589894776396,141.948112986889,0.173283556036894
2017-11-28 18:04:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:05:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:06:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:07:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:08:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:09:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:10:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:11:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:12:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:13:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:14:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:15:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:16:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:17:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:18:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.3854790009823,142.301079194027,0.173714440521701
2017-11-28 18:19:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.9105783966326,142.65407682323,0.174145363365082
2017-11-28 18:20:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.9105783966326,142.65407682323,0.174145363365082
2017-11-28 18:21:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.9105783966326,142.65407682323,0.174145363365082
2017-11-28 18:22:00,0,0,0,0,0,0,0,0,108,0,0,108,0,0,108,80.9105783966326,142.65407682323,0.174145363365082
