Time,BA2_CFM,BA3_CFM,TO1_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-07-10 18:00:00,0,0,0,0,0,0,0,0,0,62.4487193500261,62.4487193500261,0.172748877870058
2017-07-10 18:01:00,0,0,0,0,0,0,0,0,0,62.4487193500261,62.4487193500261,0.172748877870058
2017-07-10 18:02:00,0,0,0,0,0,0,0,0,0,62.4487193500261,62.4487193500261,0.172748877870058
2017-07-10 18:03:00,0,0,0,0,0,0,0,0,0,62.4487193500261,62.4487193500261,0.172748877870058
2017-07-10 18:04:00,0,0,0,0,0,0,0,0,0,62.4487193500261,62.4487193500261,0.172748877870058
2017-07-10 18:05:00,0,0,0,0,0,0,0,0,0,62.6272124921056,62.6272124921056,0.173242634832934
2017-07-10 18:06:00,0,0,0,0,0,0,0,0,0,62.6272124921056,62.6272124921056,0.173242634832934
2017-07-10 18:07:00,0,0,0,0,0,0,0,0,0,62.6272124921056,62.6272124921056,0.173242634832934
2017-07-10 18:08:00,0,0,0,0,0,0,0,0,0,62.8061123594369,62.8061123594369,0.17373751690024
2017-07-10 18:09:00,0,0,0,0,0,0,0,0,0,62.8061123594369,62.8061123594369,0.17373751690024
2017-07-10 18:10:00,0,0,0,0,0,0,0,0,0,62.8061123594369,62.8061123594369,0.17373751690024
2017-07-10 18:11:00,0,0,0,0,0,0,0,0,0,62.8061123594369,62.8061123594369,0.17373751690024
2017-07-10 18:12:00,0,0,0,0,0,0,0,0,0,62.9854035341428,62.9854035341428,0.174233481422248
2017-07-10 18:13:00,0,0,0,0,0,0,0,0,0,62.9854035341428,62.9854035341428,0.174233481422248
2017-07-10 18:14:00,0,0,0,0,0,0,0,0,0,62.9854035341428,62.9854035341428,0.174233481422248
2017-07-10 18:15:00,0,0,0,0,0,0,0,0,0,63.1650711320763,63.1650711320763,0.174730487225661
