Time,RHD_CFM,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2018-02-12 18:00:00,0,25,66,52,12,125,280,0,0,280,60.9281731373098,290.888634540493,0.70775823489171
2018-02-12 18:01:00,0,25,66,52,12,125,280,0,0,280,60.9281731373098,290.888634540493,0.70775823489171
2018-02-12 18:02:00,0,25,66,52,12,125,280,0,0,280,60.6499362710627,290.79822532759,0.707538261137688
2018-02-12 18:03:00,0,25,66,52,12,125,280,0,0,280,60.9281731373098,290.888634540493,0.70775823489171
2018-02-12 18:04:00,0,25,66,52,12,125,280,0,0,280,60.9281731373098,290.888634540493,0.70775823489171
2018-02-12 18:05:00,0,25,66,52,12,125,280,0,0,280,60.9281731373098,290.888634540493,0.70775823489171
2018-02-12 18:06:00,0,25,66,52,12,125,280,0,0,280,60.6499362710627,290.79822532759,0.707538261137688
2018-02-12 18:07:00,0,25,66,52,12,125,280,0,0,280,60.9281731373098,290.888634540493,0.70775823489171
2018-02-12 18:08:00,0,25,66,52,12,125,280,0,0,280,60.6499362710627,290.79822532759,0.707538261137688
2018-02-12 18:09:00,0,25,66,52,12,125,280,0,0,280,60.9281731373098,290.888634540493,0.70775823489171
2018-02-12 18:10:00,0,25,66,52,12,125,280,0,0,280,60.9281731373098,290.888634540493,0.70775823489171
2018-02-12 18:11:00,0,25,66,52,12,125,280,0,0,280,60.6499362710627,290.79822532759,0.707538261137688
2018-02-12 18:12:00,0,25,66,52,12,125,280,0,0,280,60.6499362710627,290.79822532759,0.707538261137688
2018-02-12 18:13:00,0,25,66,52,12,125,280,0,0,280,60.6499362710627,290.79822532759,0.707538261137688
2018-02-12 18:14:00,0,25,66,52,12,125,280,0,0,280,60.6499362710627,290.79822532759,0.707538261137688
2018-02-12 18:15:00,0,25,66,52,12,125,280,0,0,280,60.6499362710627,290.79822532759,0.707538261137688
2018-02-12 18:16:00,0,25,66,52,12,125,280,0,0,280,60.6499362710627,290.79822532759,0.707538261137688
2018-02-12 18:17:00,0,25,66,52,12,125,280,0,0,280,60.6499362710627,290.79822532759,0.707538261137688
2018-02-12 18:18:00,0,25,66,52,12,125,280,0,0,280,60.6499362710627,290.79822532759,0.707538261137688
2018-02-12 18:19:00,30,25,66,52,12,125,310,0,0,310,60.6499362710627,319.924228793051,0.77840444961813
2018-02-12 18:20:00,30,25,66,52,12,125,310,0,0,310,60.6499362710627,319.924228793051,0.77840444961813
2018-02-12 18:21:00,30,25,66,52,12,125,310,0,0,310,60.6499362710627,319.924228793051,0.77840444961813
2018-02-12 18:22:00,30,25,66,52,12,125,310,0,0,310,60.6499362710627,319.924228793051,0.77840444961813
2018-02-12 18:23:00,30,25,66,52,12,125,310,0,0,310,60.6499362710627,319.924228793051,0.77840444961813
2018-02-12 18:24:00,30,25,66,52,12,125,310,0,0,310,60.6499362710627,319.924228793051,0.77840444961813
2018-02-12 18:25:00,30,25,66,52,12,125,310,0,0,310,60.6499362710627,319.924228793051,0.77840444961813
2018-02-12 18:26:00,30,25,66,52,12,125,310,0,0,310,60.6499362710627,319.924228793051,0.77840444961813
2018-02-12 18:27:00,30,25,66,52,12,125,310,0,0,310,60.6499362710627,319.924228793051,0.77840444961813
2018-02-12 18:28:00,30,25,66,52,12,125,310,0,0,310,60.6499362710627,319.924228793051,0.77840444961813
2018-02-12 18:29:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:30:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:31:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:32:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:33:00,30,25,66,52,12,125,310,0,0,310,60.6499362710627,319.924228793051,0.77840444961813
2018-02-12 18:34:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:35:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:36:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:37:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:38:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:39:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:40:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:41:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:42:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:43:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:44:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:45:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:46:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:47:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:48:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:49:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:50:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:51:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:52:00,30,25,66,52,12,125,310,0,0,310,60.9281731373098,320.007981465662,0.778608227410369
2018-02-12 18:53:00,30,25,66,52,12,0,185,0,0,185,59.9479141299086,199.671496270105,0.485818725718016
2018-02-12 18:54:00,30,25,66,52,12,0,185,0,0,185,59.9479141299086,199.671496270105,0.485818725718016
2018-02-12 18:55:00,30,25,66,52,12,0,185,0,0,185,59.9479141299086,199.671496270105,0.485818725718016
2018-02-12 18:56:00,30,25,66,52,12,0,185,0,0,185,59.9479141299086,199.671496270105,0.485818725718016
2018-02-12 18:57:00,0,25,66,52,12,0,155,0,0,155,59.9479141299086,171.719177867225,0.417808218655048
2018-02-12 18:58:00,0,25,66,52,12,0,155,0,0,155,59.9479141299086,171.719177867225,0.417808218655048
2018-02-12 18:59:00,0,25,66,52,12,0,155,0,0,155,59.9479141299086,171.719177867225,0.417808218655048
2018-02-12 19:00:00,0,25,66,52,12,0,155,0,0,155,59.9479141299086,171.719177867225,0.417808218655048
2018-02-12 19:01:00,0,25,66,52,12,0,155,0,0,155,59.9479141299086,171.719177867225,0.417808218655048
2018-02-12 19:02:00,0,25,66,52,12,0,155,0,0,155,59.9479141299086,171.719177867225,0.417808218655048
2018-02-12 19:03:00,0,25,66,52,12,0,155,0,0,155,59.9479141299086,171.719177867225,0.417808218655048
2018-02-12 19:04:00,0,25,66,52,12,0,155,0,0,155,60.2367471220811,171.858021468757,0.418146037636879
2018-02-12 19:05:00,0,25,66,52,12,0,155,0,0,155,59.9479141299086,171.719177867225,0.417808218655048
2018-02-12 19:06:00,0,25,66,52,12,0,155,0,0,155,59.9479141299086,171.719177867225,0.417808218655048
2018-02-12 19:07:00,0,25,66,52,12,0,155,0,0,155,59.9479141299086,171.719177867225,0.417808218655048
2018-02-12 19:08:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:09:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:10:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:11:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:12:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:13:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:14:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:15:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:16:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:17:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:18:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:19:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:20:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:21:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:22:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:23:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:24:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:25:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:26:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:27:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:28:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:29:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:30:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:31:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:32:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:33:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:34:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:35:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:36:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:37:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:38:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:39:00,0,25,66,52,12,0,155,0,0,155,59.658300168571,171.580364123858,0.417470472320822
2018-02-12 19:40:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:41:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:42:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:43:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:44:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:45:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:46:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:47:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:48:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:49:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:50:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:51:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:52:00,0,25,66,52,12,0,155,0,0,155,59.36789787929,171.44158166159,0.417132802096327
2018-02-12 19:53:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 19:54:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 19:55:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 19:56:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 19:57:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 19:58:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 19:59:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 20:00:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 20:01:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 20:02:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:03:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 20:04:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 20:05:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 20:06:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 20:07:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:08:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:09:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:10:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:11:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:12:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:13:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:14:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:15:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:16:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:17:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:18:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:19:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:20:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:21:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:22:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:23:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:24:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:25:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:26:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:27:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:28:00,30,25,66,52,12,0,185,0,0,185,58.0532470682081,198.866013047818,0.483858912525106
2018-02-12 20:29:00,30,25,66,52,12,0,185,0,0,185,57.7515439608684,198.73931871017,0.483550653796033
2018-02-12 20:30:00,30,25,66,52,12,0,185,0,0,185,57.7515439608684,198.73931871017,0.483550653796033
2018-02-12 20:31:00,30,25,66,52,12,0,185,0,0,185,57.7515439608684,198.73931871017,0.483550653796033
2018-02-12 20:32:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:33:00,0,25,66,52,12,0,155,0,0,155,58.0532470682081,170.818484541019,0.415616750708076
2018-02-12 20:34:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:35:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:36:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:37:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:38:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:39:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:40:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:41:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:42:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:43:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:44:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:45:00,0,25,66,52,12,0,155,0,0,155,57.7515439608684,170.676693892654,0.415271761295996
2018-02-12 20:46:00,30,25,66,52,12,0,185,0,0,185,57.7515439608684,198.73931871017,0.483550653796033
2018-02-12 20:47:00,30,25,66,52,12,0,185,0,0,185,57.7515439608684,198.73931871017,0.483550653796033
2018-02-12 20:48:00,30,25,66,52,12,0,185,0,0,185,57.7515439608684,198.73931871017,0.483550653796033
2018-02-12 20:49:00,30,25,66,52,12,0,185,0,0,185,57.7515439608684,198.73931871017,0.483550653796033
2018-02-12 20:50:00,30,25,66,52,12,0,185,0,0,185,57.7515439608684,198.73931871017,0.483550653796033
2018-02-12 20:51:00,30,25,66,52,12,0,185,0,0,185,57.7515439608684,198.73931871017,0.483550653796033
2018-02-12 20:52:00,30,25,66,52,12,0,185,0,0,185,57.7515439608684,198.73931871017,0.483550653796033
2018-02-12 20:53:00,0,25,66,52,12,0,155,0,0,155,57.6824537985229,170.644287607151,0.415192913886013
2018-02-12 20:54:00,0,25,66,52,12,0,155,0,0,155,57.6824537985229,170.644287607151,0.415192913886013
2018-02-12 20:55:00,0,25,66,52,12,0,155,0,0,155,57.6824537985229,170.644287607151,0.415192913886013
2018-02-12 20:56:00,0,25,66,52,12,0,155,0,0,155,57.6824537985229,170.644287607151,0.415192913886013
2018-02-12 20:57:00,0,25,66,52,12,0,155,0,0,155,57.6824537985229,170.644287607151,0.415192913886013
2018-02-12 20:58:00,0,25,66,52,12,0,155,0,0,155,57.6824537985229,170.644287607151,0.415192913886013
2018-02-12 20:59:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:00:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:01:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:02:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:03:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:04:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:05:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:06:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:07:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:08:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:09:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:10:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:11:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:12:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:13:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:14:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:15:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:16:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:17:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:18:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:19:00,0,25,66,52,12,0,155,0,0,155,57.3833579882091,170.504273993943,0.414852248160446
2018-02-12 21:20:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:21:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:22:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:23:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:24:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:25:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:26:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:27:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:28:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
2018-02-12 21:29:00,0,25,66,52,12,0,155,0,0,155,57.0833576121534,170.364287669549,0.41451164883102
