Time,PM_MET_OUT,PM_MET_IN1,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR3,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR3,TS_HBI_GRK,T_HBI_FIR,T_HBO_BA1,T_HBO_BA2,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR3,RHS_HBI_GRK,RH_HBI_FIR,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-02-17 18:00:00,0.076,1,550.0,619,563.0,454,0.04,16,16,19.0,17.9,18.1,17.6,16.942,18.037,17.177,17.819000000000006,11.492,63.7,67.4,67.1,66.3,71.209,67.86399999999999,71.744,69.023,100.0,,16,,16
2017-02-17 18:01:00,0.076,1,548.0,622,558.0,456,0.041,16,16,19.0,17.9,18.1,17.6,16.918,18.037,17.177,17.796,11.467,63.7,67.4,67.1,66.3,71.175,67.805,71.513,69.01899999999999,100.0,,16,,16
2017-02-17 18:02:00,0.076,1,552.0,619,556.0,455,0.041,16,16,18.9,17.9,18.1,17.6,16.918,18.012999999999995,17.177,17.796,11.467,64.1,67.4,67.1,66.4,71.579,67.86,71.83,69.048,100.0,,16,,16
2017-02-17 18:03:00,0.076,1,553.0,616,553.0,456,0.041,16,16,18.9,17.9,18.1,17.6,16.918,18.037,17.177,17.796,11.443,63.8,67.4,67.1,66.4,71.694,67.835,71.916,69.01899999999999,100.0,,16,,16
2017-02-17 18:04:00,0.076,1,548.0,619,557.0,454,0.041,16,16,19.0,17.9,18.1,17.6,16.918,18.012999999999995,17.177,17.796,11.419,63.7,67.4,67.1,66.4,71.435,67.83,72.003,68.961,100.0,,16,,16
2017-02-17 18:05:00,0.076,0,544.0,612,556.0,452,0.038,16,16,19.0,17.9,18.1,17.6,16.942,18.012999999999995,17.177,17.796,11.419,63.7,67.3,67.1,66.4,71.727,67.86,72.06,69.01899999999999,100.0,,16,,16
2017-02-17 18:06:00,0.076,1,544.0,605,553.0,451,0.038,16,16,18.9,17.9,18.1,17.6,16.918,18.012999999999995,17.177,17.796,11.419,63.7,67.3,67.1,66.4,71.608,67.889,71.916,68.902,100.0,,16,,16
2017-02-17 18:07:00,0.076,1,544.0,607,553.0,449,0.04,16,16,18.9,17.9,18.1,17.6,16.918,18.012999999999995,17.177,17.796,11.394,63.7,67.4,67.1,66.4,71.694,67.86,72.118,68.902,100.0,,16,,16
2017-02-17 18:08:00,0.076,1,540.0,607,554.0,449,0.04,16,16,18.9,17.9,18.1,17.5,16.918,17.989,17.177,17.796,11.37,63.7,67.5,67.1,66.6,71.751,67.885,72.262,68.902,100.0,,16,,16
2017-02-17 18:09:00,0.076,1,537.0,607,558.0,449,0.04,16,16,18.9,17.9,18.1,17.6,16.918,17.989,17.177,17.796,11.37,63.7,67.5,67.1,66.4,71.579,67.914,70.994,68.961,100.0,,16,,16
2017-02-17 18:10:00,0.076,1,537.0,608,558.0,453,0.04,16,16,18.9,17.9,18.1,17.6,16.918,17.989,17.153,17.796,11.37,63.7,67.7,67.1,66.4,71.751,67.914,71.797,68.961,100.0,,16,,16
