Time,PM_MET_IN1,PM_PDR_IN1,PM_PDR_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR3,CO2_ETC_BR4,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR3,T_ETC_BR4,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_BA4,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR3,RH_ETC_BR4,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_BA4,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-03-23 18:00:00,4.0,4.86,3.27,448.0,592.0,548.0,550.0,417.0,0.096,13.0,20,18.1,19.4,19.7,19.3,17.6,18.961,19.199,23.424,18.937,18.747,11.88,51.4,53.3,51.4,52.3,54.2,56.14100000000001,52.41,96.331,42.66,55.127,61.979,,13.0,,20.0
2017-03-23 18:01:00,3.0,4.81,3.28,459.0,590.0,548.0,550.0,417.0,0.096,13.0,20,18.1,19.4,19.8,19.3,17.5,18.961,19.199,23.665,18.961,18.747,11.807,50.9,53.2,51.4,52.4,54.3,56.172,52.224,96.446,42.15,55.188,61.967,,13.0,,20.0
2017-03-23 18:02:00,5.0,5.42,3.47,459.0,586.0,548.0,547.0,421.0,0.077,13.0,20,18.1,19.4,19.8,19.3,17.5,18.961,19.175,23.833,18.937,18.747,11.71,51.1,53.3,51.4,52.4,54.6,56.937,52.37600000000001,96.543,41.923,55.065,62.536,,13.0,,20.0
2017-03-23 18:03:00,4.0,5.21,3.37,454.0,588.0,550.0,546.0,417.0,0.077,13.0,20,18.1,19.4,19.8,19.3,17.5,18.961,19.175,24.026,18.937,18.747,11.613,51.5,53.3,51.4,52.5,54.5,56.478,52.469,96.646,41.762,54.942,63.338,,13.0,,20.0
2017-03-23 18:04:00,4.0,4.74,3.37,458.0,592.0,548.0,544.0,416.0,0.079,13.0,20,18.1,19.4,19.8,19.3,17.5,18.961,19.175,24.291,18.913,18.747,11.54,52.0,53.3,51.3,52.6,54.7,56.172,52.469,96.715,41.88800000000001,55.004,64.083,,13.0,,20.0
2017-03-23 18:05:00,4.0,5.28,3.59,464.0,598.0,550.0,544.0,415.0,0.079,13.0,20,18.1,19.4,19.8,19.3,17.5,18.961,19.175,24.508000000000006,18.866,18.723,11.467,52.3,53.4,51.3,52.7,54.9,56.11,52.5,96.878,41.81800000000001,55.062,64.854,,13.0,,20.0
2017-03-23 18:06:00,3.0,5.04,3.21,473.0,600.0,550.0,550.0,414.0,0.076,13.0,20,18.2,19.4,19.6,19.3,17.6,18.961,19.175,24.677,18.818,18.723,11.37,52.0,53.5,51.3,52.7,54.9,56.11,52.5,96.869,41.973,55.246,65.59,,13.0,,20.0
2017-03-23 18:07:00,3.0,5.01,3.15,482.0,606.0,550.0,547.0,414.0,0.076,13.0,20,18.2,19.4,19.8,19.3,17.5,18.961,19.175,24.702,18.771,18.723,11.321,52.3,53.4,51.4,52.7,54.7,56.049,52.22,96.635,42.16,55.676,65.84100000000001,,13.0,,20.0
2017-03-23 18:08:00,6.0,4.83,3.42,486.0,610.0,548.0,544.0,412.0,0.064,13.0,20,18.2,19.4,19.8,19.3,17.5,18.937,19.175,24.171,18.723,18.723,11.297,52.3,53.4,51.3,52.6,54.8,56.076,50.56800000000001,95.158,42.187,56.075,65.923,,13.0,,20.0
2017-03-23 18:09:00,4.0,4.61,3.3,490.0,610.0,548.0,544.0,410.0,0.064,13.0,20,18.2,19.4,19.8,19.3,17.5,18.937,19.175,23.761,18.675,18.747,11.273,52.5,53.4,51.3,52.8,54.7,56.045,50.537,84.88,42.182,58.307,65.919,,13.0,,20.0
2017-03-23 18:10:00,3.0,4.42,3.68,487.0,606.0,545.0,547.0,410.0,0.064,13.0,20,18.2,19.4,19.8,19.3,17.5,18.937,19.151,23.545,18.628,18.771,11.224,52.5,53.4,51.2,52.8,54.9,55.923,50.971,83.427,42.272,58.18899999999999,65.65,,13.0,,20.0
2017-03-23 18:11:00,3.0,4.34,3.24,492.0,607.0,547.0,545.0,412.0,0.064,13.0,20,18.2,19.4,19.7,19.3,17.5,18.937,19.151,23.472,18.557,18.794,11.175,52.6,53.5,51.1,52.8,54.8,56.015,51.657,81.064,42.29600000000001,57.675,65.815,,13.0,,20.0
