Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR3,CO2_ETC_BR4,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR3,T_ETC_BR4,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_BA4,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR3,RH_ETC_BR4,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_BA4,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-06-06 18:00:00,4.0,6.7,454.0,717.0,690.0,647.0,487.0,12.0,14.0,21.3,22.9,23.3,22.3,21.5,22.48888889,22.51277778,21.31777778,26.35277778,22.56111111,23.18388889,53.4,49.3,48.0,48.8,51.9,50.858,50.451,52.3,41.057,51.403,40.353,,12.0,,14.0
2017-06-06 18:01:00,4.0,7.6,450.0,716.0,692.0,647.0,489.0,12.0,14.0,21.3,23.0,23.3,22.4,21.5,22.48888889,22.51277778,21.31777778,26.35277778,22.56111111,23.06388889,53.4,49.1,48.0,48.8,51.9,50.952,50.482,52.3,41.09,51.372,40.894,,12.0,,14.0
2017-06-06 18:02:00,4.0,5.89,450.0,718.0,695.0,652.0,489.0,12.0,14.0,21.3,23.0,23.3,22.4,21.5,22.48888889,22.51277778,21.31777778,26.32888889,22.56111111,23.01611111,53.3,49.0,48.0,48.8,51.9,50.984,50.482,52.268,41.087,51.372,41.182,,12.0,,14.0
2017-06-06 18:03:00,5.0,6.84,453.0,716.0,698.0,649.0,494.0,12.0,14.0,21.3,23.0,23.3,22.4,21.5,22.48888889,22.51277778,21.31777778,26.32888889,22.56111111,22.89611111,53.3,49.1,48.1,48.9,51.9,51.015,50.514,52.3,41.087,51.34,41.494,,12.0,,14.0
2017-06-06 18:04:00,4.0,7.65,450.0,716.0,695.0,646.0,497.0,12.0,14.0,21.3,23.0,23.3,22.4,21.5,22.48888889,22.51277778,21.31777778,26.32888889,22.56111111,22.92,53.3,49.2,48.1,48.8,52.0,51.078,50.577,52.3,41.087,51.372,41.302,,12.0,,14.0
2017-06-06 18:05:00,4.0,7.54,450.0,716.0,699.0,648.0,500.0,12.0,14.0,21.3,23.0,23.3,22.4,21.5,22.48888889,22.51277778,21.31777778,26.32888889,22.56111111,22.92,53.3,49.1,48.0,48.8,52.0,51.11,50.609,52.331,41.087,51.372,40.651,,12.0,,14.0
2017-06-06 18:06:00,4.0,5.95,450.0,718.0,698.0,645.0,500.0,12.0,14.0,21.3,23.0,23.3,22.4,21.5,22.48888889,22.51277778,21.31777778,26.32888889,22.56111111,22.87222222,53.3,49.2,48.0,48.9,51.9,51.11,50.609,52.331,41.12,51.34,41.036,,12.0,,14.0
2017-06-06 18:07:00,4.0,7.4,450.0,719.0,698.0,645.0,500.0,12.0,14.0,21.3,23.0,23.3,22.4,21.5,22.48888889,22.51277778,21.31777778,26.32888889,22.585,22.84777778,53.3,49.4,48.1,48.9,52.0,50.889,50.64,52.362,41.12,51.343,41.164,,12.0,,14.0
2017-06-06 18:08:00,4.0,6.41,444.0,719.0,695.0,649.0,495.0,12.0,14.0,21.3,23.0,23.3,22.4,21.5,22.48888889,22.51277778,21.34222222,26.32888889,22.585,22.89611111,53.3,49.0,48.1,48.8,51.9,49.657,50.609,52.303,41.153,51.375,40.778,,12.0,,14.0
2017-06-06 18:09:00,4.0,7.11,444.0,716.0,695.0,649.0,487.0,12.0,14.0,21.3,23.0,23.3,22.4,21.5,22.51277778,22.51277778,21.34222222,26.32888889,22.585,22.84777778,53.3,49.0,48.1,48.9,52.0,50.987,50.672,52.303,41.153,51.312,41.033,,12.0,,14.0
