Time,PM_MET_OUT,PM_MET_IN1,PM_PDR_IN1,PM_PDR_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_OUT,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_BA4,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_OUT,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_BA4,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-06-09 18:00:00,1.71,2.0,2.0,2.19,616.0,587.0,615.0,421.0,,30.0,28.0,25.8,25.1,24.0,23.3,24.388,24.918888888888887,27.801111111111112,25.987,24.7280892,22.03388889,44.4,46.1,48.0,33.4,42.799,46.19600000000001,30.226999999999997,44.023999999999994,47.073,36.958,,30.0,,28.0
2017-06-09 18:01:00,2.12,2.0,2.23,2.17,615.0,584.0,613.0,421.0,,30.0,28.0,25.8,25.1,24.0,23.3,24.363000000000003,24.918888888888887,27.801111111111112,25.987,24.7280892,22.01111111,44.4,45.9,48.1,33.3,39.563,46.19600000000001,28.932,44.023999999999994,47.073,37.021,,30.0,,28.0
2017-06-09 18:02:00,1.8,2.0,2.03,2.09,612.0,584.0,611.0,421.0,,30.0,28.0,25.8,25.1,24.0,23.2,24.363000000000003,24.918888888888887,27.801111111111112,25.987,24.7280892,22.05777778,44.3,45.9,48.1,33.4,43.349,46.163999999999994,29.101999999999997,44.056999999999995,47.041000000000004,37.321999999999996,,30.0,,28.0
2017-06-09 18:03:00,2.82,2.0,2.04,2.18,610.0,589.0,608.0,420.0,,30.0,28.0,25.8,25.1,24.0,23.2,24.363000000000003,24.918888888888887,27.801111111111112,25.987,24.7280892,22.05777778,44.4,45.8,48.0,33.5,38.806999999999995,46.163999999999994,31.34800000000001,44.023999999999994,47.00899999999999,36.96,,30.0,,28.0
2017-06-09 18:04:00,3.11,2.0,2.38,2.4,609.0,591.0,606.0,419.0,,30.0,28.0,25.8,25.1,24.0,23.1,24.363000000000003,24.918888888888887,27.751111111111115,25.987,24.7280892,22.01111111,44.4,45.9,48.0,33.8,36.595,46.19600000000001,32.36,44.023999999999994,47.00899999999999,37.086999999999996,,30.0,,28.0
2017-06-09 18:05:00,2.24,2.0,2.14,2.1,610.0,591.0,603.0,417.0,,30.0,28.0,25.8,25.1,24.0,23.1,24.363000000000003,24.918888888888887,27.751111111111115,25.987,24.7280892,21.93888889,44.3,45.7,47.9,33.8,37.719,46.132,33.373000000000005,43.992,47.00899999999999,37.178000000000004,,30.0,,28.0
2017-06-09 18:06:00,2.24,2.0,2.1,2.15,608.0,587.0,600.0,415.0,,30.0,28.0,25.8,25.1,24.0,23.0,24.339000000000002,24.918888888888887,27.702222222222208,25.987,24.7280892,21.93888889,44.2,45.8,48.0,33.7,41.85,46.163999999999994,31.54300000000001,43.992,47.00899999999999,37.539,,30.0,,28.0
2017-06-09 18:07:00,1.71,2.0,1.86,2.14,606.0,583.0,597.0,415.0,,30.0,28.0,25.8,25.1,24.0,23.0,24.339000000000002,24.918888888888887,27.702222222222208,25.987,24.7280892,21.93888889,44.3,45.9,47.9,33.8,40.445,46.132,32.626,43.992,47.00899999999999,37.145,,30.0,,28.0
2017-06-09 18:08:00,1.3,2.0,2.11,2.05,607.0,580.0,600.0,413.0,,30.0,28.0,25.8,25.1,24.1,22.9,24.339000000000002,24.918888888888887,27.652777777777782,25.987,24.7280892,21.89111111,44.3,45.7,47.9,33.7,40.674,46.132,33.162,43.992,46.977,37.336999999999996,,30.0,,28.0
2017-06-09 18:09:00,1.74,2.0,2.0,1.84,608.0,581.0,600.0,413.0,,30.0,28.0,25.8,25.1,24.0,22.9,24.339000000000002,24.918888888888887,27.62777777777778,25.987,24.7280892,21.86722222,43.8,45.7,47.9,33.3,35.565,46.132,32.653,43.992,46.977,37.269,,30.0,,28.0
2017-06-09 18:10:00,1.77,2.0,1.99,2.01,606.0,582.0,600.0,418.0,,30.0,28.0,25.8,25.1,24.0,22.9,24.339000000000002,24.918888888888887,27.60388888888889,25.987,24.7280892,21.84277778,44.2,45.9,47.9,33.3,39.166,46.132,30.72,43.992,46.977,37.103,,30.0,,28.0
2017-06-09 18:11:00,2.21,2.0,2.09,1.96,606.0,583.0,600.0,422.0,,30.0,28.0,25.8,25.1,24.1,22.8,24.339000000000002,24.918888888888887,27.578888888888887,25.987,24.7280892,21.84277778,43.9,45.7,47.8,33.4,36.659,46.132,31.803,43.861999999999995,46.945,36.676,,30.0,,28.0
2017-06-09 18:12:00,1.79,2.0,2.04,1.99,611.0,583.0,601.0,422.0,,30.0,28.0,25.8,25.1,24.1,22.8,24.315,24.918888888888887,27.53,25.987,24.7280892,21.795,43.5,45.9,47.8,33.5,36.723,46.099,34.833,43.958999999999996,46.945,36.736999999999995,,30.0,,28.0
2017-06-09 18:13:00,1.27,2.0,2.02,1.97,609.0,581.0,600.0,423.0,,30.0,28.0,25.8,25.1,24.0,22.8,24.315,24.918888888888887,27.505000000000003,25.987,24.7280892,21.74777778,43.5,45.6,47.8,33.6,34.665,46.099,30.236,43.927,46.945,36.732,,30.0,,28.0
2017-06-09 18:14:00,1.56,2.0,2.2,2.05,605.0,581.0,597.0,422.0,,30.0,28.0,25.8,25.1,24.1,22.8,24.291,24.918888888888887,27.505000000000003,25.987,24.7280892,21.77222222,44.1,45.9,47.8,33.5,37.711999999999996,46.099,29.147,43.958999999999996,46.945,36.997,,30.0,,28.0
2017-06-09 18:15:00,1.62,2.0,1.97,2.26,600.0,575.0,595.0,415.0,,30.0,28.0,25.8,25.1,24.1,22.7,24.267,24.918888888888887,27.481111111111122,25.987,24.7280892,21.795,44.1,45.9,47.7,33.5,35.391999999999996,46.067,29.826,43.927,46.913000000000004,36.868,,30.0,,28.0
2017-06-09 18:16:00,2.27,2.0,2.13,2.13,600.0,574.0,591.0,418.0,,30.0,28.0,25.8,25.1,24.1,22.7,24.267,24.918888888888887,27.481111111111122,25.987,24.7280892,21.84277778,44.2,45.8,47.6,33.2,37.379,46.099,28.77,43.927,46.88,36.676,,30.0,,28.0
2017-06-09 18:17:00,1.82,2.0,1.87,2.29,598.0,570.0,590.0,421.0,,30.0,28.0,25.8,25.1,24.1,22.7,24.267,24.918888888888887,27.481111111111122,26.011999999999997,24.7280892,21.81888889,43.9,45.7,47.6,33.4,42.298,46.067,31.320999999999998,43.799,46.88,36.41,,30.0,,28.0
2017-06-09 18:18:00,2.47,2.0,2.18,2.33,599.0,573.0,591.0,418.0,,30.0,28.0,25.8,25.1,24.1,22.6,24.291,24.918888888888887,27.456111111111113,26.011999999999997,24.7280892,21.77222222,44.0,45.6,47.6,33.8,43.665,46.067,31.894000000000002,43.864,46.88,36.306999999999995,,30.0,,28.0
2017-06-09 18:19:00,2.44,2.0,2.08,2.36,603.0,575.0,589.0,413.0,,30.0,28.0,25.8,25.1,24.0,22.6,24.291,24.918888888888887,27.431111111111115,26.011999999999997,24.7280892,21.74777778,44.0,45.6,47.6,34.0,43.989,46.035,32.399,43.474,46.848,36.56800000000001,,30.0,,28.0
2017-06-09 18:20:00,2.67,2.0,2.04,2.28,608.0,577.0,590.0,418.0,,30.0,28.0,25.8,25.1,24.1,22.5,24.315,24.918888888888887,27.40722222222222,26.011999999999997,24.7280892,21.72388889,44.0,45.5,47.7,34.4,36.391999999999996,46.067,29.139,43.864,46.88,37.091,,30.0,,28.0
2017-06-09 18:21:00,2.08,2.0,1.95,2.17,602.0,573.0,590.0,419.0,,30.0,28.0,25.8,25.1,24.1,22.5,24.291,24.918888888888887,27.40722222222222,26.011999999999997,24.75198,21.77222222,43.8,45.6,47.6,34.2,34.861999999999995,46.067,29.206999999999997,43.864,46.851000000000006,37.26,,30.0,,28.0
2017-06-09 18:22:00,2.53,2.0,2.05,2.27,597.0,574.0,587.0,419.0,,30.0,28.0,25.8,25.1,24.1,22.5,24.243000000000002,24.918888888888887,27.38222222222222,26.011999999999997,24.75198,21.72388889,43.5,45.4,47.5,34.0,34.192,46.035,31.311999999999998,43.864,46.851000000000006,37.124,,30.0,,28.0
2017-06-09 18:23:00,2.3,2.0,2.01,2.24,595.0,575.0,587.0,421.0,,30.0,28.0,25.8,25.1,24.1,22.5,24.195,24.918888888888887,27.38222222222222,26.011999999999997,24.75198,21.65222222,43.8,45.4,47.5,33.9,37.273,46.067,29.478,43.864,46.818999999999996,37.181999999999995,,30.0,,28.0
2017-06-09 18:24:00,2.47,2.0,2.07,2.31,597.0,573.0,579.0,422.0,,30.0,28.0,25.8,25.2,24.1,22.5,24.171,24.918888888888887,27.357777777777777,26.011999999999997,24.75198,21.62777778,43.8,45.4,47.5,34.1,37.535,46.035,29.271,43.864,46.851000000000006,37.147,,30.0,,28.0
2017-06-09 18:25:00,2.4,2.0,2.06,2.66,595.0,572.0,577.0,423.0,,30.0,28.0,25.8,25.2,24.1,22.4,24.122,24.918888888888887,27.357777777777777,26.011999999999997,24.75198,21.60388889,43.5,45.4,47.4,34.3,33.914,46.035,33.809,43.864,46.851000000000006,37.046,,30.0,,28.0
2017-06-09 18:26:00,3.24,2.0,2.18,3.01,597.0,575.0,574.0,422.0,,30.0,28.0,25.8,25.2,24.1,22.4,24.074,24.918888888888887,27.33277777777778,25.987,24.75198,21.55722222,43.3,45.6,47.4,34.3,34.542,46.035,29.541999999999998,43.861999999999995,46.818999999999996,37.435,,30.0,,28.0
2017-06-09 18:27:00,2.03,2.0,2.13,2.72,594.0,569.0,577.0,418.0,,30.0,28.0,25.8,25.2,24.1,22.4,24.026,24.918888888888887,27.307777777777776,26.011999999999997,24.75198,21.60388889,43.5,45.5,47.4,34.1,34.504,46.003,29.982,43.864,46.818999999999996,37.275999999999996,,30.0,,28.0
2017-06-09 18:28:00,3.01,2.0,2.04,2.6,594.0,568.0,579.0,419.0,,30.0,28.0,25.8,25.2,24.1,22.4,23.978,24.918888888888887,27.307777777777776,25.987,24.75198,21.60388889,43.6,45.3,47.3,34.4,35.132,46.003,28.995,43.861999999999995,46.787,37.21,,30.0,,28.0
2017-06-09 18:29:00,2.27,2.0,2.14,2.48,588.0,568.0,579.0,422.0,,30.0,28.0,25.8,25.1,23.9,22.4,23.93,24.918888888888887,27.307777777777776,25.987,24.75198,21.65222222,43.5,45.4,47.5,34.5,34.495,46.003,29.404,43.894,46.818999999999996,37.313,,30.0,,28.0
2017-06-09 18:30:00,3.27,2.0,1.97,2.53,588.0,566.0,583.0,419.0,,30.0,28.0,25.8,25.2,24.1,22.4,23.905,24.918888888888887,27.28388888888889,25.987,24.7280892,21.7,43.7,45.3,47.3,34.6,36.186,46.003,30.693,43.861999999999995,46.816,37.22,,30.0,,28.0
2017-06-09 18:31:00,2.03,2.0,2.06,2.64,590.0,565.0,583.0,422.0,,30.0,28.0,25.8,25.2,24.1,22.4,23.857,24.918888888888887,27.28388888888889,25.987,24.7280892,21.7,43.5,45.4,47.3,34.4,35.718,46.003,29.401999999999997,43.861999999999995,46.816,37.253,,30.0,,28.0
2017-06-09 18:32:00,2.46,2.0,2.06,2.71,591.0,562.0,585.0,419.0,,30.0,28.0,25.8,25.2,24.1,22.3,23.833000000000002,24.918888888888887,27.25888888888889,25.987,24.7280892,21.67611111,43.3,45.3,47.4,34.2,34.751999999999995,46.003,29.331999999999997,43.894,46.816,37.25,,30.0,,28.0
