Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_HBO_BA2,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_HBO_BA2,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-05-03 18:00:00,1.0,1.007,600.0,607.0,630.0,27.0,27.0,27.8,28.0,25.6,38.924,45.7,45.8,51.8,23.353,,27.0,,27.0
2017-05-03 18:01:00,1.0,1.16,598.0,607.0,629.0,27.0,27.0,27.8,28.0,25.6,38.896,45.8,45.7,51.6,23.423,,27.0,,27.0
2017-05-03 18:02:00,1.0,1.724,592.0,603.0,625.0,27.0,27.0,27.8,28.0,25.6,38.868,45.5,45.7,51.5,23.67,,27.0,,27.0
2017-05-03 18:03:00,1.0,0.8390000000000001,592.0,606.0,625.0,27.0,27.0,27.8,28.0,25.6,38.812,45.5,45.6,51.6,23.986,,27.0,,27.0
2017-05-03 18:04:00,1.0,1.129,592.0,612.0,623.0,29.0,27.0,27.8,28.0,25.6,38.784,45.3,45.5,51.7,23.7,,29.0,,27.0
2017-05-03 18:05:00,1.0,0.961,588.0,612.0,619.0,29.0,27.0,27.8,28.0,25.6,38.756,45.3,45.6,51.8,23.769,,29.0,,27.0
2017-05-03 18:06:00,1.0,1.251,586.0,610.0,620.0,29.0,27.0,27.8,28.0,25.6,38.728,45.2,45.6,51.6,23.732,,29.0,,27.0
2017-05-03 18:07:00,1.0,0.855,588.0,610.0,617.0,29.0,27.0,27.8,28.0,25.6,38.7,45.2,45.5,51.7,23.694000000000006,,29.0,,27.0
2017-05-03 18:08:00,0.0,1.541,593.0,604.0,618.0,29.0,27.0,27.8,28.0,25.6,38.672,45.3,45.5,51.4,23.408,,29.0,,27.0
2017-05-03 18:09:00,1.0,1.495,597.0,603.0,620.0,29.0,27.0,27.8,28.0,25.6,38.644,45.1,45.5,51.5,23.335,,29.0,,27.0
2017-05-03 18:10:00,1.0,2.3040000000000003,595.0,600.0,626.0,29.0,27.0,27.8,28.0,25.6,38.588,44.9,45.5,51.4,23.616,,29.0,,27.0
2017-05-03 18:11:00,1.0,1.404,593.0,600.0,630.0,29.0,27.0,27.8,28.0,25.6,38.56,45.1,45.5,51.5,23.472,,29.0,,27.0
2017-05-03 18:12:00,1.0,1.053,596.0,603.0,629.0,29.0,27.0,27.8,28.0,25.6,38.532,45.2,45.6,51.5,23.114,,29.0,,27.0
2017-05-03 18:13:00,1.0,1.328,600.0,602.0,619.0,29.0,27.0,27.8,28.0,25.7,38.504,45.0,45.6,51.5,23.326,,29.0,,27.0
2017-05-03 18:14:00,1.0,0.748,601.0,600.0,618.0,29.0,27.0,27.8,28.0,25.7,38.476,45.0,45.7,51.5,23.253,,29.0,,27.0
2017-05-03 18:15:00,1.0,1.3430000000000002,601.0,599.0,618.0,29.0,27.0,27.8,28.0,25.7,38.449,45.2,45.7,51.5,23.251,,29.0,,27.0
2017-05-03 18:16:00,1.0,0.7170000000000001,599.0,600.0,619.0,29.0,27.0,27.8,28.0,25.7,38.421,45.0,45.7,51.5,23.498,,29.0,,27.0
2017-05-03 18:17:00,1.0,0.7020000000000001,596.0,604.0,622.0,29.0,27.0,27.8,28.0,25.7,38.393,45.0,45.7,51.5,23.39,,29.0,,27.0
2017-05-03 18:18:00,1.0,0.916,592.0,603.0,620.0,29.0,27.0,27.8,27.9,25.7,38.365,45.0,45.7,51.6,23.103,,29.0,,27.0
2017-05-03 18:19:00,1.0,0.7020000000000001,587.0,600.0,615.0,29.0,27.0,27.8,28.0,25.7,38.337,45.0,45.8,51.7,23.173,,29.0,,27.0
2017-05-03 18:20:00,1.0,0.809,586.0,598.0,610.0,29.0,27.0,27.8,28.0,25.7,38.337,45.1,45.7,51.7,23.03,,29.0,,27.0
2017-05-03 18:21:00,1.0,0.7020000000000001,583.0,596.0,611.0,29.0,27.0,27.8,28.0,25.7,38.309,45.2,45.7,51.7,23.384,,29.0,,27.0
2017-05-03 18:22:00,1.0,0.687,586.0,598.0,610.0,29.0,27.0,27.8,28.0,25.7,38.282,45.1,45.7,51.9,23.738000000000003,,29.0,,27.0
2017-05-03 18:23:00,1.0,0.748,592.0,598.0,611.0,29.0,27.0,27.8,27.9,25.7,38.282,45.2,45.7,51.7,23.667,,29.0,,27.0
2017-05-03 18:24:00,1.0,0.687,595.0,601.0,614.0,29.0,27.0,27.8,27.9,25.7,38.254,45.2,45.8,51.5,23.807,,29.0,,27.0
2017-05-03 18:25:00,1.0,0.748,596.0,600.0,609.0,29.0,27.0,27.8,27.9,25.7,38.226,45.2,45.8,51.5,23.592,,29.0,,27.0
2017-05-03 18:26:00,1.0,1.007,596.0,607.0,608.0,29.0,27.0,27.8,27.9,25.7,38.226,45.1,45.8,51.4,23.734,,29.0,,27.0
2017-05-03 18:27:00,1.0,0.809,599.0,619.0,611.0,29.0,27.0,27.8,27.9,25.7,38.198,45.4,46.0,51.3,23.804,,29.0,,27.0
2017-05-03 18:28:00,1.0,0.687,605.0,633.0,614.0,29.0,27.0,27.8,27.9,25.8,38.198,45.3,46.0,51.4,23.804,,29.0,,27.0
2017-05-03 18:29:00,1.0,0.7020000000000001,612.0,643.0,617.0,29.0,27.0,27.8,27.9,25.7,38.198,45.3,45.9,51.3,23.732,,29.0,,27.0
2017-05-03 18:30:00,1.0,0.763,617.0,653.0,617.0,29.0,27.0,27.8,27.9,25.8,38.17,45.6,45.9,51.4,23.944000000000006,,29.0,,27.0
2017-05-03 18:31:00,1.0,0.977,620.0,653.0,618.0,29.0,27.0,27.8,27.8,25.8,38.17,45.4,45.8,51.4,24.334,,29.0,,27.0
2017-05-03 18:32:00,1.0,0.763,617.0,659.0,615.0,29.0,27.0,27.8,27.8,25.8,38.143,45.7,45.8,51.4,24.013,,29.0,,27.0
2017-05-03 18:33:00,1.0,0.7020000000000001,627.0,657.0,614.0,29.0,27.0,27.8,27.8,25.8,38.143,45.4,46.0,51.4,24.084,,29.0,,27.0
2017-05-03 18:34:00,1.0,0.687,633.0,665.0,610.0,33.0,29.0,27.8,27.8,25.8,38.115,45.3,46.1,51.5,24.153,,33.0,,29.0
2017-05-03 18:35:00,1.0,0.7929999999999999,632.0,682.0,606.0,33.0,29.0,27.8,27.8,25.8,38.087,45.2,46.3,51.6,24.151,,33.0,,29.0
2017-05-03 18:36:00,1.0,0.931,627.0,708.0,605.0,33.0,29.0,27.8,27.8,25.8,38.087,45.2,46.3,51.7,24.009,,33.0,,29.0
2017-05-03 18:37:00,1.0,0.885,626.0,722.0,601.0,33.0,29.0,27.8,27.8,25.8,38.06,45.1,46.2,51.7,24.362,,33.0,,29.0
2017-05-03 18:38:00,1.0,1.19,626.0,716.0,601.0,33.0,29.0,27.8,27.8,25.8,38.06,45.1,46.5,51.8,24.362,,33.0,,29.0
2017-05-03 18:39:00,1.0,1.3730000000000002,623.0,722.0,601.0,33.0,29.0,27.8,27.8,25.8,38.032,45.0,46.7,51.8,24.537,,33.0,,29.0
2017-05-03 18:40:00,1.0,0.7020000000000001,617.0,731.0,599.0,33.0,29.0,27.8,27.8,25.8,38.032,45.0,46.8,51.8,24.502,,33.0,,29.0
2017-05-03 18:41:00,1.0,1.2819999999999998,616.0,745.0,599.0,33.0,29.0,27.8,27.8,25.9,38.004,45.0,46.9,51.9,24.783,,33.0,,29.0
2017-05-03 18:42:00,1.0,1.556,613.0,764.0,594.0,33.0,29.0,27.8,27.8,25.9,38.004,45.0,46.9,51.9,24.571,,33.0,,29.0
2017-05-03 18:43:00,1.0,1.328,609.0,766.0,592.0,33.0,29.0,27.8,27.8,25.9,38.004,45.1,46.8,51.9,24.713,,33.0,,29.0
2017-05-03 18:44:00,1.0,1.48,607.0,746.0,591.0,33.0,29.0,27.8,27.8,25.9,38.004,45.1,46.7,51.9,24.925,,33.0,,29.0
2017-05-03 18:45:00,1.0,2.7310000000000003,609.0,738.0,591.0,33.0,29.0,27.8,27.9,25.9,37.976,45.6,46.4,52.0,24.994,,33.0,,29.0
2017-05-03 18:46:00,1.0,2.472,608.0,741.0,591.0,33.0,29.0,27.8,28.0,26.0,37.949,45.5,45.8,51.8,25.204,,33.0,,29.0
2017-05-03 18:47:00,1.0,1.617,611.0,665.0,591.0,33.0,29.0,27.9,28.0,26.0,37.921,45.4,45.8,51.5,25.379,,33.0,,29.0
2017-05-03 18:48:00,1.0,1.801,612.0,652.0,592.0,33.0,29.0,27.9,28.1,26.1,37.921,45.3,45.6,51.2,25.556,,33.0,,29.0
2017-05-03 18:49:00,1.0,1.3730000000000002,612.0,643.0,594.0,33.0,29.0,28.0,28.2,26.1,37.893,45.1,45.3,50.9,25.731,,33.0,,29.0
2017-05-03 18:50:00,1.0,1.404,610.0,636.0,593.0,33.0,29.0,28.0,28.2,26.2,37.866,45.1,45.3,50.8,25.764,,33.0,,29.0
2017-05-03 18:51:00,1.0,1.175,605.0,633.0,598.0,33.0,29.0,28.0,28.3,26.2,37.838,45.1,45.1,50.9,25.762,,33.0,,29.0
2017-05-03 18:52:00,1.0,1.358,605.0,631.0,603.0,33.0,29.0,28.1,28.3,26.2,37.811,45.0,45.1,50.6,25.619,,33.0,,29.0
2017-05-03 18:53:00,1.0,1.511,605.0,626.0,608.0,33.0,29.0,28.1,28.3,26.2,37.755,44.9,45.1,50.5,25.756,,33.0,,29.0
2017-05-03 18:54:00,1.0,1.007,605.0,618.0,608.0,33.0,29.0,28.1,28.3,26.2,37.7,44.9,45.1,50.6,25.752,,33.0,,29.0
2017-05-03 18:55:00,1.0,0.7020000000000001,607.0,617.0,609.0,33.0,29.0,28.1,28.3,26.3,37.673,44.9,45.1,50.3,25.821,,33.0,,29.0
2017-05-03 18:56:00,1.0,0.7020000000000001,603.0,618.0,609.0,33.0,29.0,28.1,28.3,26.3,37.618,44.8,45.1,50.2,25.817,,33.0,,29.0
2017-05-03 18:57:00,1.0,1.144,600.0,612.0,609.0,33.0,29.0,28.2,28.3,26.3,37.563,44.8,45.1,50.3,25.813,,33.0,,29.0
2017-05-03 18:58:00,1.0,1.129,599.0,606.0,609.0,33.0,29.0,28.2,28.3,26.3,37.535,44.7,45.0,50.2,25.952,,33.0,,29.0
2017-05-03 18:59:00,1.0,0.7020000000000001,592.0,610.0,609.0,33.0,29.0,28.2,28.3,26.3,37.48,44.7,45.0,50.1,25.948,,33.0,,29.0
2017-05-03 19:00:00,0.0,0.687,592.0,616.0,612.0,33.0,29.0,28.2,28.3,26.3,37.425,44.6,45.0,50.2,26.085,,33.0,,29.0
2017-05-03 19:01:00,0.0,0.7170000000000001,593.0,616.0,612.0,33.0,29.0,28.2,28.3,26.3,37.37,44.6,45.1,50.2,26.081,,33.0,,29.0
2017-05-03 19:02:00,0.0,0.687,590.0,614.0,614.0,33.0,29.0,28.2,28.3,26.3,37.315,44.4,45.2,50.3,26.218000000000004,,33.0,,29.0
2017-05-03 19:03:00,0.0,0.7020000000000001,590.0,616.0,612.0,33.0,29.0,28.2,28.3,26.3,37.261,44.4,45.2,50.4,26.25,,33.0,,29.0
