Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR4,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR4,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_TO3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR4,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_TO3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-05-26 18:00:00,3,7.8279999999999985,578,608,582,560.0,0.009000000000000001,13.0,14.0,23.3,22.7,22.2,22.6,22.824,22.417,22.92,22.585,22.705,22.274,43.8,45.5,48.0,43.7,44.849,45.635,44.989,46.583,45.124,48.17,,13.0,,14.0
2017-05-26 18:01:00,3,7.8279999999999985,583,608,581,560.0,0.009000000000000001,13.0,14.0,23.3,22.7,22.2,22.6,22.824,22.417,22.92,22.585,22.705,22.25,43.8,45.5,48.1,43.7,44.849,45.378,44.989,46.583,45.124,48.167,,13.0,,14.0
2017-05-26 18:02:00,3,7.8279999999999985,584,607,578,557.0,0.008,13.0,14.0,23.3,22.7,22.2,22.6,22.824,22.417,22.92,22.609,22.705,22.274,43.9,45.5,48.1,43.8,44.913,45.603,44.957,46.58600000000001,45.124,48.234,,13.0,,14.0
2017-05-26 18:03:00,3,7.8279999999999985,591,610,578,555.0,0.008,13.0,14.0,23.3,22.7,22.2,22.7,22.824,22.417,22.944000000000006,22.609,22.729,22.274,44.0,45.5,48.5,43.8,44.881,46.019,44.96,46.554,45.095,48.456,,13.0,,14.0
2017-05-26 18:04:00,3,7.8279999999999985,593,608,581,555.0,0.009000000000000001,13.0,14.0,23.3,22.7,22.2,22.6,22.824,22.417,22.92,22.609,22.729,22.298,43.9,45.5,48.0,43.8,44.881,45.76300000000001,44.925,46.554,45.062,48.396,,13.0,,14.0
2017-05-26 18:05:00,3,7.8279999999999985,594,607,582,557.0,0.009000000000000001,13.0,14.0,23.3,22.7,22.2,22.7,22.824,22.417,22.92,22.609,22.729,22.226,43.9,45.5,48.1,43.8,44.881,46.147,44.925,46.522,45.03,48.64,,13.0,,14.0
2017-05-26 18:06:00,3,7.8279999999999985,589,607,581,554.0,0.009000000000000001,13.0,14.0,23.2,22.7,22.2,22.7,22.824,22.417,22.92,22.609,22.729,22.226,43.9,45.5,48.2,43.8,44.881,46.275,44.925,46.618,45.095,48.894,,13.0,,14.0
2017-05-26 18:07:00,3,7.8279999999999985,583,615,583,555.0,0.009000000000000001,13.0,14.0,23.3,22.7,22.3,22.7,22.824,22.417,22.92,22.609,22.729,22.25,43.9,45.6,48.5,43.8,44.913,45.827,45.021,46.554,45.095,48.897,,13.0,,14.0
2017-05-26 18:08:00,3,7.584,578,615,584,552.0,0.01,13.0,14.0,23.3,22.7,22.3,22.7,22.8,22.417,22.92,22.609,22.729,22.13,43.7,45.6,48.8,43.8,44.942,45.955,45.021,46.618,45.095,49.04,,13.0,,14.0
2017-05-26 18:09:00,3,7.8279999999999985,581,615,583,554.0,0.01,13.0,14.0,23.3,22.7,22.3,22.7,22.8,22.417,22.896,22.609,22.729,22.106,43.7,45.6,48.5,43.8,44.942,45.987,45.05,46.65,45.127,49.322,,13.0,,14.0
