Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR5,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR5,T_ETC_OUT,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR5,RH_ETC_OUT,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-11-07 18:00:00,2.0,7.599,703.0,836.0,552.0,393.0,0.019,11.0,12,22.8,21.7,21.9,17.4,22.8,22.537,,21.223000000000006,14.505,40.8,44.2,43.0,38.6,38.152,45.585,,46.702,56.926,,11.0,,12.0
2017-11-07 18:01:00,2.0,6.226,702.0,834.0,550.0,389.0,0.019,11.0,12,22.8,21.7,21.9,17.3,22.8,22.537,,21.223000000000006,14.433,40.8,44.2,43.0,39.8,37.627,45.617,,46.702,56.825,,11.0,,12.0
2017-11-07 18:02:00,1.0,6.409,705.0,832.0,552.0,388.0,0.019,11.0,12,22.8,21.7,21.9,17.2,22.824,22.537,,21.246,14.385,40.9,44.2,43.0,39.7,37.234,45.649,,46.768,56.938,,11.0,,12.0
2017-11-07 18:03:00,2.0,8.118,703.0,833.0,559.0,388.0,0.019,11.0,12,22.8,21.7,21.9,17.2,22.824,22.513,,21.246,14.314,40.9,44.2,43.0,39.9,37.234,45.935,,46.768,57.349,,11.0,,12.0
2017-11-07 18:04:00,2.0,7.752000000000002,703.0,836.0,561.0,388.0,0.021,11.0,12,22.8,21.7,21.9,17.2,22.848000000000006,22.513,,21.246,14.242,40.9,44.2,43.0,39.0,37.039,46.03100000000001,,46.736,57.81800000000001,,11.0,,12.0
2017-11-07 18:05:00,2.0,7.98,702.0,834.0,561.0,394.0,0.021,11.0,12,22.8,21.7,21.9,17.1,22.848000000000006,22.513,,21.246,14.146,40.9,44.2,43.0,38.8,36.94,46.095,,46.768,58.103,,11.0,,12.0
2017-11-07 18:06:00,2.0,7.477,705.0,833.0,561.0,394.0,0.017,11.0,12,22.8,21.7,21.9,17.0,22.848000000000006,22.513,,21.246,14.074000000000002,40.9,44.2,43.0,38.8,36.842,46.159,,46.8,58.482,,11.0,,12.0
2017-11-07 18:07:00,2.0,6.714,705.0,833.0,561.0,394.0,0.017,11.0,12,22.8,21.7,21.9,17.0,22.872,22.513,,21.246,14.002,40.9,44.2,43.0,39.4,36.712,46.255,,46.768,58.62,,11.0,,12.0
2017-11-07 18:08:00,2.0,7.935,704.0,832.0,559.0,392.0,0.019,11.0,12,22.8,21.7,21.9,16.9,22.896,22.513,,21.246,13.93,40.9,44.2,43.0,39.6,36.681,46.351000000000006,,46.768,59.087,,11.0,,12.0
2017-11-07 18:09:00,2.0,7.706,705.0,830.0,561.0,394.0,0.019,11.0,12,22.8,21.7,21.9,16.9,22.896,22.513,,21.246,13.834,40.9,44.3,43.0,40.7,36.517,46.383,,46.768,59.43,,11.0,,12.0
2017-11-07 18:10:00,1.0,7.202000000000001,707.0,828.0,561.0,397.0,0.018000000000000002,11.0,12,22.8,21.7,21.9,16.8,22.896,22.513,,21.246,13.786,40.9,44.3,43.0,40.8,36.352,46.351000000000006,,46.768,59.273,,11.0,,12.0
2017-11-07 18:11:00,2.0,7.568,705.0,829.0,557.0,397.0,0.018000000000000002,11.0,12,22.7,21.7,21.9,16.7,22.896,22.513,,21.246,13.714,40.9,44.3,43.0,40.3,36.12,46.351000000000006,,46.8,58.784,,11.0,,12.0
2017-11-07 18:12:00,1.0,8.148,702.0,828.0,556.0,401.0,0.019,11.0,12,22.7,21.7,21.9,16.7,22.896,22.513,,21.246,13.666,40.9,44.3,43.1,39.7,37.274,46.415,,46.832,58.896,,11.0,,12.0
2017-11-07 18:13:00,2.0,7.5379999999999985,705.0,826.0,553.0,398.0,0.019,11.0,12,22.7,21.7,21.9,16.6,22.896,22.489,,21.246,13.642,40.9,44.3,43.0,39.8,36.253,46.54,,46.832,59.25,,11.0,,12.0
2017-11-07 18:14:00,2.0,7.584,705.0,827.0,553.0,396.0,0.019,11.0,12,22.7,21.7,21.9,16.6,22.896,22.489,,21.246,13.594,40.9,44.3,43.1,39.6,36.186,46.54,,46.832,59.6,,11.0,,12.0
2017-11-07 18:15:00,2.0,6.5920000000000005,705.0,826.0,558.0,394.0,0.019,11.0,12,22.7,21.7,21.9,16.5,22.896,22.489,,21.246,13.546,41.0,44.3,43.1,40.0,35.955,46.572,,46.959,59.889,,11.0,,12.0
2017-11-07 18:16:00,2.0,7.431,702.0,828.0,556.0,394.0,0.018000000000000002,11.0,12,22.7,21.7,21.9,16.5,22.896,22.489,,21.246,13.522,41.0,44.4,43.0,39.2,35.856,46.508,,46.896,59.826,,11.0,,12.0
2017-11-07 18:17:00,2.0,7.5379999999999985,702.0,828.0,553.0,396.0,0.018000000000000002,11.0,12,22.7,21.7,21.9,16.4,22.896,22.489,,21.246,13.449000000000002,41.0,44.3,43.1,40.0,35.922,46.508,,46.832,60.023,,11.0,,12.0
2017-11-07 18:18:00,2.0,7.614,703.0,832.0,553.0,394.0,0.019,11.0,12,22.7,21.7,21.9,16.4,22.896,22.489,,21.27,13.401,41.0,44.3,43.1,42.1,36.054,46.412,,46.835,60.49,,11.0,,12.0
