Time,PM_MET_IN1,PM_MET_OUT,PM_PDR_IN1,PM_PDR_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-05-23 18:00:00,2.0,2.777,2.76,3.99,921.0,982.0,924.0,0.003,18.0,20.0,23.6,22.4,21.9,31.637,29.34,31.281,22.968000000000004,33.992,50.0,53.3,52.7,38.322,45.855,38.89,51.332,33.593,,18.0,,20.0
2017-05-23 18:01:00,2.0,2.609,2.69,3.97,916.0,982.0,928.0,0.003,18.0,21.0,23.6,22.4,21.9,31.612,29.315,31.255,22.968000000000004,33.835,50.1,53.2,52.8,37.74800000000001,45.786,38.787,51.364,33.784,,18.0,,21.0
2017-05-23 18:02:00,2.0,2.64,2.5,3.6,916.0,980.0,930.0,0.003,18.0,21.0,23.6,22.4,21.9,31.586,29.315,31.255,22.968000000000004,33.704,50.1,53.0,52.8,37.712,45.786,38.753,51.364,33.43,,18.0,,21.0
2017-05-23 18:03:00,2.0,2.2430000000000003,2.81,3.76,916.0,971.0,934.0,0.003,18.0,21.0,23.6,22.4,21.9,31.51,29.29,31.255,22.944000000000006,33.574,50.1,53.2,52.6,38.309,45.685,38.586,51.392,33.556,,18.0,,21.0
2017-05-23 18:04:00,3.0,2.106,2.49,3.78,917.0,967.0,938.0,0.003,18.0,21.0,23.5,22.4,21.9,31.484,29.29,31.255,22.944000000000006,33.469,50.1,52.9,52.8,38.105,45.653,38.418,51.361,33.649,,18.0,,21.0
2017-05-23 18:05:00,2.0,2.579,2.69,3.76,917.0,959.0,943.0,0.003,18.0,21.0,23.5,22.4,21.9,31.459,29.29,31.255,22.944000000000006,33.365,50.1,52.8,52.7,38.707,45.62,38.552,51.613,35.379,,18.0,,21.0
2017-05-23 18:06:00,2.0,1.968,2.54,3.82,916.0,955.0,946.0,0.003,18.0,21.0,23.5,22.4,21.9,31.459,29.29,31.255,22.944000000000006,33.235,49.9,52.8,52.6,38.975,45.685,38.921,51.392,36.01300000000001,,18.0,,21.0
2017-05-23 18:07:00,2.0,2.487,2.74,3.85,921.0,947.0,951.0,0.003,18.0,21.0,23.5,22.4,21.9,31.433000000000003,29.29,31.255,22.944000000000006,33.131,50.2,52.6,52.7,38.302,45.685,38.82,51.392,34.949,,18.0,,21.0
2017-05-23 18:08:00,2.0,1.801,2.69,4.14,929.0,945.0,953.0,0.003,18.0,21.0,23.4,22.3,21.9,31.357,29.265,31.255,23.016,33.001,50.1,52.8,52.7,36.544,43.519,36.669,53.789,34.869,,18.0,,21.0
2017-05-23 18:09:00,2.0,1.6780000000000002,2.69,4.05,933.0,939.0,952.0,0.003,18.0,21.0,23.4,22.3,21.9,31.23,29.24,31.204,23.112,32.898,50.3,52.8,52.7,38.751,45.549,38.51300000000001,52.642,35.132,,18.0,,21.0
2017-05-23 18:10:00,2.0,2.625,2.63,4.15,933.0,937.0,953.0,0.004,18.0,21.0,23.4,22.3,21.9,31.179,29.215,31.179,23.16,32.82,50.2,52.9,52.7,38.645,45.676,38.41,52.083,35.158,,18.0,,21.0
