Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR3,CO2_ETC_BR6,NO2_AQL_IN1,FRM_FMM_IN1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR3,T_ETC_BR6,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_BA4,T_HBO_LAU,T_HBO_TO3,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR3,RH_ETC_BR6,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_BA4,RH_HBO_LAU,RH_HBO_TO3,FRM_FLG_IN1,FRM_ADJ_IN1
2017-06-21 18:00:00,,6.409,642,667,733,783,674,0.028,25.0,24.4,25.4,24.3,25.2,24.8,36.905,39.63,39.63,27.063,24.122,,53.8,50.6,54.4,52.8,51.4,31.986,27.939,27.939,47.073,55.136,,,25.0
2017-06-21 18:01:00,,7.645,639,661,733,791,677,0.028,25.0,24.4,25.4,24.2,25.2,24.8,37.042,39.686,39.686,26.916,24.122,,53.8,50.6,54.3,52.9,51.4,31.79,27.944000000000006,27.944000000000006,47.022,55.104,,,25.0
2017-06-21 18:02:00,,7.065,643,658,729,800,680,0.04,25.0,24.3,25.4,24.1,25.2,24.8,37.151,39.743,39.743,26.793000000000006,24.122,,53.8,50.6,54.3,52.6,51.4,31.66,27.877,27.877,47.265,55.073,,,25.0
2017-06-21 18:03:00,,7.355,648,658,724,802,679,0.04,25.0,24.3,25.4,24.1,25.2,24.8,37.261,39.8,39.8,26.671,24.122,,53.9,50.6,54.3,52.6,51.5,31.426,27.74,27.74,47.637,55.167,,,25.0
2017-06-21 18:04:00,,6.699,654,661,721,799,674,0.047,25.0,24.3,25.3,24.0,25.2,24.8,37.37,39.857,39.857,26.598000000000006,24.098000000000006,,53.9,50.7,54.2,52.4,51.4,31.192,27.674,27.674,47.69300000000001,55.007,,,25.0
2017-06-21 18:05:00,,9.873,651,660,725,798,674,0.047,25.0,24.2,25.4,24.0,25.2,24.8,37.508,39.914,39.914,26.5,24.098000000000006,,54.0,50.7,54.3,52.4,51.4,30.995,27.608,27.608,47.681,55.132,,,25.0
2017-06-21 18:06:00,,7.904,652,660,728,799,674,0.049,25.0,24.2,25.3,23.9,25.2,24.8,37.618,39.971,39.971,26.426,24.098000000000006,,54.0,50.7,54.2,52.3,51.4,30.865,27.506,27.506,48.09,55.007,,,25.0
2017-06-21 18:07:00,,6.8210000000000015,650,660,728,801,673,0.049,25.0,24.1,25.3,23.9,25.2,24.8,37.728,40.0,40.0,26.378,24.098000000000006,,54.1,50.7,54.2,52.4,51.4,30.665,27.508000000000006,27.508000000000006,48.11600000000001,55.038,,,25.0
2017-06-21 18:08:00,,7.004,647,657,733,802,670,0.047,25.0,24.1,25.3,23.9,25.2,24.8,37.811,40.028,40.028,26.304,24.098000000000006,,54.1,50.6,54.1,52.3,51.4,30.497,27.404,27.404,48.3,54.945,,,25.0
2017-06-21 18:09:00,,7.95,647,657,733,799,667,0.047,25.0,24.0,25.3,23.8,25.2,24.8,37.921,40.057,40.057,26.256,24.098000000000006,,54.3,50.8,54.2,52.6,51.3,30.332,27.406,27.406,48.101000000000006,55.07,,,25.0
2017-06-21 18:10:00,,7.904,649,655,731,800,663,0.046,25.0,24.0,25.3,23.7,25.2,24.8,38.004,40.114,40.114,26.207,24.098000000000006,,54.4,51.5,54.1,53.6,51.3,30.199,27.269,27.269,48.737,56.224,,,25.0
2017-06-21 18:11:00,,6.271,650,649,726,811,657,0.046,25.0,23.9,25.4,23.7,25.2,24.8,38.06,40.142,40.142,26.182,24.146,,54.5,51.8,54.2,54.1,52.3,30.064,27.307,27.307,53.922,56.76,,,25.0
2017-06-21 18:12:00,,6.638,650,647,721,819,657,0.043,25.0,23.9,25.4,23.7,25.3,24.8,38.115,40.142,40.142,26.304,24.243,,54.6,51.7,54.2,54.5,52.6,29.963,27.236,27.236,54.633,57.085,,,25.0
2017-06-21 18:13:00,,6.683,647,643,716,837,657,0.043,25.0,23.9,25.5,23.6,25.3,24.8,38.17,40.171,40.171,26.5,24.412,,54.7,51.6,54.3,54.6,52.4,29.933000000000003,27.273000000000003,27.273000000000003,53.746,57.111,,,25.0
2017-06-21 18:14:00,,6.348,651,646,714,853,652,0.042,25.0,23.8,25.5,23.6,25.4,24.9,38.198,40.2,40.2,26.769,24.605,,54.8,51.5,54.4,54.2,52.4,29.865,27.275,27.275,52.706,56.859,,,25.0
2017-06-21 18:15:00,,8.193999999999999,650,643,712,862,650,0.042,25.0,23.8,25.6,23.6,25.5,24.9,38.226,40.2,40.2,27.087,24.774,,54.8,51.4,54.5,54.5,52.3,29.867,27.205,27.205,51.923,56.542,,,25.0
