Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_OUT,T_HBO_BA1,T_HBO_BA2,T_HBO_TO2,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_OUT,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_TO2,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-09-01 18:00:00,7.0,40.284,766.0,654.0,667.0,416.0,0.01,17.0,20.0,26.3,25.7,26.2,46.8,39.121,40.286,35.662,29.991,39.857,44.0,42.3,41.4,11.6,20.72,19.348,24.835,34.523,18.386,,17.0,,20.0
2017-09-01 18:01:00,7.0,40.848,767.0,655.0,667.0,416.0,0.01,17.0,20.0,26.2,25.7,26.2,46.6,39.093,40.257,35.662,29.966,39.772,43.9,42.3,41.4,11.7,20.934,19.563,24.975,34.52,17.875,,17.0,,20.0
2017-09-01 18:02:00,7.0,41.184,772.0,653.0,664.0,414.0,0.01,17.0,20.0,26.2,25.7,26.2,46.5,39.065,40.228,35.662,29.966,39.715,44.0,42.3,41.4,11.9,20.789,18.623,24.764,34.554,17.872,,17.0,,20.0
2017-09-01 18:03:00,7.0,41.199,774.0,654.0,663.0,415.0,0.009000000000000001,17.0,20.0,26.2,25.6,26.2,46.3,39.036,40.228,35.662,29.941,39.658,43.9,42.4,41.4,12.0,20.715,18.188,24.553,34.586,17.977,,17.0,,20.0
2017-09-01 18:04:00,7.0,41.306,776.0,655.0,667.0,412.0,0.009000000000000001,17.0,20.0,26.2,25.6,26.2,46.1,39.036,40.2,35.636,29.941,39.601,43.8,42.4,41.4,12.0,20.93,18.187,24.481,34.619,18.227,,17.0,,20.0
2017-09-01 18:05:00,7.0,41.23,781.0,656.0,668.0,415.0,0.01,17.0,20.0,26.2,25.6,26.2,45.9,39.008,40.171,35.636,29.941,39.545,43.9,42.5,41.4,12.2,20.929,18.981,24.551,34.619,18.297,,17.0,,20.0
2017-09-01 18:06:00,7.0,41.12300000000001,772.0,659.0,669.0,416.0,0.01,17.0,20.0,26.2,25.6,26.2,45.7,38.98,40.142,35.609,29.941,39.516,43.9,42.5,41.5,12.3,20.855,18.582,24.69,34.653,18.223,,17.0,,20.0
2017-09-01 18:07:00,7.0,41.84,770.0,656.0,672.0,414.0,0.01,17.0,20.0,26.2,25.6,26.2,45.6,38.952,40.142,35.582,29.941,39.46,43.9,42.5,41.5,12.3,20.71,19.124,24.899,34.653,17.930999999999994,,17.0,,20.0
2017-09-01 18:08:00,7.0,41.764,776.0,655.0,677.0,412.0,0.01,17.0,20.0,26.2,25.6,26.1,45.4,38.924,40.114,35.582,29.916,39.431,43.9,42.5,41.5,12.4,20.852,19.627,24.97,34.719,18.29,,17.0,,20.0
2017-09-01 18:09:00,7.0,41.489,774.0,656.0,680.0,417.0,0.01,17.0,20.0,26.2,25.6,26.1,45.2,38.896,40.085,35.582,29.916,39.31800000000001,43.9,42.5,41.6,12.5,20.994,19.409,25.005,34.786,18.573,,17.0,,20.0
2017-09-01 18:10:00,7.0,42.252,776.0,659.0,682.0,413.0,0.01,17.0,20.0,26.2,25.6,26.1,45.1,38.84,40.057,35.582,29.916,39.262,43.7,42.5,41.6,12.7,21.42,19.407,24.935,34.719,18.714,,17.0,,20.0
2017-09-01 18:11:00,7.0,40.528,774.0,666.0,684.0,412.0,0.009000000000000001,17.0,20.0,26.2,25.6,26.1,44.9,38.812,40.057,35.555,29.89,39.149,44.0,42.5,41.7,12.8,21.275,18.902,24.686,34.716,18.42,,17.0,,20.0
2017-09-01 18:12:00,7.0,41.12300000000001,773.0,667.0,690.0,410.0,0.009000000000000001,17.0,20.0,26.2,25.6,26.1,44.8,38.784,40.028,35.555,29.89,39.121,44.1,42.6,41.8,12.8,21.309,17.743,24.264,34.716,18.851,,17.0,,20.0
2017-09-01 18:13:00,7.0,40.192,773.0,669.0,694.0,409.0,0.01,17.0,20.0,26.2,25.5,26.0,44.6,38.756,40.0,35.555,29.89,39.008,43.8,42.7,41.9,13.0,21.701,17.959,24.193,34.716,18.881,,17.0,,20.0
2017-09-01 18:14:00,7.0,39.841,781.0,671.0,693.0,415.0,0.01,17.0,20.0,26.2,25.5,26.0,44.5,38.728,39.971,35.555,29.89,38.924,44.1,42.7,41.8,13.0,21.342,18.536,24.334,34.716,18.984,,17.0,,20.0
2017-09-01 18:15:00,7.0,42.115,781.0,668.0,697.0,418.0,0.01,17.0,20.0,26.2,25.5,26.0,44.3,38.672,39.94300000000001,35.555,29.865,38.812,43.9,42.8,41.8,13.1,21.338,18.173,24.193,34.815,19.05,,17.0,,20.0
2017-09-01 18:16:00,7.0,41.352,777.0,674.0,694.0,419.0,0.01,17.0,20.0,26.2,25.5,26.0,44.2,38.644,39.914,35.529,29.865,38.728,44.0,42.8,41.8,13.2,21.05,18.894,24.544,34.781,19.081,,17.0,,20.0
2017-09-01 18:17:00,7.0,40.467,777.0,678.0,697.0,421.0,0.01,17.0,20.0,26.2,25.5,26.0,44.1,38.616,39.886,35.529,29.84,38.672,44.1,42.8,41.8,13.3,21.12,19.254,24.755,34.813,19.258,,17.0,,20.0
2017-09-01 18:18:00,7.0,44.434,777.0,680.0,701.0,418.0,0.01,17.0,20.0,26.2,25.5,26.0,44.0,38.588,39.857,35.529,29.84,38.644,44.0,42.8,41.8,13.4,21.047,19.18,24.755,34.88,18.969,,17.0,,20.0
2017-09-01 18:19:00,6.0,41.077,782.0,680.0,697.0,416.0,0.009000000000000001,17.0,20.0,26.2,25.5,26.0,43.8,38.56,39.829,35.529,29.84,38.588,43.8,42.8,41.9,13.4,21.045,19.034,24.79,34.847,19.469,,17.0,,20.0
2017-09-01 18:20:00,6.0,44.327,779.0,680.0,701.0,416.0,0.009000000000000001,17.0,20.0,26.2,25.4,26.0,43.7,38.504,39.8,35.50199999999999,29.84,38.476,43.8,42.8,41.9,13.5,21.114,19.897,24.999,34.914,19.606,,17.0,,20.0
2017-09-01 18:21:00,7.0,42.1,781.0,683.0,699.0,416.0,0.01,17.0,20.0,26.2,25.5,26.0,43.6,38.476,39.772,35.50199999999999,29.84,38.337,43.8,43.0,41.9,13.6,21.255,20.04,25.175,34.914,19.598,,17.0,,20.0
2017-09-01 18:22:00,7.0,39.948,783.0,688.0,700.0,416.0,0.01,17.0,20.0,26.2,25.5,26.0,43.5,38.449,39.743,35.475,29.84,38.254,43.9,42.9,41.9,13.7,21.182,19.966,25.244,34.948,19.737,,17.0,,20.0
2017-09-01 18:23:00,6.0,42.191,783.0,693.0,701.0,415.0,0.009000000000000001,17.0,20.0,26.2,25.5,25.9,43.4,38.421,39.715,35.475,29.84,38.143,43.8,42.8,42.1,13.8,21.287,19.964,25.244,34.914,20.233,,17.0,,20.0
2017-09-01 18:24:00,6.0,41.733,786.0,693.0,702.0,416.0,0.009000000000000001,17.0,20.0,26.2,25.4,26.0,43.2,38.393,39.715,35.475,29.815,38.032,43.7,43.0,41.9,14.0,21.393,19.964,25.314,34.844,20.083,,17.0,,20.0
2017-09-01 18:25:00,7.0,40.51300000000001,781.0,696.0,709.0,414.0,0.009000000000000001,17.0,20.0,26.2,25.4,25.9,43.1,38.337,39.686,35.475,29.815,37.921,43.5,42.9,41.9,14.0,21.532,19.963,25.384,34.912,20.327,,17.0,,20.0
2017-09-01 18:26:00,7.0,41.947,770.0,696.0,706.0,415.0,0.009000000000000001,17.0,20.0,26.2,25.4,25.9,43.0,38.309,39.658,35.422,29.815,37.838,43.4,42.9,41.9,14.1,21.459,19.889,25.31,34.979,20.644,,17.0,,20.0
2017-09-01 18:27:00,7.0,41.489,770.0,695.0,704.0,414.0,0.01,17.0,20.0,26.2,25.4,25.9,42.9,38.282,39.63,35.368,29.815,37.755,43.4,42.8,41.9,14.1,21.529,19.852,25.307,34.946,20.497,,17.0,,20.0
2017-09-01 18:28:00,7.0,42.435,768.0,699.0,706.0,415.0,0.01,17.0,20.0,26.2,25.4,25.9,42.8,38.226,39.63,35.368,29.815,37.645,43.4,42.8,41.9,14.1,21.597,20.247,25.482,34.878,20.848000000000006,,17.0,,20.0
2017-09-01 18:29:00,7.0,39.994,765.0,699.0,710.0,414.0,0.01,17.0,20.0,26.2,25.4,25.9,42.7,38.198,39.601,35.368,29.815,37.563,43.3,42.8,41.9,14.2,21.667,20.389,25.587,34.912,21.128,,17.0,,20.0
2017-09-01 18:30:00,7.0,42.42,765.0,703.0,710.0,416.0,0.01,17.0,20.0,26.2,25.4,25.9,42.6,38.143,39.601,35.368,29.79,37.48,43.3,42.8,41.9,14.3,21.735,19.814,25.517,34.977,20.623,,17.0,,20.0
2017-09-01 18:31:00,8.0,42.924,773.0,700.0,706.0,417.0,0.01,17.0,20.0,26.2,25.4,25.9,42.5,38.115,39.573,35.368,29.79,37.425,43.2,42.8,41.9,14.4,21.805,20.46,25.587,34.909,20.834,,17.0,,20.0
2017-09-01 18:32:00,7.0,43.32,773.0,700.0,703.0,416.0,0.01,17.0,20.0,26.2,25.3,25.9,42.4,38.087,39.545,35.395,29.79,37.343,43.3,42.8,41.9,14.6,21.731,20.386,25.624,34.943000000000005,20.937,,17.0,,20.0
2017-09-01 18:33:00,7.0,41.657,768.0,697.0,697.0,413.0,0.01,17.0,20.0,26.2,25.3,25.9,42.3,38.032,39.545,35.395,29.79,37.288,43.2,42.8,41.9,14.6,21.871,20.458,25.66,34.842,21.397,,17.0,,20.0
2017-09-01 18:34:00,7.0,40.406,758.0,692.0,697.0,414.0,0.01,17.0,20.0,26.2,25.3,25.9,42.2,38.004,39.545,35.368,29.79,37.233,43.2,42.9,41.9,14.7,22.012,20.53,25.658,34.909,21.358,,17.0,,20.0
2017-09-01 18:35:00,7.0,40.253,755.0,689.0,701.0,418.0,0.01,17.0,20.0,26.2,25.3,25.9,42.1,37.949,39.516,35.368,29.765,37.151,43.1,42.9,41.9,14.8,22.151,20.528,25.728,34.907,21.246,,17.0,,20.0
2017-09-01 18:36:00,7.0,43.565,752.0,688.0,706.0,421.0,0.01,17.0,20.0,26.1,25.3,25.8,42.0,37.893,39.488,35.342,29.765,37.096,43.1,42.9,41.9,14.9,22.219,20.095,25.656,34.84,21.599,,17.0,,20.0
2017-09-01 18:37:00,7.0,41.52,750.0,689.0,706.0,418.0,0.011,17.0,20.0,26.1,25.3,25.8,41.9,37.838,39.488,35.315,29.765,37.069,43.1,42.9,41.9,15.0,22.286,20.598000000000006,25.724,34.907,21.669,,17.0,,20.0
2017-09-01 18:38:00,7.0,43.229,750.0,689.0,707.0,415.0,0.011,17.0,20.0,26.1,25.3,25.8,41.8,37.783,39.46,35.28800000000001,29.74,37.015,43.0,42.8,41.9,15.1,22.212,20.561,25.757,34.905,21.38,,17.0,,20.0
2017-09-01 18:39:00,7.0,40.986,748.0,686.0,709.0,418.0,0.011,17.0,20.0,26.1,25.2,25.8,41.7,37.755,39.431,35.28800000000001,29.74,36.96,43.1,42.9,41.9,15.1,22.352,20.523000000000003,25.757,34.905,21.591,,17.0,,20.0
2017-09-01 18:40:00,7.0,45.808,755.0,684.0,706.0,415.0,0.011,17.0,20.0,26.1,25.2,25.8,41.6,37.7,39.431,35.262,29.74,36.878,43.1,42.9,41.9,15.2,22.491,20.451,25.755,34.871,22.368,,17.0,,20.0
2017-09-01 18:41:00,7.0,42.252,761.0,683.0,706.0,417.0,0.011,17.0,20.0,26.1,25.2,25.8,41.5,37.7,39.403,35.208,29.74,36.796,43.0,42.9,41.9,15.2,22.42,20.378,25.787,34.972,22.008000000000006,,17.0,,20.0
2017-09-01 18:42:00,7.0,42.206,750.0,687.0,705.0,418.0,0.011,17.0,20.0,26.1,25.2,25.8,41.4,37.673,39.375,35.208,29.715,36.715,42.9,42.9,41.9,15.2,22.632,20.664,25.822,34.902,21.896,,17.0,,20.0
2017-09-01 18:43:00,8.0,44.38800000000001,742.0,684.0,704.0,417.0,0.011,17.0,20.0,26.1,25.2,25.8,41.3,37.645,39.375,35.181999999999995,29.715,36.688,43.2,42.9,41.9,15.4,22.986,20.592,25.82,34.97,22.356,,17.0,,20.0
