Time,PM_MET_IN1,PM_MET_OUT,PM_PDR_IN1,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR3,NO2_AQL_IN1,FRM_FMM_IN1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR3,TS_HBI_GRD,T_HBO_BA1,T_HBO_BA2,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR3,RHS_HBI_GRD,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1
2017-11-08 14:55:00,,,5.68,,,,,,12.0,,,,,,,,,,,,,,,,,,,,12.0
2017-11-08 14:56:00,,,5.65,,,,,,12.0,,,,,,,,,,,,,,,,,,,,12.0
2017-11-08 14:57:00,,,5.47,,,,,,12.0,,,,,,,,,,,,,,,,,,,,12.0
2017-11-08 14:58:00,,,5.89,,,,,,12.0,,,,,,,,,,,,,,,,,,,,12.0
2017-11-08 14:59:00,,,5.3,,,,,,12.0,,,,,,,,,,,,,,,,,,,,12.0
2017-11-08 15:00:00,4.0,1.419,5.27,592.0,716.0,638.0,710.0,0.01,12.0,21.0,19.8,21.1,21.8,15.154000000000002,20.46,22.226,21.127,17.415,43.3,46.0,42.9,41.5,69.65899999999999,47.97,42.457,44.45399999999999,65.163,,12.0
2017-11-08 15:01:00,3.0,1.77,5.18,590.0,709.0,634.0,706.0,0.01,12.0,21.0,19.8,21.0,21.9,15.512,20.365,22.226,21.079,17.32,43.4,46.6,42.7,41.4,63.949,48.495,42.457,44.705,65.324,,12.0
2017-11-08 15:02:00,3.0,2.09,5.63,588.0,707.0,634.0,711.0,0.011,12.0,21.1,19.8,21.0,22.1,15.894,20.317,22.226,21.032,17.272000000000002,43.5,46.8,42.6,41.0,61.791,48.773,42.424,44.795,65.227,,12.0
2017-11-08 15:03:00,3.0,1.556,4.31,581.0,707.0,634.0,721.0,0.011,12.0,21.1,19.8,21.0,22.2,16.227999999999998,20.269,22.226,21.008000000000006,17.201,43.3,46.9,42.6,40.9,60.053,48.798,42.23,44.824,65.539,,12.0
2017-11-08 15:04:00,2.0,3.464,4.38,523.0,700.0,634.0,737.0,0.012,12.0,21.3,19.8,21.0,22.3,16.704,20.222,22.202,20.984,17.13,42.7,46.8,42.6,40.7,57.929,48.981,42.292,44.885,65.11399999999999,,12.0
2017-11-08 15:05:00,3.0,1.022,4.4,506.0,698.0,632.0,748.0,0.012,12.0,21.3,19.8,21.0,22.4,17.085,20.198,22.178,20.936,17.058,42.9,46.7,42.5,40.5,56.562,49.104,42.257,44.784,65.426,,12.0
2017-11-08 15:06:00,3.0,1.877,4.9,502.0,695.0,633.0,755.0,0.012,12.0,21.3,19.8,21.0,22.5,17.371,20.198,22.178,20.936,16.987000000000002,43.3,46.7,42.4,40.6,56.94,49.167,42.257,44.88,65.325,,12.0
2017-11-08 15:07:00,3.0,1.48,4.67,507.0,699.0,633.0,757.0,0.012,12.0,21.3,19.9,21.0,22.5,17.608,20.198,22.178,20.913,16.939,43.5,47.0,42.4,40.4,56.305,49.136,42.289,44.941,65.199,,12.0
2017-11-08 15:08:00,3.0,1.801,4.88,515.0,695.0,633.0,762.0,0.012,12.0,21.3,19.9,21.1,22.6,17.846,20.198,22.154,20.889,16.892,43.6,46.7,42.4,40.3,55.852,49.23,42.38399999999999,44.938,65.33800000000001,,12.0
2017-11-08 15:09:00,3.0,1.526,5.02,523.0,696.0,629.0,761.0,0.012,12.0,21.3,19.9,21.1,22.6,18.037,20.198,22.13,20.889,16.82,43.8,46.7,42.3,40.3,55.452,49.167,42.413,45.034,65.414,,12.0
2017-11-08 15:10:00,3.0,1.6780000000000002,5.07,533.0,699.0,629.0,760.0,0.012,12.0,21.3,19.9,21.1,22.7,18.274,20.198,22.13,20.889,16.749000000000002,43.8,46.6,42.3,40.2,55.088,49.167,42.737,45.098,65.872,,12.0
2017-11-08 15:11:00,3.0,1.831,5.34,542.0,699.0,632.0,757.0,0.012,12.0,21.3,19.9,21.1,22.7,18.488,20.198,22.13,20.865,16.701,44.1,46.7,42.4,40.1,54.905,49.167,42.70399999999999,45.127,65.54,,12.0
2017-11-08 15:12:00,3.0,1.999,5.51,551.0,700.0,630.0,763.0,0.012,12.0,21.3,19.9,21.1,22.7,18.702,20.222,22.13,20.865,16.654,44.2,46.6,42.3,40.1,54.505,49.107,42.963,45.159,65.59100000000001,,12.0
2017-11-08 15:13:00,4.0,1.709,5.56,559.0,702.0,634.0,764.0,0.012,12.0,21.3,19.9,21.1,22.8,18.893,20.222,22.106,20.841,16.605999999999998,44.4,47.1,42.3,40.0,54.101000000000006,49.107,43.089,45.188,65.788,,12.0
2017-11-08 15:14:00,4.0,1.038,5.43,563.0,704.0,633.0,772.0,0.01,12.0,21.4,20.0,21.1,22.8,19.083,20.222,22.106,20.841,16.558,44.5,47.1,42.3,40.2,53.85,49.107,43.218,45.188,65.89699999999999,,12.0
2017-11-08 15:15:00,4.0,1.5719999999999998,5.75,570.0,699.0,632.0,775.0,0.01,12.0,21.4,20.0,21.2,22.8,19.25,20.246,22.082,20.841,16.511,44.6,47.0,42.2,39.9,53.441,49.07899999999999,43.215,45.284,65.977,,12.0
2017-11-08 15:16:00,4.0,1.862,6.11,579.0,696.0,630.0,769.0,0.009000000000000001,12.0,21.4,20.0,21.2,22.8,19.392,20.246,22.082,20.841,16.463,44.7,46.8,42.2,39.9,53.244,49.07899999999999,43.183,45.284,66.145,,12.0
2017-11-08 15:17:00,4.0,2.258,6.27,585.0,689.0,630.0,759.0,0.009000000000000001,12.0,21.4,20.0,21.2,22.8,19.535,20.269,22.082,20.841,16.415,44.8,46.7,42.1,40.0,53.512,49.051,43.151,45.348,66.43,,12.0
2017-11-08 15:18:00,4.0,1.846,6.1,588.0,690.0,629.0,752.0,0.009000000000000001,12.0,21.4,20.0,21.2,22.8,19.678,20.269,22.058000000000003,20.841,16.368,45.0,46.7,42.1,40.1,53.285,48.987,43.213,45.379,66.831,,12.0
2017-11-08 15:19:00,4.0,1.846,6.27,590.0,687.0,629.0,751.0,0.009000000000000001,12.0,21.4,20.0,21.2,22.9,19.797,20.269,22.058000000000003,20.841,16.32,45.2,46.7,42.1,39.9,53.177,49.019,43.18,45.475,67.115,,12.0
2017-11-08 15:20:00,4.0,1.251,6.14,592.0,681.0,622.0,751.0,0.011,12.0,21.5,20.0,21.2,22.9,19.916,20.293,22.034,20.841,16.272000000000002,45.0,46.8,42.1,39.9,52.666,48.99100000000001,43.145,45.539,67.165,,12.0
2017-11-08 15:21:00,4.0,1.175,6.2,598.0,684.0,623.0,754.0,0.011,12.0,21.5,20.0,21.2,23.0,20.035,20.293,22.034,20.817,16.225,45.0,46.9,42.1,40.1,52.153,48.99100000000001,43.01600000000001,45.56800000000001,67.39,,12.0
2017-11-08 15:22:00,4.0,1.6780000000000002,6.47,600.0,683.0,626.0,763.0,0.011,12.0,21.5,20.0,21.3,23.0,20.154,20.293,22.034,20.817,16.201,45.1,47.1,42.0,39.8,52.17,49.022,42.855,45.76,67.181,,12.0
2017-11-08 15:23:00,4.0,1.45,6.33,604.0,683.0,625.0,760.0,0.011,12.0,21.5,20.1,21.3,23.0,20.225,20.317,22.034,20.817,16.177,45.2,46.9,42.0,39.9,51.867,49.025,43.081,45.56800000000001,67.265,,12.0
2017-11-08 15:24:00,4.0,1.358,6.71,612.0,682.0,625.0,759.0,0.013,12.0,21.5,20.1,21.3,23.0,20.297,20.317,22.034,20.793000000000006,16.153,45.1,46.8,42.0,40.1,51.69,49.12,43.21,45.565,67.23100000000001,,12.0
2017-11-08 15:25:00,4.0,1.831,6.33,622.0,682.0,626.0,757.0,0.013,13.0,21.6,20.1,21.3,23.0,20.392,20.317,22.034,20.793000000000006,16.129,45.0,47.2,41.9,40.3,51.609,49.12,43.01600000000001,45.788,67.05199999999999,,13.0
2017-11-08 15:26:00,4.0,1.633,6.47,626.0,678.0,623.0,760.0,0.012,13.0,21.6,20.1,21.3,23.1,20.44,20.317,22.011,20.793000000000006,16.082,45.0,46.8,41.9,40.1,51.459,49.183,43.207,45.852,67.072,,13.0
2017-11-08 15:27:00,4.0,2.09,6.43,630.0,677.0,623.0,769.0,0.012,13.0,21.6,20.1,21.3,23.1,20.487,20.317,22.011,20.793000000000006,16.058,45.0,46.8,41.9,40.1,51.466,49.183,43.143,45.916,67.27199999999999,,13.0
2017-11-08 15:28:00,4.0,1.663,6.48,633.0,677.0,626.0,770.0,0.011,13.0,21.6,20.1,21.3,23.1,20.535,20.341,22.011,20.793000000000006,16.034000000000002,45.0,46.8,41.9,40.1,51.472,49.217,43.143,46.012,66.947,,13.0
2017-11-08 15:29:00,4.0,1.617,6.23,633.0,675.0,626.0,771.0,0.011,13.0,21.6,20.1,21.3,23.1,20.559,20.341,21.987,20.793000000000006,15.986,45.0,46.8,41.9,40.3,51.413,49.217,43.20399999999999,45.88399999999999,67.143,,13.0
2017-11-08 15:30:00,4.0,2.09,6.82,631.0,675.0,626.0,777.0,0.012,13.0,21.6,20.1,21.3,23.2,20.583,20.341,21.987,20.793000000000006,15.939,45.0,46.8,41.9,40.1,51.322,49.249,43.43,45.88399999999999,67.426,,13.0
2017-11-08 15:31:00,5.0,1.236,6.9,633.0,675.0,626.0,781.0,0.012,13.0,21.6,20.2,21.4,23.2,20.606,20.365,21.987,20.793000000000006,15.890999999999998,45.0,46.8,41.9,40.6,51.26300000000001,49.252,43.333,46.043,67.709,,13.0
