Time,PM_MET_IN1,PM_MET_OUT,PM_PDR_IN1,PM_PDR_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_OUT,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_OUT,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-10-12 18:00:00,91.0,24.826,106.94,33.27,645.0,675.0,659.0,383.0,0.005,11.0,9.0,25.9,24.5,25.1,22.2,24.315,25.841,22.489,25.04,19.603,29.1,31.2,31.1,26.1,31.387,23.607,30.76,34.399,33.794000000000004,,11.0,,9.0
2017-10-12 18:01:00,92.0,26.627,107.17,33.59,645.0,678.0,657.0,384.0,0.005,11.0,9.0,25.9,24.5,25.1,22.2,24.315,25.841,22.489,25.04,19.555,29.2,31.2,31.1,26.1,30.006,23.745,30.894,34.399,33.921,,11.0,,9.0
2017-10-12 18:02:00,89.0,26.795,107.63,33.27,642.0,683.0,657.0,385.0,0.005,11.0,9.0,25.9,24.5,25.1,22.1,24.315,25.817,22.489,25.04,19.508,29.2,31.2,31.2,26.2,29.162,23.812,30.894,34.399,33.95,,11.0,,9.0
2017-10-12 18:03:00,89.0,26.261,104.75,33.55,642.0,684.0,657.0,390.0,0.005,11.0,9.0,25.9,24.5,25.1,22.1,24.315,25.817,22.465,25.04,19.46,29.2,31.3,31.2,26.3,28.688,23.95,30.758000000000006,34.399,34.406,,11.0,,9.0
2017-10-12 18:04:00,88.0,28.214,108.18,34.16,645.0,688.0,661.0,394.0,0.005,11.0,9.0,25.9,24.5,25.1,22.0,24.315,25.793000000000006,22.465,25.04,19.389,29.3,31.3,31.2,26.4,28.992,23.81,30.825,34.399,34.399,,11.0,,9.0
2017-10-12 18:05:00,87.0,28.199,102.05,33.74,648.0,692.0,661.0,392.0,0.005,11.0,9.0,25.9,24.5,25.1,22.0,24.315,25.793000000000006,22.441,25.04,19.341,29.2,31.3,31.2,26.4,28.756,23.948,30.957,34.399,34.263000000000005,,11.0,,9.0
2017-10-12 18:06:00,87.0,29.389,100.77,34.21,647.0,692.0,668.0,391.0,0.005,11.0,9.0,25.9,24.5,25.1,21.9,24.339,25.768,22.441,25.04,19.318,29.3,31.3,31.2,26.6,28.351,24.084,30.756,34.399,34.261,,11.0,,9.0
2017-10-12 18:07:00,86.0,28.534,100.37,35.55,647.0,694.0,666.0,390.0,0.005,11.0,9.0,25.9,24.5,25.2,21.9,24.339,25.744,22.417,25.04,19.27,29.1,31.3,31.2,26.6,29.366,23.807,30.888,34.399,34.421,,11.0,,9.0
2017-10-12 18:08:00,85.0,30.564,99.86,35.97,645.0,694.0,661.0,392.0,0.004,11.0,9.0,25.8,24.5,25.2,21.8,24.339,25.744,22.417,25.04,19.199,29.4,31.3,31.2,26.7,28.656,23.807,30.821,34.399,34.513000000000005,,11.0,,9.0
2017-10-12 18:09:00,86.0,31.617,100.51,37.73,647.0,694.0,656.0,390.0,0.004,11.0,9.0,25.9,24.5,25.2,21.8,24.339,25.72,22.393,25.04,19.127,29.3,31.3,31.2,26.7,28.114,23.805,30.819000000000006,34.399,34.834,,11.0,,9.0
