Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR3,CO2_ETC_OUT,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR3,T_ETC_OUT,T_HBO_BA1,T_HBO_BA2,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR3,RH_ETC_OUT,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-07-25 18:00:00,1.0,4.105,494.0,504.0,500.0,387.0,17.0,18.0,24.3,24.8,25.2,44.9,30.419,24.436,24.195,35.235,48.4,48.3,46.5,14.4,34.562,46.62,49.149,24.946,,17.0,,18.0
2017-07-25 18:01:00,1.0,3.22,498.0,503.0,497.0,385.0,17.0,18.0,24.3,24.8,25.1,44.9,30.394,24.436,24.195,35.262,47.8,48.2,47.2,14.7,34.695,46.909,49.181,24.561,,17.0,,18.0
2017-07-25 18:02:00,1.0,3.235,503.0,503.0,494.0,383.0,17.0,18.0,24.3,24.8,25.2,44.9,30.343000000000004,24.436,24.219,35.208,47.8,48.2,47.2,14.9,34.995,47.101000000000006,49.089,24.663,,17.0,,18.0
2017-07-25 18:03:00,1.0,3.082,505.0,506.0,491.0,383.0,17.0,18.0,24.3,24.9,25.2,44.9,30.293000000000006,24.484,24.219,35.128,47.9,48.1,47.2,15.0,35.159,47.364,48.993,24.903,,17.0,,18.0
2017-07-25 18:04:00,1.0,3.937,507.0,509.0,492.0,387.0,17.0,18.0,24.3,24.9,25.3,44.9,30.217,24.508000000000006,24.243,35.102,48.0,48.1,47.1,14.9,35.287,47.463,48.932,25.393,,17.0,,18.0
2017-07-25 18:05:00,1.0,3.418,509.0,504.0,492.0,385.0,17.0,18.0,24.3,24.9,25.3,44.7,30.192,24.532,24.267,35.075,48.2,48.1,47.0,15.3,35.319,47.434,48.904,25.426,,17.0,,18.0
2017-07-25 18:06:00,1.0,3.693,505.0,500.0,491.0,385.0,17.0,18.0,24.3,24.9,25.3,44.6,30.167,24.581,24.291,35.022,48.3,48.0,47.0,15.5,33.726,47.312,48.843,25.247,,17.0,,18.0
2017-07-25 18:07:00,1.0,3.067,503.0,497.0,490.0,382.0,17.0,18.0,24.4,24.9,25.4,44.6,30.192,24.605,24.291,34.969,48.3,47.8,46.9,15.7,33.118,47.058,48.779,25.665,,17.0,,18.0
2017-07-25 18:08:00,1.0,4.44,505.0,493.0,492.0,377.0,17.0,17.0,24.3,24.9,25.4,44.5,30.217,24.605,24.291,34.863,48.3,47.5,46.8,15.8,34.239000000000004,47.058,48.62,25.587,,17.0,,17.0
2017-07-25 18:09:00,1.0,3.204,507.0,497.0,495.0,381.0,17.0,17.0,24.3,24.9,25.4,44.4,30.167,24.629,24.267,34.704,48.0,47.0,46.7,16.0,34.539,46.804,48.553,25.47,,17.0,,17.0
2017-07-25 18:10:00,1.0,2.655,505.0,494.0,494.0,383.0,17.0,17.0,24.3,24.9,25.4,44.4,30.091,24.629,24.243,34.519,47.6,46.7,46.6,16.1,34.464,46.868,48.39,25.738000000000003,,17.0,,17.0
2017-07-25 18:11:00,1.0,1.953,502.0,492.0,492.0,383.0,17.0,17.0,24.3,24.9,25.4,44.2,30.016,24.629,24.219,34.466,47.3,46.4,46.5,16.0,34.694,46.643,48.163,26.294,,17.0,,17.0
2017-07-25 18:12:00,1.0,2.838,498.0,492.0,494.0,385.0,17.0,17.0,24.3,24.9,25.4,43.9,29.966,24.629,24.195,34.413000000000004,47.1,46.4,46.4,16.2,34.554,46.676,48.224,26.709,,17.0,,17.0
2017-07-25 18:13:00,1.0,1.968,494.0,493.0,500.0,382.0,17.0,17.0,24.3,24.8,25.4,43.8,29.966,24.605,24.171,34.308,46.9,47.3,46.4,16.3,34.013000000000005,46.737,48.444,27.539,,17.0,,17.0
2017-07-25 18:14:00,1.0,2.533,491.0,489.0,503.0,381.0,17.0,17.0,24.3,24.8,25.4,43.9,29.941,24.605,24.146,34.255,47.6,47.9,46.4,16.5,35.261,46.865,48.824,27.047,,17.0,,17.0
2017-07-25 18:15:00,1.0,2.075,490.0,487.0,503.0,383.0,17.0,17.0,24.3,24.8,25.4,43.8,29.916,24.629,24.146,34.176,48.2,48.2,46.3,16.7,35.36,46.965,49.175,26.936,,17.0,,17.0
2017-07-25 18:16:00,1.0,2.35,487.0,486.0,498.0,384.0,17.0,17.0,24.3,24.8,25.4,43.8,29.89,24.653,24.146,34.124,48.2,48.2,46.3,17.1,35.863,46.93600000000001,49.43,27.455,,17.0,,17.0
2017-07-25 18:17:00,1.0,1.5719999999999998,481.0,486.0,497.0,387.0,17.0,17.0,24.3,24.9,25.5,43.6,29.84,24.702,24.146,34.15,48.2,48.2,46.3,17.1,35.791,46.845,49.36600000000001,26.969,,17.0,,17.0
2017-07-25 18:18:00,1.0,2.152,483.0,486.0,500.0,388.0,17.0,17.0,24.3,24.9,25.5,43.5,29.79,24.75,24.146,34.071,48.1,48.2,46.3,17.1,36.12300000000001,46.691,49.43,26.719,,17.0,,17.0
2017-07-25 18:19:00,1.0,3.0210000000000004,488.0,486.0,499.0,383.0,17.0,17.0,24.3,24.9,25.5,43.4,29.74,24.798,24.171,33.992,48.1,48.2,46.2,17.2,36.32,46.6,49.401,26.399,,17.0,,17.0
2017-07-25 18:20:00,1.0,2.564,490.0,487.0,499.0,382.0,17.0,17.0,24.3,24.9,25.5,43.4,29.665,24.847,24.195,33.914,48.0,48.1,46.2,17.2,36.447,46.445,49.404,26.463,,17.0,,17.0
2017-07-25 18:21:00,1.0,1.526,490.0,489.0,498.0,382.0,17.0,17.0,24.3,24.9,25.5,43.3,29.615,24.871,24.219,33.835,48.0,48.1,46.1,17.0,36.643,46.512,49.28,26.667,,17.0,,17.0
2017-07-25 18:22:00,1.0,2.9760000000000004,490.0,488.0,497.0,384.0,17.0,17.0,24.3,25.0,25.6,43.2,29.565,24.823,24.243,33.73,48.1,48.0,46.2,16.9,36.773,46.41,49.25100000000001,26.903,,17.0,,17.0
2017-07-25 18:23:00,1.0,3.555,489.0,488.0,497.0,386.0,17.0,17.0,24.3,25.0,25.5,43.1,29.515,24.75,24.267,33.626,48.1,48.0,45.9,17.1,36.634,46.401,49.127,27.383000000000006,,17.0,,17.0
2017-07-25 18:24:00,1.0,2.472,487.0,487.0,495.0,386.0,17.0,17.0,24.3,25.0,25.5,42.9,29.49,24.702,24.291,33.626,48.1,47.6,45.7,17.1,36.363,46.427,49.066,27.592,,17.0,,17.0
2017-07-25 18:25:00,1.0,1.953,487.0,485.0,495.0,388.0,17.0,17.0,24.3,25.0,25.4,42.7,29.439,24.629,24.291,33.574,48.1,47.2,45.6,17.2,36.391,46.29,48.875,26.648000000000003,,17.0,,17.0
2017-07-25 18:26:00,1.0,1.862,485.0,488.0,494.0,384.0,17.0,17.0,24.3,25.0,25.4,42.5,29.414,24.581,24.267,33.495,48.2,47.1,45.5,17.4,36.255,46.477,48.776,26.049,,17.0,,17.0
2017-07-25 18:27:00,1.0,2.853,490.0,494.0,492.0,382.0,17.0,17.0,24.3,25.0,25.4,42.5,29.389,24.557,24.267,33.469,47.9,46.7,45.4,17.6,35.041,46.409,48.776,25.383000000000006,,17.0,,17.0
2017-07-25 18:28:00,1.0,2.029,490.0,491.0,492.0,380.0,17.0,17.0,24.3,25.0,25.4,42.4,29.414,24.532,24.243,33.417,47.5,46.4,45.4,17.3,33.929,46.40600000000001,48.581,25.485,,17.0,,17.0
2017-07-25 18:29:00,1.0,1.6780000000000002,485.0,490.0,492.0,378.0,17.0,17.0,24.3,25.0,25.4,42.4,29.389,24.532,24.219,33.339,47.3,46.0,45.5,17.1,34.264,46.31,48.355,25.898000000000003,,17.0,,17.0
2017-07-25 18:30:00,1.0,1.709,481.0,489.0,490.0,380.0,17.0,17.0,24.3,24.9,25.4,42.4,29.414,24.532,24.195,33.261,47.0,45.6,45.4,16.6,33.793,46.374,48.288,26.346,,17.0,,17.0
