Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_LAU,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_LAU,T_HBO_BA1,T_HBO_BA2,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_LAU,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-10-16 18:00:00,4.0,9.4,986.0,994.0,905.0,861.0,0.0,11.0,8.0,25.3,24.5,25.2,24.2,25.355,27.333,24.944000000000006,20.77,30.5,30.3,28.2,33.0,24.674,26.396,30.328000000000007,35.287,,11.0,,8.0
2017-10-16 18:01:00,4.0,7.782,985.0,984.0,900.0,858.0,0.0,11.0,8.0,25.3,24.4,25.2,24.2,25.38,27.358,24.968000000000004,20.65,30.5,30.3,28.2,32.9,25.465,26.398000000000003,29.621,35.572,,11.0,,8.0
2017-10-16 18:02:00,3.0,9.094,983.0,981.0,896.0,858.0,0.0,11.0,8.0,25.4,24.4,25.1,24.2,25.404,27.358,25.016,20.555,30.5,30.3,28.3,32.8,25.089,26.398000000000003,29.76,35.859,,11.0,,8.0
2017-10-16 18:03:00,3.0,8.698,976.0,974.0,891.0,859.0,0.0,11.0,8.0,25.4,24.5,25.2,24.2,25.428,27.382,25.065,20.46,30.5,30.3,28.3,32.8,24.542,26.125,29.967,35.882,,11.0,,8.0
2017-10-16 18:04:00,3.0,8.835,971.0,971.0,891.0,861.0,0.0,11.0,8.0,25.3,24.4,25.3,24.2,25.453000000000007,27.382,25.089,20.388,30.5,30.2,28.2,32.8,24.269,26.022,31.958,36.629,,11.0,,8.0
2017-10-16 18:05:00,3.0,8.27,972.0,966.0,888.0,858.0,0.0,11.0,8.0,25.4,24.4,25.3,24.2,25.477,27.382,25.137,20.317,30.5,30.2,28.2,32.6,24.339,25.884,34.408,36.786,,11.0,,8.0
2017-10-16 18:06:00,4.0,10.208,978.0,966.0,886.0,866.0,0.0,11.0,8.0,25.4,24.4,25.3,24.3,25.501,27.382,25.186,20.269,30.4,30.3,28.2,32.5,24.478,25.815,34.079,37.631,,11.0,,8.0
2017-10-16 18:07:00,3.0,8.286,975.0,957.0,888.0,866.0,0.0,11.0,8.0,25.4,24.4,25.3,24.3,25.525,27.382,25.21,20.222,30.5,30.3,28.2,32.4,24.48,26.125,34.114000000000004,38.083,,11.0,,8.0
2017-10-16 18:08:00,3.0,8.179,972.0,953.0,891.0,861.0,0.0,11.0,8.0,25.4,24.4,25.3,24.2,25.55,27.382,25.258000000000006,20.15,30.4,30.3,28.2,32.3,25.306,25.781,33.818000000000005,37.912,,11.0,,8.0
2017-10-16 18:09:00,3.0,8.148,971.0,947.0,888.0,858.0,0.0,11.0,8.0,25.4,24.4,25.3,24.2,25.574,27.382,25.307,20.126,30.4,30.3,28.2,32.3,25.992,26.056,34.324,37.877,,11.0,,8.0
2017-10-16 18:10:00,3.0,8.301,969.0,947.0,892.0,858.0,0.0,11.0,8.0,25.4,24.4,25.3,24.2,25.598000000000006,27.358,25.38,20.079,30.4,30.3,28.2,32.1,25.857,26.054,34.698,38.133,,11.0,,8.0
2017-10-16 18:11:00,4.0,7.706,968.0,950.0,891.0,850.0,0.0,11.0,8.0,25.4,24.4,25.3,24.3,25.598000000000006,27.358,25.428,20.007,30.4,30.3,28.2,32.9,25.24,25.848000000000006,32.492,38.126,,11.0,,8.0
2017-10-16 18:12:00,3.0,7.919,964.0,940.0,888.0,850.0,0.0,11.0,8.0,25.4,24.4,25.3,24.3,25.598000000000006,27.333,25.477,19.936,30.4,30.3,28.2,32.5,25.275,25.846,31.891,37.988,,11.0,,8.0
2017-10-16 18:13:00,3.0,8.515,962.0,943.0,884.0,855.0,0.0,11.0,8.0,25.4,24.4,25.3,24.3,25.598000000000006,27.308000000000003,25.525,19.912,30.4,30.3,28.2,32.6,25.309,25.948,31.154,38.214,,11.0,,8.0
2017-10-16 18:14:00,3.0,8.193999999999999,959.0,945.0,886.0,861.0,0.0,11.0,8.0,25.4,24.4,25.3,24.3,25.598000000000006,27.284,25.574,19.888,30.5,30.3,28.2,32.2,25.515,25.911,30.922,38.113,,11.0,,8.0
2017-10-16 18:15:00,3.0,8.774,956.0,945.0,886.0,863.0,0.0,11.0,8.0,25.4,24.4,25.3,24.3,25.598000000000006,27.259,25.598000000000006,19.793,30.4,30.5,28.2,31.9,25.72,25.978,31.227,38.104,,11.0,,8.0
2017-10-16 18:16:00,3.0,7.492000000000001,955.0,943.0,881.0,861.0,0.0,11.0,8.0,25.4,24.4,25.3,24.3,25.623,27.259,25.647,19.746,30.4,30.8,28.2,31.8,25.585,26.185,30.488000000000003,38.131,,11.0,,8.0
2017-10-16 18:17:00,4.0,7.95,950.0,940.0,872.0,858.0,0.0,11.0,8.0,25.4,24.4,25.3,24.3,25.623,27.235,25.671,19.674,30.4,30.7,28.2,31.9,25.996,26.389,29.407,39.001,,11.0,,8.0
2017-10-16 18:18:00,3.0,8.255,948.0,943.0,872.0,862.0,0.0,11.0,8.0,25.4,24.4,25.3,24.3,25.623,27.21,25.695,19.603,30.5,30.6,28.2,31.9,26.68,26.25,29.545,39.188,,11.0,,8.0
2017-10-16 18:19:00,4.0,8.713,937.0,937.0,870.0,866.0,0.0,11.0,8.0,25.4,24.4,25.3,24.3,25.647,27.161,25.744,19.508,30.3,30.6,28.2,31.9,26.887,26.349,29.515,39.178,,11.0,,8.0
2017-10-16 18:20:00,4.0,8.057,931.0,929.0,870.0,862.0,0.0,11.0,8.0,25.5,24.4,25.3,24.3,25.647,27.161,25.768,19.413,30.3,30.6,28.2,31.8,26.545,26.28,29.822,39.719,,11.0,,8.0
2017-10-16 18:21:00,3.0,7.706,931.0,924.0,872.0,859.0,0.0,11.0,8.0,25.5,24.4,25.3,24.3,25.623,27.112,25.793000000000006,19.318,30.3,30.6,28.2,31.8,26.064,26.036,29.145,39.385,,11.0,,8.0
2017-10-16 18:22:00,3.0,9.216,930.0,924.0,872.0,860.0,0.0,11.0,8.0,25.5,24.4,25.3,24.3,25.623,27.087,25.817,19.246,30.3,30.7,28.2,31.8,25.962,25.966,28.91,39.604,,11.0,,8.0
2017-10-16 18:23:00,3.0,8.56,927.0,921.0,864.0,858.0,0.0,11.0,8.0,25.5,24.4,25.3,24.3,25.623,27.063,25.866,19.175,30.3,30.7,28.2,31.8,25.928,26.17,29.083,39.337,,11.0,,8.0
2017-10-16 18:24:00,3.0,8.621,923.0,920.0,862.0,859.0,0.0,11.0,8.0,25.5,24.4,25.3,24.3,25.598000000000006,27.038,25.89,19.175,30.3,30.7,28.2,31.8,25.857,26.1,29.051,39.24,,11.0,,8.0
2017-10-16 18:25:00,4.0,7.935,915.0,924.0,863.0,855.0,0.0,11.0,8.0,25.5,24.4,25.3,24.3,25.598000000000006,27.014,25.89,19.199,30.3,30.7,28.3,31.7,25.789,26.235,28.745,39.113,,11.0,,8.0
2017-10-16 18:26:00,4.0,8.515,910.0,928.0,864.0,850.0,0.0,11.0,8.0,25.5,24.4,25.3,24.3,25.598000000000006,26.965,25.939,19.27,30.3,30.8,28.2,31.7,25.857,26.026,28.681,39.121,,11.0,,8.0
2017-10-16 18:27:00,3.0,8.377,906.0,932.0,870.0,850.0,0.001,11.0,8.0,25.5,24.4,25.3,24.3,25.574,26.94,25.939,19.318,30.3,30.7,28.2,31.7,26.232,26.161,28.545,38.899,,11.0,,8.0
2017-10-16 18:28:00,3.0,8.591000000000001,905.0,929.0,866.0,850.0,0.001,11.0,8.0,25.5,24.4,25.3,24.3,25.55,26.916,25.987,19.389,30.3,30.7,28.3,31.7,26.333,26.262,28.345,38.777,,11.0,,8.0
2017-10-16 18:29:00,3.0,8.087,902.0,924.0,863.0,847.0,0.002,11.0,8.0,25.5,24.4,25.3,24.3,25.55,26.891,25.987,19.413,30.3,30.7,28.3,31.7,26.675,26.295,28.277,38.779,,11.0,,8.0
2017-10-16 18:30:00,3.0,8.682,905.0,919.0,862.0,836.0,0.002,11.0,8.0,25.5,24.4,25.3,24.3,25.525,26.842,26.012,19.413,30.3,30.8,28.2,31.6,27.355,26.326,28.279,39.039,,11.0,,8.0
2017-10-16 18:31:00,3.0,8.209,903.0,924.0,856.0,836.0,0.001,12.0,8.0,25.5,24.4,25.3,24.3,25.501,26.818,26.036,19.389,30.3,31.0,28.3,31.6,27.149,26.495,28.008000000000006,39.036,,12.0,,8.0
2017-10-16 18:32:00,4.0,9.293,904.0,926.0,856.0,834.0,0.001,12.0,8.0,25.5,24.4,25.3,24.3,25.501,26.769,26.061,19.318,30.3,30.9,28.2,31.5,26.568,26.629,28.146,39.806,,12.0,,8.0
2017-10-16 18:33:00,3.0,9.094,902.0,916.0,858.0,832.0,0.001,12.0,8.0,25.5,24.4,25.3,24.3,25.477,26.744,26.085,19.222,30.3,31.0,28.2,31.4,26.567,26.627,28.148000000000003,39.86,,12.0,,8.0
2017-10-16 18:34:00,3.0,7.904,900.0,920.0,853.0,829.0,0.001,12.0,8.0,25.5,24.4,25.3,24.3,25.453000000000007,26.72,26.109,19.127,30.4,31.0,28.3,31.3,26.428,26.419,28.048,39.721,,12.0,,8.0
2017-10-16 18:35:00,4.0,8.362,897.0,924.0,856.0,824.0,0.001,12.0,8.0,25.5,24.4,25.3,24.3,25.428,26.671,26.134,19.032,30.4,30.8,28.3,31.3,26.221,26.484,27.811,39.743,,12.0,,8.0
