Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR3,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR3,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR3,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-10-25 18:00:00,3.0,2.884,638.0,643.0,687.0,649.0,0.003,16.0,14.0,22.6,21.5,23.2,23.7,22.513,28.941,33.626,23.521,24.267,51.8,56.7,50.5,47.4,54.06100000000001,39.781,30.26,52.573,49.191,,16.0,,14.0
2017-10-25 18:01:00,3.0,3.037,635.0,645.0,686.0,648.0,0.003,16.0,14.0,22.6,21.5,23.2,23.7,22.513,28.916,33.574,23.521,24.171,51.9,56.6,50.5,47.5,54.12300000000001,39.912,30.394,52.573,49.369,,16.0,,14.0
2017-10-25 18:02:00,3.0,3.693,636.0,650.0,684.0,649.0,0.001,16.0,14.0,22.6,21.4,23.2,23.7,22.513,28.916,33.548,23.545,24.098000000000006,52.1,56.7,50.5,47.4,54.092,39.845,30.392,52.702,49.423,,16.0,,14.0
2017-10-25 18:03:00,3.0,3.265,636.0,647.0,684.0,648.0,0.001,16.0,14.0,22.6,21.5,23.2,23.8,22.513,28.916,33.495,23.545,24.026,51.8,56.7,50.5,47.5,54.217,39.945,30.318,52.765,49.44600000000001,,16.0,,14.0
2017-10-25 18:04:00,3.0,4.4860000000000015,635.0,647.0,683.0,652.0,0.001,16.0,14.0,22.6,21.5,23.2,23.7,22.513,28.891,33.469,23.545,23.954,52.0,56.7,50.5,47.5,54.24800000000001,39.942,30.178,52.95399999999999,49.913,,16.0,,14.0
2017-10-25 18:05:00,3.0,2.945,638.0,643.0,686.0,652.0,0.001,16.0,14.0,22.6,21.5,23.3,23.8,22.513,28.891,33.417,23.569000000000006,23.905,52.0,56.8,50.5,47.4,54.24800000000001,39.909,30.243,53.052,50.034,,16.0,,14.0
2017-10-25 18:06:00,3.0,3.388,635.0,640.0,684.0,650.0,0.002,16.0,14.0,22.6,21.5,23.3,23.8,22.513,28.891,33.365,23.569000000000006,23.833,54.2,56.8,50.6,47.4,54.217,39.776,30.204,53.083,50.151,,16.0,,14.0
2017-10-25 18:07:00,3.0,3.555,636.0,640.0,688.0,650.0,0.002,16.0,14.0,22.7,21.5,23.3,23.8,22.513,28.891,33.339,23.593000000000004,23.761,52.3,56.8,50.6,47.1,54.24800000000001,39.843,30.237,53.055,50.3,,16.0,,14.0
2017-10-25 18:08:00,3.0,3.449,641.0,641.0,689.0,648.0,0.0,16.0,14.0,22.6,21.5,23.2,23.8,22.513,28.866,33.287,23.593000000000004,23.689,52.2,57.1,50.6,47.4,54.279,40.039,30.301,52.898,50.323,,16.0,,14.0
2017-10-25 18:09:00,3.0,2.899,642.0,644.0,684.0,650.0,0.0,16.0,14.0,22.6,21.5,23.3,23.8,22.513,28.866,33.209,23.593000000000004,23.641,52.3,56.9,50.6,48.0,54.279,40.105,30.295,53.118,50.886,,16.0,,14.0
