Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR4,CO2_ETC_LAU,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR4,T_ETC_LAU,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_TO3,T_HBO_BA4,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR4,RH_ETC_LAU,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_TO3,RH_HBO_BA4,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-11-28 18:00:00,6.0,2.838,624.0,575.0,611.0,,0.026,11.0,21.0,22.5,23.5,24.7,,27.751,16.915,21.533,19.746,26.012,26.989,12.122,44.6,47.6,44.6,,37.397,52.523,45.015,47.31,42.167,39.311,74.41,,11.0,,21.0
2017-11-28 18:01:00,6.0,3.479,627.0,576.0,605.0,,0.025,11.0,21.0,22.5,23.5,24.7,,27.85,16.892,21.533,19.722,26.036,26.916,12.098,44.6,47.6,44.4,,37.006,52.643,44.823,47.275,42.039,39.105,74.76899999999998,,11.0,,21.0
2017-11-28 18:02:00,6.0,3.082,622.0,576.0,602.0,,0.025,11.0,21.0,22.5,23.5,24.7,,27.875,16.844,21.533,19.698,26.061,26.72,12.074000000000002,44.6,47.6,44.4,,36.942,52.698,45.207,47.177,41.976000000000006,39.482,74.708,,11.0,,21.0
2017-11-28 18:03:00,6.0,2.655,617.0,575.0,603.0,,0.025,11.0,21.0,22.5,23.5,24.7,,27.85,16.796,21.509,19.651,26.061,26.524,12.05,44.5,47.7,44.4,,37.073,52.753,45.332,46.886,41.911,39.956,74.759,,11.0,,21.0
2017-11-28 18:04:00,6.0,3.738,616.0,575.0,602.0,,0.025,11.0,21.0,22.6,23.5,24.7,,27.751,16.749000000000002,21.509,19.651,26.061,26.304,12.025,44.5,47.7,44.4,,37.33,52.808,45.588,46.886,41.94300000000001,40.46,75.061,,11.0,,21.0
2017-11-28 18:05:00,6.0,3.769,616.0,575.0,598.0,,0.027000000000000003,11.0,21.0,22.6,23.5,24.7,,27.628,16.701,21.509,19.627,26.036,26.109,11.977,44.5,47.7,44.3,,37.717,52.894,45.428,46.82,41.974,40.932,75.163,,11.0,,21.0
2017-11-28 18:06:00,6.0,3.265,616.0,569.0,598.0,,0.027000000000000003,11.0,21.0,22.6,23.5,24.7,,27.505,16.677,21.485,19.603,26.012,25.939,11.904000000000002,44.4,47.6,44.4,,38.038,52.92100000000001,46.097,47.07,42.069,41.40600000000001,75.008,,11.0,,21.0
2017-11-28 18:07:00,5.0,3.403,616.0,570.0,600.0,,0.023,11.0,21.0,22.6,23.5,24.7,,27.358,16.654,21.485,19.603,25.987,25.768,11.856,44.4,47.7,44.4,,38.421,52.948,46.128,47.165,42.099,41.747,75.277,,11.0,,21.0
2017-11-28 18:08:00,5.0,3.281,613.0,568.0,602.0,,0.023,11.0,21.0,22.6,23.5,24.6,,27.186,16.63,21.461,19.603,25.963,25.623,11.807,44.2,47.6,44.4,,38.802,53.007,45.966,47.26,42.162,42.124,75.434,,11.0,,21.0
2017-11-28 18:09:00,5.0,3.51,613.0,568.0,600.0,,0.024,11.0,21.0,22.6,23.5,24.6,,27.038,16.605999999999998,21.461,19.603,25.914,25.477,11.759,44.3,47.6,44.5,,39.151,53.12600000000001,45.519,47.102,42.222,42.434,75.59100000000002,,11.0,,21.0
2017-11-28 18:10:00,5.0,3.937,613.0,569.0,602.0,,0.024,11.0,21.0,22.6,23.5,24.6,,26.891,16.605999999999998,21.461,19.603,25.89,25.355,11.71,44.3,47.6,44.5,,39.467,53.12600000000001,45.327,47.007,42.284,42.681,75.915,,11.0,,21.0
2017-11-28 18:11:00,5.0,3.693,612.0,572.0,605.0,,0.025,11.0,21.0,22.6,23.5,24.6,,26.744,16.558,21.437,19.603,25.841,25.234,11.662,44.3,47.6,44.5,,39.815,53.335,44.779,46.595,42.312,42.928,76.182,,11.0,,21.0
2017-11-28 18:12:00,5.0,2.93,610.0,569.0,602.0,,0.025,11.0,21.0,22.6,23.5,24.6,,26.598000000000006,16.558,21.413,19.603,25.817,25.137,11.613,44.1,47.6,44.5,,40.063,53.242,46.024,47.229,42.374,43.178,76.311,,11.0,,21.0
2017-11-28 18:13:00,5.0,3.861,611.0,570.0,600.0,,0.022,11.0,21.0,22.6,23.5,24.6,,26.451,16.534000000000002,21.413,19.579,25.768,25.04,11.565,44.3,47.6,44.5,,40.344,53.27,46.598,47.447,42.434,43.394,76.60600000000002,,11.0,,21.0
2017-11-28 18:14:00,4.0,2.991,612.0,572.0,600.0,,0.022,11.0,21.0,22.6,23.5,24.6,,26.329,16.511,21.413,19.603,25.744,24.944000000000006,11.54,44.1,47.6,44.6,,40.627,53.328,48.092,48.58600000000001,42.529,43.611,76.6,,11.0,,21.0
2017-11-28 18:15:00,5.0,3.326,613.0,573.0,600.0,,0.022,11.0,21.0,22.6,23.5,24.6,,26.182,16.487000000000002,21.413,19.603,25.695,24.871,11.492,44.2,47.6,44.6,,41.006,53.386,49.674,49.404,42.589,43.765,76.618,,11.0,,21.0
2017-11-28 18:16:00,5.0,3.754,613.0,574.0,600.0,,0.022,11.0,21.0,22.6,23.5,24.5,,26.061,16.487000000000002,21.413,19.627,25.671,24.798,11.467,44.1,47.6,44.6,,41.18899999999999,53.447,50.87,50.911,42.619,43.918,76.862,,11.0,,21.0
2017-11-28 18:17:00,5.0,5.707000000000002,613.0,576.0,598.0,,0.025,11.0,21.0,22.6,23.5,24.3,,25.939,16.463,21.437,19.674,25.647,24.726,11.419,44.3,47.6,44.9,,41.504,53.475,51.47,51.604,42.682,44.007,77.266,,11.0,,21.0
2017-11-28 18:18:00,5.0,6.485,615.0,577.0,600.0,,0.025,11.0,21.0,22.6,23.5,24.5,,25.841,16.463,21.461,19.698,25.598000000000006,24.653,11.345999999999998,44.3,47.6,44.8,,41.788,53.567,51.724,50.795,42.74100000000001,44.06399999999999,77.388,,11.0,,21.0
2017-11-28 18:19:00,4.0,6.485,613.0,574.0,603.0,,0.025,11.0,21.0,22.7,23.5,24.5,,25.744,16.463,21.461,19.722,25.574,24.629,11.321,44.0,47.5,44.7,,41.87600000000001,53.567,52.038,53.911,42.771,44.288,77.714,,11.0,,21.0
2017-11-28 18:20:00,4.0,5.722,609.0,575.0,602.0,,0.025,11.0,21.0,22.7,23.5,24.5,,25.817,16.463,21.509,19.817,25.55,24.823,11.273,44.2,47.6,44.8,,41.88399999999999,53.536,52.107,56.054,42.932,44.246,77.758,,11.0,,21.0
2017-11-28 18:21:00,4.0,4.73,607.0,575.0,600.0,,0.026,11.0,21.0,22.7,23.4,24.5,,26.134,16.463,21.581,19.888,25.598000000000006,25.355,11.224,44.2,47.6,44.9,,41.29600000000001,53.567,52.054,56.587,42.937,43.398,77.858,,11.0,,21.0
2017-11-28 18:22:00,4.0,5.676,610.0,576.0,600.0,,0.026,11.0,21.0,22.7,23.5,24.6,,26.646,16.463,21.676,20.007,25.695,26.085,11.2,44.0,47.6,44.8,,40.233,53.536,51.817,56.512,42.883,42.012,78.07300000000002,,11.0,,21.0
2017-11-28 18:23:00,4.0,6.928,606.0,577.0,596.0,,0.023,11.0,21.0,22.7,23.5,24.6,,27.284,16.463,21.795,20.079,25.817,26.818,11.151,44.0,47.6,44.6,,38.746,53.475,51.456,53.745,42.57,40.284,78.172,,11.0,,21.0
2017-11-28 18:24:00,4.0,5.478,601.0,579.0,604.0,,0.023,11.0,21.0,22.7,23.4,24.6,,27.85,16.439,21.891,20.126,25.939,27.358,11.127,43.9,47.6,44.6,,37.34,53.594,50.305,49.567,42.29,38.886,78.249,,11.0,,21.0
2017-11-28 18:25:00,4.0,4.303,603.0,581.0,604.0,,0.023,11.0,21.0,22.7,23.4,24.7,,28.196,16.415,21.963,20.15,26.012,27.554,11.127,44.1,47.6,44.5,,36.438,53.682,47.622,47.108,42.036,38.076,78.442,,11.0,,21.0
2017-11-28 18:26:00,4.0,4.898,603.0,577.0,606.0,,0.023,11.0,21.0,22.7,23.4,24.7,,28.369,16.368,22.011,20.126,26.061,27.505,11.127,44.1,47.6,44.4,,35.91900000000001,53.768,45.969,46.31100000000001,41.812,37.905,78.60600000000002,,11.0,,21.0
2017-11-28 18:27:00,4.0,5.325,601.0,581.0,605.0,,0.022,11.0,21.0,22.7,23.5,24.7,,28.419,16.344,22.034,20.126,26.085,27.284,11.151,44.0,47.6,44.5,,35.789,53.734,45.78,45.93,41.717,38.215,78.748,,11.0,,21.0
2017-11-28 18:28:00,4.0,5.966,604.0,577.0,602.0,,0.022,11.0,21.0,22.7,23.5,24.7,,28.369,16.32,22.058000000000003,20.15,26.134,27.014,11.127,43.9,47.6,44.4,,35.952,53.791,46.646,46.441,41.657,38.784,78.688,,11.0,,21.0
2017-11-28 18:29:00,4.0,5.737,606.0,577.0,600.0,,0.02,11.0,21.0,22.7,23.5,24.7,,28.27,16.296,22.082,20.15,26.134,26.744,11.127,43.8,47.7,44.4,,36.244,53.941,47.669,46.79,41.591,39.484,78.633,,11.0,,21.0
2017-11-28 18:30:00,4.0,5.172999999999999,606.0,575.0,600.0,,0.02,11.0,21.0,22.7,23.5,24.7,,28.122,16.272000000000002,22.106,20.174,26.109,26.5,11.078,44.0,47.7,44.4,,36.699,54.091,49.227,47.712,41.687,40.053,78.65,,11.0,,21.0
2017-11-28 18:31:00,4.0,4.852,604.0,566.0,605.0,,0.024,11.0,21.0,22.7,23.5,24.7,,27.949,16.249000000000002,22.13,20.198,26.085,26.28,11.053,44.0,47.7,44.3,,37.149,54.179,49.831,48.03100000000001,41.782,40.589,78.809,,11.0,,21.0
2017-11-28 18:32:00,4.0,5.341,606.0,566.0,610.0,,0.024,11.0,21.0,22.7,23.5,24.6,,27.751,16.225,22.154,20.222,26.085,26.085,11.029000000000002,44.0,47.7,44.4,,37.597,54.206,50.119,49.202,41.815,41.06100000000001,78.749,,11.0,,21.0
2017-11-28 18:33:00,4.0,5.188,606.0,569.0,615.0,,0.02,11.0,21.0,22.7,23.5,24.6,,27.579,16.201,22.178,20.246,26.036,25.89,10.98,44.1,47.7,44.5,,38.045,54.356,50.24800000000001,49.331,41.908,41.499,79.067,,11.0,,21.0
2017-11-28 18:34:00,4.0,4.7,606.0,569.0,615.0,,0.02,12.0,21.0,22.7,23.5,24.6,,27.382,16.177,22.226,20.269,26.012,25.72,10.932,44.1,47.7,44.4,,38.49,54.444,50.286,49.019,41.971,41.938,79.193,,12.0,,21.0
2017-11-28 18:35:00,4.0,5.172999999999999,603.0,568.0,612.0,,0.021,12.0,21.0,22.7,23.5,24.6,,27.21,16.177,22.25,20.269,25.987,25.55,10.883,44.0,47.6,44.5,,38.871,54.475,50.258,47.882,42.034,42.214,79.483,,12.0,,21.0
2017-11-28 18:36:00,4.0,5.081,601.0,575.0,611.0,,0.021,12.0,21.0,22.7,23.5,24.6,,27.014,16.129,22.274,20.293,25.939,25.404,10.834,44.1,47.7,44.5,,39.24800000000001,54.468,50.261,48.202,42.094,42.556,79.554,,12.0,,21.0
2017-11-28 18:37:00,4.0,4.623,603.0,579.0,607.0,,0.022,12.0,21.0,22.7,23.5,24.6,,26.867,16.129,22.321,20.293,25.89,25.283,10.81,44.1,47.6,44.5,,39.596,54.559,50.20399999999999,48.13800000000001,42.154,42.83600000000001,79.494,,12.0,,21.0
2017-11-28 18:38:00,4.0,5.005,604.0,583.0,609.0,,0.022,12.0,21.0,22.7,23.4,24.6,,26.695,16.105999999999998,22.345,20.317,25.866,25.162,10.736,44.1,47.6,44.5,,39.941,54.556,50.144,48.173,42.216,43.05,79.778,,12.0,,21.0
2017-11-28 18:39:00,4.0,5.172999999999999,603.0,585.0,608.0,,0.022,12.0,21.0,22.6,23.4,24.6,,26.524,16.082,22.393,20.317,25.817,25.065,10.638,44.1,47.6,44.6,,40.352,54.736,50.087,49.56100000000001,42.276,43.235,80.40899999999998,,12.0,,21.0
2017-11-28 18:40:00,4.0,5.859,603.0,583.0,605.0,,0.022,12.0,21.0,22.6,23.5,24.6,,26.378,16.058,22.417,20.341,25.793000000000006,24.968000000000004,10.565,44.2,47.6,44.6,,40.632,54.732,49.964,47.733,42.339,43.419,80.447,,12.0,,21.0
2017-11-28 18:41:00,4.0,6.195,600.0,579.0,603.0,,0.022,12.0,21.0,22.6,23.4,24.5,,26.256,16.034000000000002,22.465,20.341,25.744,24.871,10.492,44.3,47.6,44.7,,40.948,54.79,49.87600000000001,46.433,42.431,43.667,80.81,,12.0,,21.0
2017-11-28 18:42:00,3.0,5.402,603.0,579.0,606.0,,0.022,12.0,21.0,22.6,23.4,24.5,,26.134,16.034000000000002,22.489,20.317,25.72,24.774,10.467,44.3,47.5,44.7,,41.26300000000001,54.942,49.784,46.08,42.494,43.916,80.967,,12.0,,21.0
2017-11-28 18:43:00,4.0,4.456,604.0,581.0,602.0,,0.022,12.0,21.0,22.5,23.4,24.5,,25.987,16.01,22.513,20.317,25.671,24.702,10.443,44.3,47.5,44.8,,41.50899999999999,54.969,49.724,45.889,42.587,44.069,81.34,,12.0,,21.0
2017-11-28 18:44:00,4.0,4.761,604.0,579.0,599.0,,0.022,12.0,21.0,22.5,23.4,24.5,,25.89,15.986,22.537,20.317,25.647,24.629,10.443,44.4,47.5,44.7,,41.56399999999999,55.057,49.664,46.144,42.61600000000001,44.12600000000001,81.583,,12.0,,21.0
2017-11-28 18:45:00,4.0,4.12,600.0,579.0,599.0,,0.023,12.0,21.0,22.5,23.4,24.5,,25.841,15.986,22.561,20.341,25.598000000000006,24.702,10.443,44.4,47.5,44.7,,41.755,54.905,49.667,51.977,42.644,44.264,81.79899999999998,,12.0,,21.0
2017-11-28 18:46:00,4.0,5.768,600.0,575.0,604.0,,0.023,12.0,21.0,22.5,23.4,24.5,,26.036,15.963,22.609,20.412,25.598000000000006,25.089,10.492,44.5,47.5,44.6,,41.515,54.932,49.54600000000001,54.13399999999999,42.839,43.822,81.891,,12.0,,21.0
2017-11-28 18:47:00,4.0,5.112,603.0,577.0,602.0,,0.022,12.0,21.0,22.5,23.4,24.5,,26.475,15.963,22.681,20.507,25.671,25.695,10.515999999999998,44.4,47.5,44.8,,40.61,54.901,49.36600000000001,54.643,42.815,42.589,81.68,,12.0,,21.0
2017-11-28 18:48:00,4.0,4.807,600.0,581.0,602.0,,0.022,12.0,21.0,22.5,23.4,24.6,,27.112,15.939,22.776,20.579,25.793000000000006,26.378,10.565,44.4,47.5,44.7,,39.225,54.928,49.124,53.537,42.666,41.158,81.421,,12.0,,21.0
2017-11-28 18:49:00,4.0,4.105,600.0,583.0,603.0,,0.024,12.0,21.0,22.5,23.4,24.6,,27.727,15.915,22.872,20.627,25.89,26.94,10.59,44.5,47.5,44.7,,37.661,55.13800000000001,48.819,49.979,42.35,39.736,81.535,,12.0,,21.0
2017-11-28 18:50:00,4.0,5.005,604.0,588.0,605.0,,0.024,12.0,21.0,22.5,23.4,24.7,,28.171,15.890999999999998,22.944000000000006,20.65,25.963,27.259,10.59,44.4,47.5,44.5,,36.57,55.195,47.587,46.44,42.194,38.743,81.508,,12.0,,21.0
2017-11-28 18:51:00,4.0,5.478,604.0,594.0,607.0,,0.023,12.0,21.0,22.5,23.4,24.7,,28.394,15.867,23.016,20.627,26.012,27.284,10.614,44.4,47.6,44.4,,35.955,55.31399999999999,45.772,44.619,41.971,38.414,81.594,,12.0,,21.0
2017-11-28 18:52:00,4.0,5.112,604.0,595.0,607.0,,0.023,12.0,21.0,22.5,23.4,24.7,,28.493,15.843,23.04,20.627,26.061,27.112,10.638,44.4,47.7,44.3,,35.729,55.493,43.682,43.465,41.845,38.529,81.33,,12.0,,21.0
2017-11-28 18:53:00,4.0,3.784,600.0,594.0,608.0,,0.024,12.0,21.0,22.5,23.4,24.7,,28.493,15.796,23.064,20.603,26.085,26.867,10.638,44.4,47.8,44.4,,35.76300000000001,55.668,41.87,43.012,41.782,38.968,81.384,,12.0,,21.0
2017-11-28 18:54:00,4.0,4.547,599.0,597.0,611.0,,0.024,12.0,21.0,22.5,23.5,24.7,,28.419,15.772,23.064,20.555,26.085,26.598000000000006,10.687,44.4,47.7,44.3,,35.991,55.817,40.731,43.136,41.75,39.535,81.233,,12.0,,21.0
2017-11-28 18:55:00,4.0,3.51,600.0,599.0,616.0,,0.022,12.0,21.0,22.5,23.4,24.7,,28.295,15.748,23.064,20.531,26.085,26.378,10.712,44.4,47.7,44.3,,36.347,55.874,40.797,43.582,41.782,40.04,81.211,,12.0,,21.0
2017-11-28 18:56:00,4.0,3.967,598.0,603.0,615.0,,0.022,12.0,21.0,22.5,23.4,24.7,,28.147,15.748,23.04,20.484,26.061,26.158,10.712,44.3,47.8,44.3,,36.768,55.965,41.022,44.57,41.911,40.543,81.021,,12.0,,21.0
2017-11-28 18:57:00,3.0,3.418,598.0,601.0,617.0,,0.023,12.0,21.0,22.5,23.5,24.7,,27.974,15.724,23.04,20.46,26.036,25.963,10.687,44.7,47.7,44.2,,37.152,56.083,41.217,44.854,41.941,41.047,80.77199999999998,,12.0,,21.0
2017-11-28 18:58:00,4.0,3.815,600.0,604.0,614.0,,0.023,12.0,21.0,22.5,23.5,24.7,,27.801,15.724,23.016,20.436,25.987,25.817,10.638,44.5,47.6,44.3,,37.601,56.083,40.759,44.532,42.034,41.458,81.195,,12.0,,21.0
2017-11-28 18:59:00,4.0,3.998,599.0,604.0,614.0,,0.021,12.0,21.0,22.5,23.5,24.7,,27.628,15.724,22.992,20.388,25.963,25.671,10.638,44.4,47.8,44.4,,38.05,56.113,40.854,44.11,42.096,41.802,81.654,,12.0,,21.0
2017-11-28 19:00:00,3.0,3.677,596.0,610.0,614.0,,0.021,12.0,21.0,22.5,23.5,24.6,,27.431,15.7,22.992,20.365,25.914,25.55,10.663,44.2,47.8,44.5,,38.495,56.07899999999999,41.049,45.066,42.18899999999999,42.11600000000001,82.037,,12.0,,21.0
2017-11-28 19:01:00,4.0,4.776,596.0,609.0,618.0,,0.02,12.0,21.0,22.5,23.4,24.6,,27.259,15.7,22.944000000000006,20.341,25.89,25.428,10.687,44.2,47.7,44.4,,38.81,56.07899999999999,41.629,45.127,42.252,42.396,81.638,,12.0,,21.0
2017-11-28 19:02:00,4.0,3.815,592.0,615.0,618.0,,0.02,12.0,21.0,22.5,23.5,24.6,,27.087,15.7,22.944000000000006,20.317,25.841,25.331,10.712,44.3,47.8,44.5,,39.156,56.201,42.084,45.06100000000001,42.344,42.613,81.184,,12.0,,21.0
2017-11-28 19:03:00,3.0,2.38,592.0,617.0,618.0,,0.02,12.0,21.0,22.5,23.5,24.6,,26.916,15.7,22.896,20.293,25.793000000000006,25.21,10.687,44.2,47.8,44.5,,39.634,56.261,41.527,44.994,42.404,42.86,81.476,,12.0,,21.0
2017-11-28 19:04:00,4.0,3.906,592.0,624.0,617.0,,0.02,13.0,21.0,22.5,23.5,24.6,,26.769,15.7,22.896,20.246,25.768,25.113000000000003,10.687,44.2,47.8,44.5,,39.949,56.261,41.299,44.477,42.467,43.077,81.692,,13.0,,21.0
2017-11-28 19:05:00,3.0,2.991,592.0,630.0,627.0,,0.021,13.0,21.0,22.5,23.5,24.6,,26.622,15.7,22.848000000000006,20.222,25.72,25.016,10.663,44.2,47.8,44.6,,40.296,56.383,41.651,44.762,42.559,43.261,81.362,,13.0,,21.0
2017-11-28 19:06:00,3.0,2.792,589.0,633.0,640.0,,0.021,13.0,21.0,22.5,23.5,24.6,,26.475,15.7,22.848000000000006,20.198,25.695,24.944000000000006,10.638,44.2,47.8,44.7,,40.511,56.352,41.684,46.256,42.655,43.481,81.6,,13.0,,21.0
2017-11-28 19:07:00,3.0,3.906,584.0,643.0,650.0,,0.022,13.0,21.0,22.5,23.5,24.6,,26.329,15.7,22.8,20.174,25.647,24.847,10.663,44.1,47.8,44.7,,40.792,56.292,41.158,45.17100000000001,42.78,43.664,81.632,,13.0,,21.0
2017-11-28 19:08:00,3.0,2.762,583.0,643.0,656.0,,0.022,13.0,21.0,22.5,23.5,24.6,,26.207,15.7,22.776,20.126,25.598000000000006,24.774,10.712,44.2,47.8,44.7,,41.173,56.867,43.037,47.896,42.839,43.916,81.643,,13.0,,21.0
