Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR3,CO2_ETC_OUT,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR3,T_ETC_OUT,T_HBO_BA2,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR3,RH_ETC_OUT,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2018-01-04 18:00:00,14.0,67.903,796.0,889.0,842.0,686.0,486.0,14.0,14.0,21.8,21.4,22.4,19.8,15.6,21.772,20.079,22.226,14.314,51.8,55.4,53.8,57.6,77.1,56.9,59.944,53.864,85.865,,14.0,,14.0
2018-01-04 18:01:00,14.0,65.858,789.0,887.0,843.0,684.0,488.0,14.0,14.0,21.8,21.4,22.3,19.8,15.5,21.748,20.079,22.202,14.29,51.7,55.6,53.7,57.6,77.1,56.928,60.005,53.861,86.155,,14.0,,14.0
2018-01-04 18:02:00,14.0,66.545,781.0,885.0,846.0,682.0,486.0,14.0,14.0,21.8,21.4,22.3,19.8,15.5,21.748,20.079,22.202,14.242,51.0,55.4,53.7,57.6,77.1,56.897,59.914,53.83,86.439,,14.0,,14.0
2018-01-04 18:03:00,14.0,67.643,786.0,885.0,842.0,678.0,485.0,14.0,14.0,21.8,21.4,22.3,19.8,15.5,21.748,20.079,22.202,14.218,51.6,55.6,53.8,57.4,77.3,56.897,59.944,53.798,86.48700000000002,,14.0,,14.0
2018-01-04 18:04:00,13.0,67.33800000000001,789.0,887.0,840.0,675.0,488.0,14.0,14.0,21.8,21.4,22.3,19.8,15.4,21.748,20.079,22.202,14.194,51.6,55.7,53.8,57.7,77.6,56.989,59.975,53.798,86.64200000000002,,14.0,,14.0
2018-01-04 18:05:00,13.0,67.933,794.0,885.0,835.0,675.0,488.0,14.0,14.0,21.8,21.4,22.3,19.8,15.4,21.724,20.079,22.178,14.17,50.9,55.6,53.9,57.7,77.6,57.01600000000001,59.914,53.764,86.77,,14.0,,14.0
2018-01-04 18:06:00,13.0,67.689,787.0,885.0,833.0,670.0,489.0,14.0,14.0,21.8,21.4,22.3,19.8,15.4,21.724,20.079,22.178,14.122,51.2,55.6,53.9,57.6,77.9,56.986,59.914,53.795,86.866,,14.0,,14.0
2018-01-04 18:07:00,13.0,68.116,781.0,881.0,840.0,668.0,489.0,14.0,14.0,21.7,21.3,22.3,19.8,15.3,21.724,20.079,22.178,14.098,51.2,55.6,53.8,57.6,78.0,56.862,59.88399999999999,53.764,86.807,,14.0,,14.0
2018-01-04 18:08:00,13.0,71.748,776.0,875.0,837.0,668.0,496.0,14.0,14.0,21.8,21.3,22.3,19.8,15.3,21.7,20.079,22.178,14.074000000000002,51.1,55.5,53.9,57.8,78.1,56.797,59.853,53.764,86.962,,14.0,,14.0
2018-01-04 18:09:00,13.0,75.578,767.0,874.0,829.0,672.0,498.0,14.0,14.0,21.8,21.3,22.3,19.8,15.3,21.7,20.079,22.154,14.026,51.4,55.6,53.7,57.6,78.1,56.76600000000001,59.853,53.76,87.271,,14.0,,14.0
