Time,PM_MET_IN1,PM_MET_OUT,PM_PDR_IN1,PM_PDR_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_DNR,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_DNR,T_HBO_OUT,T_HBO_BA2,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_DNR,RH_HBO_OUT,RH_HBO_BA2,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2018-02-05 18:00:00,4.0,4.791,6.09,6.99,935.0,733.0,741.0,948.0,430.0,0.014,21.0,25.0,22.1,22.4,19.1,21.1,19.5,18.866,53.7,53.6,62.5,56.0,50.9,63.6,,21.0,,25.0
2018-02-05 18:01:00,3.0,6.134,5.86,6.43,933.0,731.0,741.0,952.0,428.0,0.014,21.0,25.0,22.1,22.4,19.1,21.1,19.4,18.866,53.8,53.6,62.5,56.1,51.0,63.51,,21.0,,25.0
2018-02-05 18:02:00,4.0,7.7360000000000015,6.19,7.15,939.0,731.0,737.0,954.0,428.0,0.009000000000000001,21.0,25.0,22.1,22.4,19.1,21.1,19.3,18.842,53.8,53.6,62.5,56.1,51.1,63.477,,21.0,,25.0
2018-02-05 18:03:00,4.0,5.936,6.56,7.45,941.0,735.0,737.0,954.0,428.0,0.009000000000000001,21.0,25.0,22.1,22.4,19.1,21.1,19.3,18.842,53.9,53.7,62.5,56.3,51.2,63.357,,21.0,,25.0
2018-02-05 18:04:00,3.0,5.524,6.11,7.9,943.0,731.0,740.0,950.0,426.0,0.013,21.0,25.0,22.1,22.4,19.1,21.1,19.1,18.842,53.8,53.7,62.5,56.0,51.4,63.297,,21.0,,25.0
2018-02-05 18:05:00,4.0,6.027,5.64,7.99,939.0,731.0,735.0,946.0,421.0,0.013,21.0,25.0,22.1,22.4,19.1,21.1,19.0,18.842,53.9,53.8,62.5,56.0,51.6,63.297,,21.0,,25.0
2018-02-05 18:06:00,3.0,6.928,5.93,8.07,935.0,723.0,734.0,946.0,425.0,0.011,21.0,25.0,22.1,22.4,19.1,21.1,18.9,18.818,53.9,53.8,62.5,56.1,51.6,63.353,,21.0,,25.0
2018-02-05 18:07:00,4.0,5.234,5.68,7.97,937.0,720.0,734.0,948.0,428.0,0.011,21.0,25.0,22.1,22.4,19.1,21.1,18.9,18.818,54.0,53.8,62.5,56.2,51.7,63.562,,21.0,,25.0
2018-02-05 18:08:00,4.0,5.829,6.03,7.66,936.0,722.0,733.0,949.0,425.0,0.005,21.0,25.0,22.1,22.3,19.1,21.1,18.8,18.794,54.0,53.9,62.5,56.2,51.7,63.857,,21.0,,25.0
2018-02-05 18:09:00,4.0,5.5539999999999985,6.09,7.73,935.0,721.0,733.0,946.0,428.0,0.005,21.0,21.0,22.1,22.3,19.1,21.1,18.7,18.794,54.1,53.9,62.5,56.1,51.8,64.006,,21.0,,21.0
2018-02-05 18:10:00,3.0,5.2189999999999985,5.76,7.61,934.0,723.0,735.0,945.0,424.0,0.008,21.0,21.0,22.0,22.3,19.1,21.1,18.6,18.771,54.1,54.0,62.5,56.2,52.0,64.92399999999999,,21.0,,21.0
2018-02-05 18:11:00,4.0,4.791,5.68,7.41,933.0,723.0,733.0,942.0,420.0,0.008,21.0,21.0,22.0,22.3,19.1,21.1,18.5,18.771,54.2,54.0,62.5,56.1,52.1,65.607,,21.0,,21.0
2018-02-05 18:12:00,3.0,5.081,5.87,7.34,931.0,720.0,734.0,944.0,420.0,0.01,20.0,21.0,22.0,22.3,19.1,21.1,18.4,18.771,54.3,54.0,62.5,56.1,52.2,65.814,,20.0,,21.0
2018-02-05 18:13:00,3.0,5.462999999999999,5.7,7.31,927.0,716.0,737.0,942.0,420.0,0.01,20.0,21.0,22.0,22.3,19.1,21.1,18.4,18.747,54.3,54.1,62.5,56.0,52.4,65.247,,20.0,,21.0
2018-02-05 18:14:00,3.0,5.615,5.78,7.19,928.0,716.0,732.0,942.0,420.0,0.006999999999999999,20.0,21.0,22.0,22.2,19.1,21.1,18.3,18.747,54.3,54.3,62.5,56.0,52.7,64.801,,20.0,,21.0
2018-02-05 18:15:00,3.0,5.172999999999999,5.3,7.16,927.0,716.0,730.0,942.0,422.0,0.006999999999999999,20.0,21.0,22.0,22.2,19.1,21.1,18.2,18.747,54.3,54.2,62.5,56.2,53.0,65.247,,20.0,,21.0
2018-02-05 18:16:00,3.0,5.234,5.76,7.48,929.0,713.0,732.0,937.0,424.0,0.005,20.0,21.0,22.0,22.2,19.1,21.1,18.1,18.747,54.4,54.2,62.5,56.1,53.5,65.928,,20.0,,21.0
2018-02-05 18:17:00,3.0,6.0120000000000005,5.72,7.82,922.0,708.0,730.0,942.0,428.0,0.005,20.0,21.0,22.0,22.2,19.1,21.1,18.0,18.723,54.3,54.2,62.5,56.2,54.1,66.22,,20.0,,21.0
2018-02-05 18:18:00,3.0,6.363,5.56,7.77,922.0,704.0,726.0,936.0,429.0,0.003,20.0,21.0,21.9,22.2,19.1,21.1,18.0,18.723,54.4,54.3,62.5,56.1,54.5,66.161,,20.0,,21.0
2018-02-05 18:19:00,3.0,5.341,5.58,7.5,918.0,704.0,725.0,935.0,425.0,0.003,20.0,21.0,22.0,22.2,19.1,21.1,17.9,18.723,54.4,54.3,62.4,56.1,54.8,66.19,,20.0,,21.0
2018-02-05 18:20:00,3.0,5.462999999999999,5.55,7.54,918.0,698.0,725.0,933.0,425.0,0.005,20.0,21.0,22.0,22.2,19.1,21.1,17.8,18.723,54.4,54.3,62.6,56.1,55.0,66.102,,20.0,,21.0
2018-02-05 18:21:00,3.0,5.814,5.86,7.75,924.0,700.0,720.0,933.0,428.0,0.005,20.0,21.0,22.0,22.2,19.1,21.1,17.8,18.723,54.3,54.3,62.5,56.1,55.2,65.569,,20.0,,21.0
2018-02-05 18:22:00,3.0,5.707000000000002,5.86,7.74,927.0,702.0,722.0,933.0,429.0,0.0,20.0,21.0,22.0,22.2,19.1,21.1,17.7,18.723,54.5,54.4,62.5,56.1,55.3,64.767,,20.0,,21.0
2018-02-05 18:23:00,3.0,6.3020000000000005,5.48,7.54,927.0,704.0,725.0,933.0,429.0,0.0,20.0,21.0,22.0,22.1,19.1,21.1,17.6,18.699,54.5,54.4,62.4,56.0,55.5,64.585,,20.0,,21.0
2018-02-05 18:24:00,3.0,5.905,5.35,7.71,924.0,701.0,717.0,929.0,428.0,0.008,20.0,21.0,22.0,22.1,19.1,21.1,17.6,18.699,54.4,54.4,62.5,56.1,55.7,64.28699999999999,,20.0,,21.0
2018-02-05 18:25:00,3.0,5.341,5.29,7.47,921.0,698.0,717.0,927.0,429.0,0.008,20.0,21.0,21.9,22.1,19.1,21.1,17.5,18.699,54.4,54.4,62.4,56.0,55.9,64.347,,20.0,,21.0
2018-02-05 18:26:00,3.0,5.646,5.32,7.53,918.0,700.0,718.0,925.0,428.0,0.004,20.0,21.0,21.9,22.1,19.1,21.1,17.4,18.699,54.6,54.5,62.4,56.1,56.2,64.258,,20.0,,21.0
2018-02-05 18:27:00,4.0,6.134,5.12,7.35,916.0,698.0,717.0,923.0,429.0,0.004,20.0,21.0,21.9,22.1,19.1,21.1,17.3,18.675,54.5,54.5,62.4,56.0,56.4,64.343,,20.0,,21.0
