Time,PM_MET_IN1,PM_MET_OUT,PM_PDR_IN1,PM_PDR_OUT,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_DEN,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_DEN,T_HBO_OUT,T_HBO_BA1,T_HBO_BA2,T_HBO_LAU,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_DEN,RH_HBO_OUT,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_LAU,FRM_FLG_BR1,FRM_ADJ_BR1
2018-01-24 18:00:00,2.0,3.4330000000000003,3.43,4.52,637.0,649.0,680.0,634.0,407.0,0.008,19.0,20.9,20.8,20.7,19.9,11.0,15.223,15.103,20.555,46.1,48.3,48.3,49.9,85.4,67.791,66.546,50.598,,19.0
2018-01-24 18:01:00,1.0,3.998,3.52,4.25,642.0,650.0,681.0,617.0,404.0,0.008,19.0,20.9,20.8,20.7,19.9,11.0,15.199000000000002,15.103,20.531,46.2,48.3,48.3,49.8,85.4,67.786,66.517,50.657,,19.0
2018-01-24 18:02:00,1.0,3.159,3.35,4.36,648.0,648.0,680.0,608.0,406.0,0.008,19.0,20.9,20.8,20.7,19.9,11.0,15.175,15.103,20.531,46.0,48.2,48.3,49.9,85.5,67.811,66.459,50.72,,19.0
2018-01-24 18:03:00,1.0,3.067,3.19,4.36,650.0,644.0,680.0,607.0,407.0,0.009000000000000001,19.0,20.9,20.8,20.7,19.9,11.0,15.175,15.079,20.507,45.9,48.3,48.4,49.9,85.5,67.811,66.396,50.74800000000001,,19.0
2018-01-24 18:04:00,2.0,3.037,3.2,4.36,650.0,647.0,677.0,611.0,408.0,0.009000000000000001,19.0,20.9,20.8,20.7,19.9,10.9,15.151,15.079,20.507,46.0,48.4,48.4,49.8,85.5,67.923,66.367,50.842,,19.0
2018-01-24 18:05:00,1.0,3.464,3.45,4.31,650.0,645.0,675.0,611.0,408.0,0.006,19.0,20.9,20.8,20.5,19.9,10.9,15.127,15.079,20.507,45.9,48.4,48.6,49.8,85.5,67.889,66.367,50.874,,19.0
2018-01-24 18:06:00,1.0,3.479,3.19,4.61,650.0,642.0,676.0,610.0,408.0,0.006,19.0,21.0,20.8,20.6,19.9,10.9,15.127,15.079,20.507,46.1,48.3,48.4,49.9,85.6,67.889,66.367,50.93600000000001,,19.0
2018-01-24 18:07:00,1.0,2.96,3.2,4.55,652.0,640.0,678.0,614.0,410.0,0.008,19.0,20.9,20.8,20.6,19.9,10.9,15.103,15.055,20.507,46.1,48.3,48.4,50.0,85.7,67.885,66.363,50.968,,19.0
2018-01-24 18:08:00,2.0,4.547,3.15,4.59,655.0,640.0,674.0,626.0,408.0,0.008,19.0,20.9,20.8,20.6,19.9,10.9,15.079,15.031,20.507,46.1,48.3,48.5,49.9,85.8,67.939,66.329,51.062,,19.0
2018-01-24 18:09:00,1.0,4.425,3.29,4.66,652.0,642.0,675.0,629.0,407.0,0.009000000000000001,19.0,20.9,20.8,20.6,19.9,10.9,15.079,15.031,20.507,46.2,48.3,48.5,49.9,85.8,67.997,66.53399999999999,51.25,,19.0
