Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_BR1,CO2_ETC_BR3,CO2_ETC_BR4,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_BR1,T_ETC_BR3,T_ETC_BR4,TS_HBI_GRK,TS_HBI_BR1,T_HBO_BA1,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_BR1,RH_ETC_BR3,RH_ETC_BR4,RHS_HBI_GRK,RHS_HBI_BR1,RH_HBO_BA1,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-07-12 14:59:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-12 15:00:00,4.0,3.754,780.0,787.0,817.0,0.006999999999999999,,,24.2,25.1,25.2,20.77277778,18.465,27.6794364,24.29111111,,34.83611111,53.0,49.1,49.9,65.001,71.15100000000002,48.861,53.53,,33.668,,,,
2017-07-12 15:01:00,4.0,4.089,771.0,784.0,816.0,0.006999999999999999,,16.0,24.2,25.0,25.2,20.74888889,18.655,27.7533312,24.315,,34.88888889,53.2,49.1,49.8,73.939,75.875,48.999,53.879,,33.639,,,,16.0
2017-07-12 15:02:00,4.0,5.127000000000002,774.0,778.0,812.0,0.008,,16.0,24.2,25.0,25.2,21.01222222,19.345,27.87723,24.33888889,,34.88888889,53.2,49.9,50.3,70.2,69.714,49.272,53.819,,33.261,,,,16.0
2017-07-12 15:03:00,3.0,3.784,774.0,774.0,810.0,0.008,,16.0,24.2,25.0,25.2,21.25,19.98722222,28.0500216,24.38777778,,34.94222222,53.6,49.7,50.6,68.97800000000001,67.331,49.23,53.826,,33.369,,,,16.0
2017-07-12 15:04:00,4.0,4.99,766.0,771.0,808.0,0.01,,16.0,24.2,25.0,25.2,21.44111111,20.60611111,28.1983668,24.41222222,,34.96888889,53.7,49.6,50.5,68.54,65.152,44.902,53.924,,33.406,,,,16.0
2017-07-12 15:05:00,3.0,3.647,764.0,771.0,808.0,0.01,,16.0,24.2,25.1,25.2,21.63222222,21.155,28.000017600000003,24.46,,34.995,53.8,49.5,50.5,69.13600000000001,63.807,44.422,53.868,,33.648,,,,16.0
2017-07-12 15:06:00,3.0,4.547,761.0,774.0,803.0,0.011,,16.0,24.2,25.1,25.2,21.75222222,21.65611111,27.6794364,24.48388889,,35.10222222,53.9,49.4,50.5,66.992,62.352,45.037,54.091,,33.417,,,,16.0
2017-07-12 15:07:00,3.0,4.654,759.0,770.0,804.0,0.011,,16.0,24.3,25.1,25.2,21.91888889,21.84722222,27.3599664,24.53222222,,35.20777778,53.9,49.3,50.5,66.425,65.635,45.585,53.878,,33.014,,,,16.0
2017-07-12 15:08:00,4.0,3.845,757.0,767.0,804.0,0.009000000000000001,,16.0,24.3,25.1,25.2,22.08611111,21.94277778,27.0399408,24.53222222,,35.36777778,54.1,49.2,50.6,64.325,68.03699999999999,46.455,53.532,,33.028,,,,16.0
2017-07-12 15:09:00,3.0,4.6080000000000005,754.0,769.0,805.0,0.009000000000000001,18.0,16.0,24.3,25.2,25.3,22.25388889,22.11,26.7221376,24.48388889,,35.42222222,53.7,49.2,50.6,63.902,69.667,47.192,53.11600000000001,,32.757,,18.0,,16.0
2017-07-12 15:10:00,3.0,3.906,755.0,766.0,800.0,0.006,18.0,16.0,24.3,25.2,25.3,22.37277778,21.87111111,26.4043344,24.46,,35.315,53.4,49.5,50.7,59.881,61.447,48.344,52.924,,32.817,,18.0,,16.0
2017-07-12 15:11:00,3.0,3.5860000000000003,754.0,765.0,800.0,0.006,18.0,16.0,24.3,25.2,25.3,22.20611111,21.03611111,26.2821024,24.41222222,,35.315,53.7,49.5,50.5,61.106,63.636,50.922,52.791,,33.092,,18.0,,16.0
2017-07-12 15:12:00,3.0,4.15,747.0,763.0,797.0,0.004,18.0,16.0,24.3,25.2,25.3,22.03888889,20.24888889,26.3059932,24.36277778,,35.28777778,53.5,49.6,50.6,61.352,64.851,52.705,52.816,,33.296,,18.0,,16.0
2017-07-12 15:13:00,3.0,3.769,746.0,763.0,794.0,0.004,18.0,16.0,24.3,25.2,25.3,21.96722222,19.63,26.379888,24.315,,35.28777778,53.4,49.5,50.5,62.07,66.972,53.349,52.683,,32.815,,18.0,,16.0
2017-07-12 15:14:00,3.0,4.273,742.0,758.0,795.0,0.005,18.0,16.0,24.3,25.2,25.3,21.94277778,19.25,26.50212,24.26722222,,35.34222222,53.3,49.3,50.3,61.61,68.348,52.923,52.614,,33.232,,18.0,,16.0
2017-07-12 15:15:00,3.0,3.159,739.0,745.0,787.0,0.005,18.0,16.0,24.3,25.1,25.3,21.91888889,18.94,26.599905600000003,24.21888889,,35.395,53.1,49.2,50.1,62.183,68.67399999999999,52.682,53.048,,33.03,,18.0,,16.0
2017-07-12 15:16:00,3.0,4.364,737.0,742.0,787.0,0.006,18.0,16.0,24.2,25.1,25.2,21.82277778,18.72611111,26.7221376,24.195,,35.34222222,53.0,49.1,50.0,62.591,70.271,52.794,53.359,,33.163000000000004,,18.0,,16.0
2017-07-12 15:17:00,3.0,4.623,737.0,742.0,786.0,0.006,18.0,16.0,24.2,25.1,25.2,21.79888889,18.60722222,26.8443696,24.195,,35.315,52.9,49.1,49.9,61.83,70.07300000000001,51.379,53.673,,33.23,,18.0,,16.0
2017-07-12 15:18:00,3.0,3.891,733.0,742.0,780.0,0.006999999999999999,18.0,16.0,24.2,25.0,25.2,21.72777778,18.56,26.9421552,24.24277778,,35.36777778,52.9,49.0,49.8,65.045,76.908,52.284,53.712,,32.753,,18.0,,16.0
2017-07-12 15:19:00,3.0,3.723,730.0,738.0,780.0,0.006999999999999999,18.0,16.0,24.2,25.0,25.2,21.77611111,19.08277778,27.0649428,24.26722222,,35.36777778,53.2,49.7,49.8,65.263,71.84899999999998,52.047,53.99800000000001,,32.959,,18.0,,16.0
