Time,PM_MET_IN1,PM_MET_OUT,CO2_ETC_IN1,CO2_ETC_BR4,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR4,T_ETC_OUT,TS_HBI_GRD,RH_ETC_IN1,RH_ETC_BR4,RH_ETC_OUT,RHS_HBI_GRD,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-07-10 14:38:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:39:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:40:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:41:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:42:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:43:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:44:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:45:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:46:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:47:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:48:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:49:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:50:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:51:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:52:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:53:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:54:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:55:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:56:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:57:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:58:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 14:59:00,,,,,,,,30.0,,,,,,,,,,,,30.0
2017-07-10 15:00:00,3.0,8.682,929.0,857.0,419.0,0.011000000000000001,34.0,30.0,25.5,25.2,55.1,,44.2,45.6,12.1,57.403999999999996,,34.0,,30.0
2017-07-10 15:01:00,3.0,7.1560000000000015,929.0,853.0,420.0,0.011000000000000001,34.0,30.0,25.5,25.2,55.1,,44.3,45.7,11.9,57.048,,34.0,,30.0
2017-07-10 15:02:00,3.0,8.53,934.0,847.0,418.0,0.01,34.0,30.0,25.6,25.2,55.0,,44.1,45.6,11.9,54.736999999999995,,34.0,,30.0
2017-07-10 15:03:00,3.0,9.827,933.0,842.0,417.0,0.01,34.0,30.0,25.6,25.3,55.0,,44.0,45.6,11.9,53.941,,34.0,,30.0
2017-07-10 15:04:00,3.0,8.316,932.0,841.0,421.0,0.011000000000000001,34.0,30.0,25.7,25.3,55.0,,43.9,45.6,12.3,52.653999999999996,,34.0,,30.0
2017-07-10 15:05:00,3.0,8.942,936.0,839.0,421.0,0.011000000000000001,34.0,30.0,25.7,25.4,54.9,,44.1,45.6,12.5,52.173,,34.0,,30.0
2017-07-10 15:06:00,3.0,9.354,936.0,837.0,419.0,0.009000000000000001,34.0,30.0,25.7,25.4,54.9,,44.2,45.5,12.5,51.817,,34.0,,30.0
2017-07-10 15:07:00,3.0,8.011000000000001,932.0,837.0,417.0,0.009000000000000001,34.0,30.0,25.8,25.4,54.9,,44.1,45.4,12.8,49.675,,34.0,,30.0
2017-07-10 15:08:00,3.0,8.606,928.0,836.0,414.0,0.012,34.0,27.0,25.8,25.4,55.0,,44.0,45.1,13.1,48.718,,34.0,,27.0
2017-07-10 15:09:00,3.0,8.576,920.0,836.0,414.0,0.012,34.0,27.0,25.8,25.4,55.1,,44.1,44.7,12.5,48.184,,34.0,,27.0
2017-07-10 15:10:00,3.0,9.323,920.0,834.0,414.0,0.01,34.0,27.0,25.8,25.4,55.2,,43.8,44.4,12.5,47.864,,34.0,,27.0
2017-07-10 15:11:00,3.0,8.591000000000001,917.0,832.0,414.0,0.01,34.0,27.0,25.8,25.3,55.3,,43.4,44.2,12.2,47.821999999999996,,34.0,,27.0
2017-07-10 15:12:00,3.0,7.996,918.0,832.0,416.0,0.005,34.0,27.0,25.8,25.3,55.2,,43.0,44.1,12.1,48.095,,34.0,,27.0
2017-07-10 15:13:00,3.0,8.591000000000001,917.0,832.0,414.0,0.005,34.0,27.0,25.8,25.1,55.1,,42.9,43.9,12.4,47.661,,34.0,,27.0
2017-07-10 15:14:00,3.0,9.979,912.0,830.0,415.0,0.019,34.0,27.0,25.7,25.1,55.1,,42.7,43.8,12.5,48.091,,34.0,,27.0
2017-07-10 15:15:00,2.0,9.537,911.0,832.0,415.0,0.019,34.0,27.0,25.7,25.1,55.0,,42.6,43.7,12.6,48.27,,34.0,,27.0
2017-07-10 15:16:00,2.0,8.179,907.0,832.0,414.0,0.022000000000000002,34.0,27.0,25.5,25.1,54.9,,42.6,43.4,12.5,47.806999999999995,,34.0,,27.0
2017-07-10 15:17:00,2.0,10.605,904.0,830.0,411.0,0.022000000000000002,34.0,27.0,25.6,25.0,54.9,,42.2,43.3,12.9,47.861999999999995,,34.0,,27.0
2017-07-10 15:18:00,2.0,10.88,903.0,829.0,414.0,0.025,34.0,27.0,25.6,25.0,54.9,,42.0,43.3,12.7,47.82100000000001,,34.0,,27.0
2017-07-10 15:19:00,2.0,8.408,897.0,822.0,414.0,0.025,34.0,27.0,25.6,25.0,54.9,,42.0,43.0,12.5,47.87600000000001,,34.0,,27.0
2017-07-10 15:20:00,2.0,8.759,892.0,819.0,414.0,0.025,34.0,27.0,25.5,24.9,54.8,,41.7,43.1,12.4,47.675,,34.0,,27.0
2017-07-10 15:21:00,2.0,9.644,889.0,822.0,414.0,0.025,34.0,27.0,25.5,25.0,54.8,,41.7,42.8,12.7,47.448,,34.0,,27.0
2017-07-10 15:22:00,2.0,10.681,893.0,817.0,414.0,0.025,34.0,27.0,25.5,24.9,54.7,,41.4,42.8,12.6,47.349,,34.0,,27.0
2017-07-10 15:23:00,2.0,8.377,893.0,815.0,414.0,0.025,34.0,27.0,25.5,24.9,54.7,,41.3,42.7,12.8,47.34,,34.0,,27.0
2017-07-10 15:24:00,2.0,8.362,889.0,815.0,414.0,0.024,34.0,27.0,25.4,24.9,54.7,,41.3,42.6,12.9,47.24100000000001,,34.0,,27.0
2017-07-10 15:25:00,2.0,8.255,886.0,813.0,414.0,0.024,34.0,27.0,25.4,24.8,54.7,,41.2,42.6,12.8,47.17100000000001,,34.0,,27.0
2017-07-10 15:26:00,2.0,7.965,886.0,803.0,415.0,0.025,34.0,27.0,25.4,24.8,54.8,,41.0,42.4,12.8,47.165,,34.0,,27.0
2017-07-10 15:27:00,2.0,9.873,890.0,800.0,414.0,0.025,34.0,27.0,25.4,24.8,54.6,,41.1,43.0,12.8,47.29,,34.0,,27.0
2017-07-10 15:28:00,2.0,9.735,885.0,800.0,413.0,0.043,34.0,27.0,25.3,24.8,54.5,,40.9,44.4,12.8,48.181000000000004,,34.0,,27.0
2017-07-10 15:29:00,2.0,9.567,883.0,800.0,411.0,0.043,34.0,27.0,25.3,24.8,54.4,,42.9,45.6,13.0,49.619,,34.0,,27.0
2017-07-10 15:30:00,2.0,8.804,874.0,798.0,411.0,0.03,26.0,27.0,25.3,24.9,54.3,,43.9,46.4,13.0,50.67100000000001,,26.0,,27.0
2017-07-10 15:31:00,2.0,7.7360000000000015,872.0,795.0,412.0,0.03,26.0,27.0,25.3,24.9,54.2,,45.4,47.3,13.0,50.975,,26.0,,27.0
2017-07-10 15:32:00,2.0,7.187,869.0,795.0,413.0,0.021,26.0,27.0,25.3,25.0,54.1,,46.1,47.8,13.1,51.816,,26.0,,27.0
2017-07-10 15:33:00,2.0,9.049,866.0,790.0,415.0,0.021,26.0,27.0,25.3,25.0,54.0,,46.9,48.0,13.1,52.306000000000004,,26.0,,27.0
2017-07-10 15:34:00,2.0,6.867000000000001,866.0,784.0,415.0,0.015,26.0,27.0,25.3,25.0,53.9,,47.3,49.6,13.2,53.881,,26.0,,27.0
2017-07-10 15:35:00,2.0,8.026,866.0,777.0,414.0,0.015,26.0,27.0,25.3,25.1,53.9,,47.5,48.7,13.1,58.09,,26.0,,27.0
2017-07-10 15:36:00,2.0,8.896,855.0,777.0,412.0,0.004,26.0,27.0,25.3,25.1,53.8,,47.8,48.6,13.2,55.5,,26.0,,27.0
2017-07-10 15:37:00,2.0,7.1110000000000015,850.0,780.0,412.0,0.004,26.0,27.0,25.4,25.2,53.7,,46.9,48.0,13.5,55.97,,26.0,,27.0
2017-07-10 15:38:00,3.0,9.11,847.0,776.0,412.0,0.006999999999999999,26.0,24.0,25.4,25.2,53.6,,47.0,47.6,13.5,57.677,,26.0,,24.0
2017-07-10 15:39:00,2.0,8.972000000000003,845.0,776.0,415.0,0.006999999999999999,26.0,24.0,25.4,25.3,53.6,,46.9,47.8,13.5,55.33,,26.0,,24.0
2017-07-10 15:40:00,2.0,7.37,842.0,776.0,415.0,0.006,26.0,24.0,25.5,25.3,53.6,,46.8,47.7,13.8,54.843999999999994,,26.0,,24.0
2017-07-10 15:41:00,2.0,8.591000000000001,843.0,771.0,415.0,0.006,26.0,24.0,25.5,25.3,53.6,,46.7,47.6,14.0,53.922,,26.0,,24.0
2017-07-10 15:42:00,2.0,8.27,842.0,762.0,415.0,0.006999999999999999,26.0,24.0,25.6,25.4,53.6,,46.5,47.5,13.7,53.593999999999994,,26.0,,24.0
2017-07-10 15:43:00,2.0,9.415,837.0,762.0,410.0,0.006999999999999999,26.0,24.0,25.6,25.4,53.6,,46.4,47.4,14.0,53.52,,26.0,,24.0
2017-07-10 15:44:00,3.0,7.7520000000000024,833.0,761.0,408.0,0.006999999999999999,26.0,24.0,25.7,25.4,53.7,,46.3,47.3,13.9,52.971000000000004,,26.0,,24.0
2017-07-10 15:45:00,3.0,7.996,831.0,761.0,407.0,0.006999999999999999,26.0,24.0,25.7,25.5,53.8,,46.2,47.3,13.7,52.70399999999999,,26.0,,24.0
2017-07-10 15:46:00,2.0,7.721,825.0,758.0,407.0,0.008,26.0,24.0,25.7,25.5,53.9,,46.2,47.2,13.6,51.776,,26.0,,24.0
2017-07-10 15:47:00,2.0,9.003,821.0,756.0,407.0,0.008,26.0,24.0,25.8,25.5,54.0,,46.0,47.1,13.2,51.223,,26.0,,24.0
2017-07-10 15:48:00,2.0,8.53,820.0,754.0,407.0,0.01,26.0,24.0,25.8,25.6,54.0,,45.9,47.0,13.4,51.236000000000004,,26.0,,24.0
2017-07-10 15:49:00,2.0,9.033,818.0,752.0,412.0,0.01,26.0,24.0,25.9,25.6,53.9,,45.8,47.0,13.6,49.986999999999995,,26.0,,24.0
2017-07-10 15:50:00,2.0,9.017999999999999,814.0,752.0,412.0,0.011000000000000001,26.0,24.0,25.9,25.6,54.0,,45.7,46.7,13.7,49.339,,26.0,,24.0
2017-07-10 15:51:00,2.0,7.492000000000001,815.0,753.0,413.0,0.011000000000000001,26.0,24.0,25.9,25.6,54.1,,45.7,46.3,13.7,48.808,,26.0,,24.0
2017-07-10 15:52:00,2.0,8.27,814.0,752.0,412.0,0.006,26.0,24.0,25.9,25.6,54.1,,45.5,45.9,13.6,48.293,,26.0,,24.0
2017-07-10 15:53:00,2.0,7.568,812.0,748.0,415.0,0.006,26.0,24.0,26.0,25.5,54.3,,44.9,45.4,13.4,48.338,,26.0,,24.0
2017-07-10 15:54:00,2.0,7.385,811.0,748.0,414.0,0.013999999999999999,26.0,24.0,25.9,25.5,54.4,,44.4,45.2,13.5,48.192,,26.0,,24.0
2017-07-10 15:55:00,2.0,7.996,815.0,749.0,411.0,0.013999999999999999,26.0,24.0,25.9,25.4,54.6,,44.1,45.0,13.7,48.14100000000001,,26.0,,24.0
2017-07-10 15:56:00,2.0,6.836,813.0,745.0,411.0,0.019,26.0,24.0,25.9,25.4,54.5,,43.8,44.7,13.3,47.902,,26.0,,24.0
2017-07-10 15:57:00,2.0,6.683,811.0,738.0,411.0,0.019,26.0,24.0,25.8,25.3,54.6,,43.5,44.5,13.3,48.044,,26.0,,24.0
2017-07-10 15:58:00,2.0,7.233,812.0,738.0,407.0,0.024,26.0,24.0,25.8,25.3,54.6,,43.3,44.3,13.5,47.996,,26.0,,24.0
2017-07-10 15:59:00,2.0,7.004,807.0,737.0,405.0,0.024,26.0,24.0,25.8,25.2,54.7,,43.1,44.3,13.5,47.952,,26.0,,24.0
2017-07-10 16:00:00,2.0,6.607,804.0,738.0,403.0,0.023,22.0,24.0,25.7,25.2,54.6,,42.9,44.1,13.0,47.968999999999994,,22.0,,24.0
2017-07-10 16:01:00,2.0,7.187,805.0,734.0,403.0,0.023,22.0,24.0,25.7,25.2,54.7,,42.7,43.7,13.0,47.832,,22.0,,24.0
2017-07-10 16:02:00,2.0,7.095,807.0,730.0,400.0,0.023,22.0,24.0,25.7,25.2,54.7,,42.4,43.5,13.1,47.599,,22.0,,24.0
2017-07-10 16:03:00,2.0,6.8820000000000014,805.0,730.0,399.0,0.023,22.0,24.0,25.7,25.1,54.8,,42.3,43.6,13.2,47.65,,22.0,,24.0
2017-07-10 16:04:00,2.0,7.614,802.0,733.0,400.0,0.025,22.0,24.0,25.6,25.1,54.7,,42.2,44.0,13.3,47.611999999999995,,22.0,,24.0
2017-07-10 16:05:00,2.0,7.095,801.0,729.0,403.0,0.025,22.0,24.0,25.6,25.0,54.7,,42.1,45.2,13.7,48.692,,22.0,,24.0
2017-07-10 16:06:00,2.0,7.477,801.0,724.0,407.0,0.039,22.0,24.0,25.6,25.1,54.6,,43.4,46.2,13.7,50.49800000000001,,22.0,,24.0
2017-07-10 16:07:00,2.0,7.2479999999999976,796.0,724.0,403.0,0.039,22.0,24.0,25.5,25.1,54.5,,45.0,47.5,13.3,52.912,,22.0,,24.0
2017-07-10 16:08:00,2.0,7.202000000000001,793.0,724.0,407.0,0.015,22.0,23.0,25.5,25.2,54.5,,45.9,47.1,13.5,53.927,,22.0,,23.0
2017-07-10 16:09:00,2.0,5.768,790.0,720.0,405.0,0.015,22.0,23.0,25.6,25.2,54.4,,45.6,46.8,13.8,54.445,,22.0,,23.0
2017-07-10 16:10:00,2.0,7.126,789.0,717.0,406.0,0.006,22.0,23.0,25.6,25.3,54.3,,44.7,46.6,13.6,55.382,,22.0,,23.0
2017-07-10 16:11:00,2.0,6.867000000000001,787.0,715.0,406.0,0.006,22.0,23.0,25.6,25.3,54.2,,44.7,46.7,13.8,54.831,,22.0,,23.0
2017-07-10 16:12:00,2.0,7.4460000000000015,785.0,713.0,409.0,0.015,22.0,23.0,25.6,25.4,54.1,,45.0,46.6,14.1,54.41,,22.0,,23.0
2017-07-10 16:13:00,2.0,6.439,785.0,711.0,412.0,0.015,22.0,23.0,25.7,25.3,53.9,,45.0,46.8,14.2,54.271,,22.0,,23.0
2017-07-10 16:14:00,2.0,6.439,784.0,711.0,407.0,0.009000000000000001,22.0,23.0,25.7,25.4,53.8,,44.8,46.6,14.3,53.445,,22.0,,23.0
2017-07-10 16:15:00,2.0,7.05,783.0,709.0,409.0,0.009000000000000001,22.0,23.0,25.7,25.5,53.7,,44.6,46.5,13.9,52.808,,22.0,,23.0
2017-07-10 16:16:00,2.0,7.202000000000001,783.0,709.0,407.0,0.01,22.0,23.0,25.7,25.5,53.7,,44.9,46.5,14.4,51.787,,22.0,,23.0
2017-07-10 16:17:00,2.0,7.477,778.0,709.0,405.0,0.01,22.0,23.0,25.8,25.5,53.6,,44.8,46.3,14.3,50.305,,22.0,,23.0
2017-07-10 16:18:00,2.0,8.56,778.0,708.0,407.0,0.011000000000000001,22.0,23.0,25.9,25.5,53.6,,44.7,46.0,14.4,49.283,,22.0,,23.0
2017-07-10 16:19:00,2.0,6.989,777.0,702.0,407.0,0.011000000000000001,22.0,23.0,25.9,25.5,53.6,,44.9,45.6,14.5,48.378,,22.0,,23.0
2017-07-10 16:20:00,2.0,7.614,780.0,702.0,405.0,0.008,22.0,23.0,25.9,25.5,53.5,,44.5,45.3,14.0,48.308,,22.0,,23.0
2017-07-10 16:21:00,2.0,7.523,776.0,703.0,404.0,0.008,22.0,23.0,25.9,25.5,53.5,,44.0,45.0,14.2,48.295,,22.0,,23.0
2017-07-10 16:22:00,2.0,6.4239999999999995,769.0,700.0,406.0,0.013999999999999999,22.0,23.0,25.9,25.4,53.4,,43.6,44.7,14.2,47.835,,22.0,,23.0
2017-07-10 16:23:00,2.0,5.859,766.0,700.0,407.0,0.013999999999999999,22.0,23.0,25.9,25.3,53.5,,43.4,44.5,14.0,47.887,,22.0,,23.0
2017-07-10 16:24:00,2.0,6.1339999999999995,766.0,696.0,408.0,0.02,22.0,23.0,25.8,25.3,53.5,,43.3,44.4,13.9,47.65,,22.0,,23.0
2017-07-10 16:25:00,2.0,6.165,767.0,695.0,407.0,0.02,22.0,23.0,25.8,25.2,53.5,,43.0,44.1,13.8,47.733999999999995,,22.0,,23.0
2017-07-10 16:26:00,2.0,7.218,772.0,698.0,406.0,0.024,22.0,23.0,25.8,25.2,53.5,,42.8,44.1,13.9,47.276,,22.0,,23.0
2017-07-10 16:27:00,2.0,7.935,769.0,695.0,406.0,0.024,22.0,23.0,25.7,25.2,53.6,,42.6,43.7,13.6,47.235,,22.0,,23.0
2017-07-10 16:28:00,2.0,6.622000000000001,773.0,695.0,405.0,0.025,22.0,23.0,25.7,25.1,53.6,,42.3,43.7,13.8,47.383,,22.0,,23.0
2017-07-10 16:29:00,2.0,7.309,773.0,693.0,405.0,0.025,22.0,23.0,25.7,25.1,53.5,,42.2,43.5,13.6,47.246,,22.0,,23.0
2017-07-10 16:30:00,2.0,6.561,769.0,689.0,407.0,0.025,24.0,23.0,25.6,25.1,53.5,,41.9,43.7,13.4,47.048,,24.0,,23.0
2017-07-10 16:31:00,2.0,7.98,766.0,686.0,407.0,0.025,24.0,23.0,25.6,25.1,53.3,,41.9,44.3,13.2,49.18,,24.0,,23.0
2017-07-10 16:32:00,2.0,6.4239999999999995,764.0,687.0,404.0,0.028999999999999998,24.0,23.0,25.6,25.1,53.2,,42.5,44.2,13.3,50.351000000000006,,24.0,,23.0
2017-07-10 16:33:00,2.0,7.5379999999999985,762.0,684.0,406.0,0.028999999999999998,24.0,23.0,25.6,25.2,53.2,,42.8,44.2,13.1,50.486999999999995,,24.0,,23.0
2017-07-10 16:34:00,2.0,6.867000000000001,761.0,682.0,407.0,0.023,24.0,23.0,25.6,25.3,53.0,,42.9,44.2,13.1,51.015,,24.0,,23.0
2017-07-10 16:35:00,2.0,7.8279999999999985,758.0,684.0,409.0,0.023,24.0,23.0,25.6,25.3,52.8,,43.0,44.3,13.4,51.375,,24.0,,23.0
2017-07-10 16:36:00,2.0,7.019,758.0,683.0,411.0,0.02,24.0,23.0,25.6,25.4,52.6,,43.0,44.6,13.4,53.806000000000004,,24.0,,23.0
2017-07-10 16:37:00,2.0,6.699,752.0,686.0,408.0,0.02,24.0,23.0,25.7,25.4,52.5,,43.0,44.6,13.6,52.979,,24.0,,23.0
2017-07-10 16:38:00,2.0,7.1110000000000015,758.0,684.0,408.0,0.016,24.0,24.0,25.7,25.4,52.3,,43.1,44.7,13.7,52.272,,24.0,,24.0
2017-07-10 16:39:00,2.0,7.126,759.0,683.0,407.0,0.016,24.0,24.0,25.7,25.5,52.1,,43.1,44.7,13.6,51.381,,24.0,,24.0
2017-07-10 16:40:00,2.0,7.202000000000001,756.0,683.0,405.0,0.015,24.0,24.0,25.8,25.5,51.9,,43.1,44.7,13.8,51.119,,24.0,,24.0
2017-07-10 16:41:00,2.0,7.401,751.0,678.0,407.0,0.015,24.0,24.0,25.8,25.5,51.8,,43.1,44.8,13.9,50.13,,24.0,,24.0
2017-07-10 16:42:00,2.0,5.966,750.0,672.0,411.0,0.013999999999999999,24.0,24.0,25.8,25.6,51.7,,43.1,44.8,14.3,51.006,,24.0,,24.0
2017-07-10 16:43:00,2.0,8.667,748.0,672.0,409.0,0.013999999999999999,24.0,24.0,25.9,25.6,51.5,,43.1,44.8,14.4,50.26300000000001,,24.0,,24.0
2017-07-10 16:44:00,2.0,7.8279999999999985,745.0,670.0,408.0,0.013000000000000001,24.0,24.0,25.9,25.6,51.3,,43.2,44.8,14.3,49.745,,24.0,,24.0
2017-07-10 16:45:00,2.0,6.622000000000001,738.0,665.0,407.0,0.013000000000000001,24.0,24.0,26.0,25.7,51.2,,43.2,44.8,14.2,49.19,,24.0,,24.0
2017-07-10 16:46:00,2.0,6.287000000000001,739.0,665.0,408.0,0.013000000000000001,24.0,24.0,26.0,25.7,51.0,,43.2,44.8,14.4,48.888999999999996,,24.0,,24.0
2017-07-10 16:47:00,2.0,7.858,740.0,665.0,409.0,0.013000000000000001,24.0,24.0,26.0,25.7,50.9,,43.3,44.7,14.5,48.457,,24.0,,24.0
2017-07-10 16:48:00,2.0,9.567,739.0,662.0,410.0,0.013000000000000001,24.0,24.0,26.0,25.8,50.7,,43.3,44.6,14.5,48.726000000000006,,24.0,,24.0
2017-07-10 16:49:00,2.0,7.309,733.0,666.0,412.0,0.013000000000000001,24.0,24.0,26.1,25.8,50.6,,43.2,44.7,14.8,48.161,,24.0,,24.0
2017-07-10 16:50:00,2.0,6.271,733.0,668.0,413.0,0.015,24.0,24.0,26.1,25.8,50.4,,43.3,44.8,15.1,48.238,,24.0,,24.0
2017-07-10 16:51:00,2.0,5.615,732.0,666.0,412.0,0.015,24.0,24.0,26.1,25.8,50.3,,43.3,44.7,15.1,47.99100000000001,,24.0,,24.0
2017-07-10 16:52:00,2.0,6.119,736.0,665.0,406.0,0.015,24.0,24.0,26.2,25.9,50.2,,43.3,44.7,15.1,48.253,,24.0,,24.0
2017-07-10 16:53:00,2.0,6.348,735.0,664.0,403.0,0.015,24.0,24.0,26.2,25.9,50.0,,43.2,44.7,15.0,47.717,,24.0,,24.0
