Time,PM_MET_OUT,PM_MET_IN1,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR3,CO2_ETC_OUT,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR3,T_ETC_OUT,TS_HBI_GRL,TS_HBI_BR1,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_BA4,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR3,RH_ETC_OUT,RHS_HBI_GRL,RHS_HBI_BR1,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_BA4,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-10-19 15:42:00,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2017-10-19 15:43:00,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2017-10-19 15:44:00,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2017-10-19 15:45:00,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2017-10-19 15:46:00,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2017-10-19 15:47:00,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2017-10-19 15:48:00,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2017-10-19 15:49:00,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2017-10-19 15:50:00,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2017-10-19 15:51:00,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2017-10-19 15:52:00,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
2017-10-19 15:53:00,,,,,,,,<10,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,13.0
2017-10-19 15:54:00,,,,,,,,<10,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,13.0
2017-10-19 15:55:00,,,,,,,,<10,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,13.0
2017-10-19 15:56:00,,,,,,,,<10,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,13.0
2017-10-19 15:57:00,,,,,,,,<10,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,13.0
2017-10-19 15:58:00,,,,,,,,<10,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,13.0
2017-10-19 15:59:00,,,,,,,,<10,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,13.0
2017-10-19 16:00:00,21.714,20.0,688.0,683.0,651.0,696.0,374.0,<10,13.0,26.4,26.4,24.8,25.4,30.8,16.156111111111098,26.921111111111106,27.0399408,25.671111111111106,25.55,24.291111111111107,25.89,26.7688888888889,41.0,43.7,48.1,46.3,38.0,65.62100000000001,44.394,43.788,51.349,49.42100000000001,49.989,46.088,49.57899999999999,,7.3,,13.0
2017-10-19 16:01:00,22.553,20.0,690.0,683.0,656.0,690.0,373.0,<10,13.0,26.2,26.4,24.7,25.4,30.6,16.085,26.8972222222222,27.0399408,25.72,25.525,24.2672222222222,25.8411111111111,26.72,40.8,43.2,47.9,45.8,38.4,66.342,44.39100000000001,43.722,51.26,48.97,50.272,45.889,49.669,,7.3,,13.0
2017-10-19 16:02:00,23.209,19.0,686.0,681.0,652.0,683.0,373.0,<10,13.0,26.2,26.4,24.7,25.4,30.5,15.9888888888889,26.8722222222222,27.01605,25.767777777777802,25.4772222222222,24.2672222222222,25.7927777777778,26.671111111111106,40.7,42.8,47.3,45.6,38.6,66.88,44.029,43.621,51.172,48.611,49.89100000000001,45.462,50.07899999999999,,7.3,,13.0
2017-10-19 16:03:00,23.697,19.0,687.0,678.0,651.0,681.0,369.0,<10,13.0,26.0,26.4,24.7,25.4,30.4,15.87,26.8477777777778,27.01605,25.7927777777778,25.4527777777778,24.2427777777778,25.743888888888893,26.646111111111107,40.7,42.5,47.3,45.1,38.9,65.65899999999999,43.96100000000001,43.49100000000001,50.984,48.256,49.792,45.003,50.396,,7.3,,13.0
2017-10-19 16:04:00,20.356,18.0,691.0,674.0,651.0,681.0,368.0,<10,13.0,25.8,26.3,24.7,25.3,30.3,15.775,26.8477777777778,27.01605,25.8411111111111,25.427777777777802,24.2427777777778,25.695,26.6222222222222,40.7,41.9,47.0,44.5,39.3,66.199,43.798,43.425,50.831,47.932,49.729,44.835,50.008,,7.3,,13.0
2017-10-19 16:05:00,21.653,18.0,697.0,673.0,657.0,679.0,367.0,<10,13.0,25.7,26.3,24.7,25.3,30.2,15.6077777777778,26.8227777777778,27.01605,25.89,25.403888888888893,24.2188888888889,25.6472222222222,26.5977777777778,40.6,41.7,46.6,44.4,39.5,66.227,43.567,43.262,50.774,47.672,49.948,44.504,50.357,,7.3,,13.0
2017-10-19 16:06:00,21.927,18.0,689.0,665.0,656.0,680.0,367.0,<10,13.0,25.5,26.3,24.7,25.3,30.0,15.6077777777778,26.798888888888893,26.991048,25.938888888888894,25.38,24.195,25.5977777777778,26.548888888888893,40.6,41.3,46.3,43.9,39.8,66.637,43.695,43.194,50.653,47.347,49.913,44.142,50.542,,7.3,,13.0
