Time,PM_MET_OUT,PM_MET_IN1,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_OUT,TS_HBI_GRL,T_HBO_BA1,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_OUT,RHS_HBI_GRL,RH_HBO_BA1,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-11-11 15:42:00,,24,,,,,0.089,,<10,,,,,,,,,,,,,,,,,,7.3
2017-11-11 15:43:00,,25,,,,,0.088,,<10,,,,,,,,,,,,,,,,,,7.3
2017-11-11 15:44:00,,23,,,,,0.088,,<10,,,,,,,,,,,,,,,,,,7.3
2017-11-11 15:45:00,,23,,,,,0.089,,<10,,,,,,,,,,,,,,,,,,7.3
2017-11-11 15:46:00,,22,,,,,0.089,,<10,,,,,,,,,,,,,,,,,,7.3
2017-11-11 15:47:00,,22,,,,,0.085,,<10,,,,,,,,,,,,,,,,,,7.3
2017-11-11 15:48:00,,23,,,,,0.085,,<10,,,,,,,,,,,,,,,,,,7.3
2017-11-11 15:49:00,,21,,,,,0.087,<10,<10,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2017-11-11 15:50:00,,20,,,,,0.087,<10,<10,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2017-11-11 15:51:00,,20,,,,,0.085,<10,<10,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2017-11-11 15:52:00,,21,,,,,0.085,<10,<10,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2017-11-11 15:53:00,,20,,,,,0.086,<10,<10,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2017-11-11 15:54:00,,20,,,,,0.086,<10,<10,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2017-11-11 15:55:00,,19,,,,,0.085,<10,<10,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2017-11-11 15:56:00,,19,,,,,0.085,<10,<10,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2017-11-11 15:57:00,,19,,,,,0.084,<10,<10,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2017-11-11 15:58:00,,21,,,,,0.084,<10,<10,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2017-11-11 15:59:00,,18,,,,,0.084,<10,<10,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2017-11-11 16:00:00,16.8,19,529,566,455,394,0.084,<10,<10,23.7,23,24.1,26.1,24.07888889,24.4619568,20.77,48.1,50.4,46.8,40.1,51.198,50.393,55.331,NO2gb,,NO2gb,
2017-11-11 16:01:00,14.069,19,516,566,453,390,0.086,<10,<10,23.7,23,24.1,26,24.07888889,24.4619568,20.74611111,48.3,50.3,46.7,40.2,51.04,50.393,55.606,NO2gb,,NO2gb,
