Time,PM_MET_OUT,PM_MET_IN1,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR4,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR4,T_ETC_OUT,TS_HBI_BR1,T_HBO_BA1,T_HBO_BA2,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR4,RH_ETC_OUT,RHS_HBI_BR1,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2017-12-20 06:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:26:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-20 06:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
