Time,PM_MET_OUT,PM_MET_IN1,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,TS_HBI_GRD,TS_HBI_BR1,TS_HBI_BR3,T_HBO_BA1,T_HBO_BA2,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RHS_HBI_GRD,RHS_HBI_BR1,RHS_HBI_BR3,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2018-01-22 15:35:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:36:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:37:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:38:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:39:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:40:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:41:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:42:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:43:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:44:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:45:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:46:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:47:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:48:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:49:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:50:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:51:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:52:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:53:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:54:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:55:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-01-22 15:56:00,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,7.3,,
