Time,PM_MET_OUT,PM_MET_IN1,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_DEN,CO2_ETC_BR3,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_DEN,T_ETC_BR3,T_ETC_OUT,TS_HBI_GRD,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_DEN,RH_ETC_BR3,RH_ETC_OUT,RHS_HBI_GRD,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2018-03-09 15:48:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-03-09 15:49:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-03-09 15:50:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-03-09 15:51:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-03-09 15:52:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-03-09 15:53:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-03-09 15:54:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-03-09 15:55:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-03-09 15:56:00,,,,,,,,,<10,10.0,,,,,,,,,,,,,,,,,,,,,,7.3,,10.0
2018-03-09 15:57:00,,,,,,,,,<10,10.0,,,,,,,,,,,,,,,,,,,,,,7.3,,10.0
2018-03-09 15:58:00,,,,,,,,,<10,10.0,,,,,,,,,,,,,,,,,,,,,,7.3,,10.0
2018-03-09 15:59:00,,,,,,,,,<10,10.0,,,,,,,,,,,,,,,,,,,,,,7.3,,10.0
2018-03-09 16:00:00,6.989,2.0,357.0,706.0,721.0,713.0,613.0,0.107,<10,10.0,23.1,21.4,22.9,25.9,23.0,23.933888888888895,21.8928624,24.2427777777778,22.6088888888889,22.0822222222222,44.7,42.5,37.9,30.3,37.6,42.74800000000001,43.966,51.979,41.982,51.212,,7.3,,10.0
2018-03-09 16:01:00,5.097,2.0,357.0,700.0,716.0,716.0,613.0,0.023,<10,10.0,23.1,21.4,22.9,25.9,23.1,23.933888888888895,21.8928624,24.146111111111107,22.6088888888889,22.0338888888889,44.7,42.5,37.8,30.4,37.3,40.892,43.966,50.922,41.949,50.89100000000001,,7.3,,10.0
2018-03-09 16:02:00,5.646,4.0,355.0,695.0,716.0,718.0,616.0,0.103,<10,10.0,23.1,21.4,22.9,25.9,23.1,23.9577777777778,21.9167532,24.05,22.6088888888889,22.011111111111106,44.7,42.5,37.8,30.4,37.4,41.84,43.937,50.37,41.949,51.328,,7.3,,10.0
2018-03-09 16:03:00,5.051,2.0,353.0,695.0,711.0,724.0,616.0,0.021,<10,10.0,23.1,21.4,22.9,25.9,23.1,23.9577777777778,21.9167532,23.953888888888894,22.6088888888889,21.9872222222222,45.3,42.6,38.1,30.4,37.5,42.588,43.937,48.736,41.949,52.20399999999999,,7.3,,10.0
2018-03-09 16:04:00,5.432,2.0,357.0,689.0,706.0,725.0,611.0,0.103,<10,10.0,23.0,21.5,22.9,25.9,23.1,23.9577777777778,21.9167532,23.857222222222198,22.6088888888889,21.938888888888894,45.6,42.5,38.3,30.6,37.7,40.96,43.937,48.5,42.04600000000001,51.476000000000006,,7.3,,10.0
2018-03-09 16:05:00,5.249,2.0,356.0,688.0,704.0,724.0,615.0,0.022,<10,10.0,23.0,21.5,22.9,25.9,23.1,23.982222222222198,21.9167532,23.785,22.6327777777778,21.8911111111111,45.4,42.5,38.1,30.4,37.7,42.591,43.937,48.012,41.919,52.536,,7.3,,10.0
2018-03-09 16:06:00,5.325,2.0,357.0,688.0,706.0,725.0,619.0,0.106,<10,10.0,22.9,21.4,22.9,25.9,23.1,23.982222222222198,21.9167532,23.688888888888894,22.6327777777778,21.8188888888889,45.9,42.4,38.1,30.5,38.1,41.027,43.969,47.776,41.79,52.181,,7.3,,10.0
2018-03-09 16:07:00,5.936,2.0,358.0,692.0,704.0,728.0,625.0,0.022,<10,10.0,22.9,21.5,22.9,25.9,23.1,23.982222222222198,21.940644,23.6172222222222,22.6327777777778,21.7722222222222,45.8,42.4,38.4,30.5,38.0,40.995,43.972,47.192,41.595,52.957,,7.3,,10.0
2018-03-09 16:08:00,5.768,2.0,358.0,691.0,704.0,732.0,632.0,0.106,<10,10.0,22.9,21.5,22.8,26.0,23.1,24.006111111111107,21.940644,23.5688888888889,22.6327777777778,21.723888888888894,46.3,42.5,38.5,30.5,37.9,40.769,44.036,46.192,41.562,53.075,,7.3,,10.0
2018-03-09 16:09:00,5.768,2.0,355.0,687.0,704.0,732.0,639.0,0.022,<10,10.0,22.8,21.5,22.9,26.0,23.1,24.0311111111111,21.940644,23.4972222222222,22.6327777777778,21.6761111111111,46.6,42.5,38.4,30.5,37.9,40.837,44.036,47.305,41.53,53.537,,7.3,,10.0
2018-03-09 16:10:00,5.31,3.0,355.0,683.0,706.0,732.0,641.0,0.105,<10,10.0,22.8,21.5,22.9,26.0,23.1,24.0311111111111,21.940644,23.423888888888893,22.6327777777778,21.6277777777778,46.9,42.2,38.4,30.6,37.7,40.869,44.036,47.008,41.497,53.56100000000001,,7.3,,10.0
2018-03-09 16:11:00,6.21,2.0,359.0,682.0,701.0,734.0,639.0,0.019,<10,10.0,22.8,21.5,22.9,26.0,23.1,24.078888888888894,21.940644,23.3761111111111,22.6327777777778,21.603888888888893,46.9,42.5,38.5,30.6,37.7,41.07100000000001,44.133,46.136,41.4,53.838,,7.3,,10.0
2018-03-09 16:12:00,5.035,2.0,357.0,680.0,700.0,735.0,634.0,0.102,<10,10.0,22.7,21.5,22.9,26.0,23.1,24.1027777777778,21.940644,23.3038888888889,22.6572222222222,21.603888888888893,47.1,42.5,38.1,30.6,37.7,41.106,44.101000000000006,45.485,41.305,53.62,,7.3,,10.0
2018-03-09 16:13:00,6.027,3.0,357.0,680.0,700.0,737.0,630.0,0.021,<10,10.0,22.7,21.5,22.9,26.0,23.1,24.151111111111106,21.940644,23.256111111111107,22.6572222222222,21.5572222222222,47.1,42.4,38.4,30.6,37.9,41.111,44.101000000000006,45.222,41.273,52.989,,7.3,,10.0
2018-03-09 16:14:00,5.478,2.0,359.0,684.0,699.0,744.0,628.0,0.099,<10,10.0,22.7,21.5,22.9,26.0,23.1,24.1988888888889,21.9645348,23.2077777777778,22.6572222222222,21.508888888888894,46.8,42.5,38.5,30.6,37.8,41.084,44.039,45.409,41.273,52.983,,7.3,,10.0
2018-03-09 16:15:00,6.561,2.0,358.0,687.0,695.0,737.0,634.0,0.021,<10,10.0,22.6,21.5,22.9,26.0,23.1,24.2227777777778,21.9645348,23.183888888888895,22.6572222222222,21.4611111111111,46.6,42.5,38.4,30.6,38.8,41.087,44.103,45.88800000000001,41.273,53.132,,7.3,,10.0
2018-03-09 16:16:00,5.066,2.0,355.0,688.0,696.0,734.0,643.0,0.104,<10,10.0,22.6,21.5,22.9,26.0,23.2,24.2722222222222,21.9889812,23.136111111111106,22.6572222222222,21.4127777777778,46.6,42.5,38.1,30.7,38.5,41.418,44.074,45.85,41.273,53.125,,7.3,,10.0
2018-03-09 16:17:00,4.944,2.0,359.0,687.0,696.0,736.0,646.0,0.02,<10,10.0,22.6,21.5,22.9,26.1,23.2,24.247777777777802,21.9889812,23.1122222222222,22.6572222222222,21.366111111111106,46.6,42.6,38.1,30.7,38.1,41.905,44.106,46.04,41.37,53.368,,7.3,,10.0
2018-03-09 16:18:00,5.051,2.0,363.0,689.0,693.0,734.0,643.0,0.105,<10,10.0,22.5,21.6,22.9,26.1,23.2,24.247777777777802,21.9889812,23.087777777777802,22.6572222222222,21.3177777777778,46.7,42.6,38.4,30.6,38.0,43.595,44.17100000000001,44.945,41.468,53.112,,7.3,,10.0
2018-03-09 16:19:00,5.051,2.0,357.0,689.0,688.0,734.0,636.0,0.02,<10,10.0,22.5,21.6,22.9,26.1,23.2,24.2227777777778,22.012872,23.063888888888894,22.6572222222222,21.27,46.6,42.6,38.3,30.9,38.2,41.707,44.173,44.749,41.565,53.261,,7.3,,10.0
