Time,PM_MET_OUT,PM_MET_IN1,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR4,CO2_ETC_BR3,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR4,T_ETC_BR3,T_ETC_OUT,TS_HBI_GRL,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR4,RH_ETC_BR3,RH_ETC_OUT,RHS_HBI_GRL,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2018-02-23 15:40:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:41:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:42:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:43:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:44:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:45:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:46:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:47:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:48:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:49:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:50:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:51:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:52:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:53:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:54:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:55:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,
2018-02-23 15:56:00,,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-02-23 15:57:00,,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-02-23 15:58:00,,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-02-23 15:59:00,,,,,,,,0.015,<10,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3,,7.3
2018-02-23 16:00:00,1.3730000000000002,1.0,587.0,793.0,580.0,1337.0,376.0,0.015,<10,<10,24.5,22.4,23.5,24.3,21.9,24.92388889,21.462828,21.93888889,23.905,23.18388889,20.00722222,26.8,30.9,27.9,30.0,11.8,29.075,19.469,20.497,32.625,29.441,16.764,,7.3,,7.3
2018-02-23 16:01:00,0.977,1.0,592.0,789.0,580.0,1346.0,376.0,0.013,<10,<10,24.5,22.4,23.6,24.3,22.9,24.92388889,21.462828,21.93888889,23.905,23.18388889,20.15,26.8,31.1,27.9,30.0,11.3,29.075,20.227,20.394,32.591,29.407,16.459,,7.3,,7.3
2018-02-23 16:02:00,1.709,1.0,593.0,792.0,580.0,1352.0,378.0,0.013,<10,<10,24.5,22.5,23.5,24.3,22.6,24.92388889,21.462828,21.93888889,23.905,23.18388889,20.17388889,26.8,31.0,27.9,29.9,11.3,29.041,19.952,20.463,32.625,29.744,16.218,,7.3,,7.3
2018-02-23 16:03:00,2.014,1.0,589.0,795.0,571.0,1353.0,381.0,0.012,<10,<10,24.5,22.5,23.6,24.3,21.6,24.94777778,21.4867188,21.93888889,23.905,23.23222222,20.12611111,26.8,31.2,27.9,30.0,13.0,29.077,20.091,21.219,32.491,29.95,16.25,,7.3,,7.3
2018-02-23 16:04:00,3.0210000000000004,1.0,583.0,796.0,573.0,1343.0,376.0,0.012,<10,<10,24.5,22.5,23.6,24.3,22.4,24.94777778,21.4867188,21.93888889,23.88111111,23.23222222,19.98388889,26.7,30.9,27.9,29.8,12.6,29.01,19.333,20.6,32.522,29.95,17.281,,7.3,,7.3
2018-02-23 16:05:00,2.075,1.0,587.0,791.0,578.0,1319.0,380.0,0.011,<10,<10,24.5,22.5,23.6,24.3,22.1,24.94777778,21.5106096,21.93888889,23.88111111,23.25611111,19.79277778,26.8,30.6,27.9,29.6,13.0,29.01,19.541,20.669,32.355,30.154,17.857,,7.3,,7.3
2018-02-23 16:06:00,1.251,1.0,587.0,787.0,582.0,1230.0,378.0,0.011,<10,<10,24.5,22.5,23.6,24.3,22.0,24.97277778,21.5106096,21.93888889,23.88111111,23.28,19.60277778,26.7,30.4,27.9,29.3,13.1,29.011,20.024,24.298,32.054,30.156,17.985,,7.3,,7.3
2018-02-23 16:07:00,1.953,1.0,581.0,780.0,577.0,1209.0,381.0,0.012,<10,<10,24.5,22.5,23.6,24.3,21.5,24.94777778,21.5106096,21.96277778,23.85722222,23.28,19.38888889,26.7,30.5,27.9,29.2,13.7,29.043000000000006,20.78,22.216,31.683000000000003,30.29,18.317,,7.3,,7.3
2018-02-23 16:08:00,1.923,1.0,583.0,771.0,578.0,1118.0,380.0,0.012,<10,<10,24.5,22.5,23.6,24.3,21.7,24.97277778,21.5106096,21.96277778,23.85722222,23.32777778,19.31777778,26.7,30.8,27.9,29.1,13.6,29.011,20.505,21.015,31.448,30.362,18.657,,7.3,,7.3
2018-02-23 16:09:00,2.121,1.0,581.0,767.0,580.0,1103.0,379.0,0.011,<10,<10,24.5,22.5,23.6,24.3,21.5,24.97277778,21.5345004,21.96277778,23.85722222,23.35222222,19.27,26.7,30.5,28.0,28.7,13.5,29.011,20.025,21.152,31.481,30.296,18.723,,7.3,,7.3
2018-02-23 16:10:00,2.411,1.0,583.0,756.0,584.0,954.0,376.0,0.011,10.0,<10,24.5,22.5,23.6,24.3,22.1,24.97277778,21.5345004,21.96277778,23.85722222,23.35222222,19.19888889,26.7,30.5,27.9,28.7,13.4,29.011,20.644,21.633000000000006,31.28,29.926,18.65,,10.0,,7.3
2018-02-23 16:11:00,2.6860000000000004,1.0,585.0,750.0,590.0,949.0,376.0,0.012,10.0,<10,24.5,22.5,23.6,24.3,21.6,24.99722222,21.5345004,21.96277778,23.83277778,23.35222222,19.08,26.8,30.2,27.9,28.8,14.1,28.946,20.369,22.49,30.673,29.859,19.227,,10.0,,7.3
2018-02-23 16:12:00,1.526,1.0,593.0,746.0,587.0,945.0,378.0,0.012,10.0,<10,24.5,22.5,23.6,24.3,21.4,24.99722222,21.5589468,21.98722222,23.80888889,23.32777778,18.79388889,26.8,29.7,27.9,28.8,14.7,29.013,20.026,24.302,30.671,29.689,19.587,,10.0,,7.3
2018-02-23 16:13:00,1.45,1.0,599.0,745.0,590.0,942.0,381.0,0.011,10.0,<10,24.5,22.5,23.6,24.3,21.3,24.99722222,21.5589468,21.98722222,23.80888889,23.32777778,18.58,26.8,30.0,28.0,28.9,15.0,29.013,22.052,22.731,30.536,29.689,20.6,,10.0,,7.3
2018-02-23 16:14:00,2.594,1.0,599.0,743.0,594.0,940.0,379.0,0.011,10.0,<10,24.5,22.5,23.6,24.3,20.4,24.99722222,21.5589468,21.98722222,23.785,23.32777778,18.36611111,26.8,29.7,28.0,28.9,15.8,29.047,20.818,22.115,30.434,29.621,21.166,,10.0,,7.3
2018-02-23 16:15:00,2.564,1.0,593.0,740.0,596.0,939.0,379.0,0.012,10.0,<10,24.6,22.5,23.6,24.3,21.0,24.99722222,21.5828376,21.98722222,23.785,23.32777778,18.295,26.8,29.7,28.0,29.0,15.4,29.013,20.716,23.893,30.4,29.689,21.127,,10.0,,7.3
2018-02-23 16:16:00,2.121,1.0,593.0,734.0,608.0,939.0,379.0,0.012,10.0,<10,24.6,22.5,23.6,24.3,21.8,24.99722222,21.5828376,21.98722222,23.76111111,23.30388889,18.17611111,26.9,29.8,28.1,28.9,14.7,29.081,21.746,22.526,30.263,29.619,21.222,,10.0,,7.3
2018-02-23 16:17:00,2.197,1.0,596.0,733.0,621.0,938.0,381.0,0.013,10.0,<10,24.6,22.5,23.6,24.3,20.9,24.99722222,21.6056172,21.98722222,23.73722222,23.30388889,18.08111111,26.9,29.8,28.1,28.9,15.6,29.047,21.713,22.491,30.16,29.754,21.658,,10.0,,7.3
2018-02-23 16:18:00,1.526,1.0,600.0,730.0,633.0,937.0,382.0,0.013,10.0,<10,24.6,22.5,23.6,24.3,20.2,24.99722222,21.6056172,22.01111111,23.71277778,23.28,17.98611111,26.9,29.6,28.1,29.0,16.0,29.081,21.953000000000007,23.246,30.259,29.685,21.38,,10.0,,7.3
2018-02-23 16:19:00,1.785,1.0,606.0,726.0,640.0,936.0,380.0,0.012,10.0,<10,24.6,22.6,23.6,24.3,20.2,24.99722222,21.6056172,22.01111111,23.71277778,23.28,17.77222222,26.9,29.6,28.1,29.0,15.9,29.149,20.855,25.935,30.057,29.685,21.502,,10.0,,7.3
2018-02-23 16:20:00,2.35,1.0,606.0,724.0,640.0,936.0,383.0,0.012,10.0,<10,24.6,22.5,23.6,24.3,19.9,24.99722222,21.6056172,22.01111111,23.68888889,23.28,17.605,26.9,29.6,28.1,29.0,15.9,29.149,21.541,24.78,29.988000000000003,29.752,21.559,,10.0,,7.3
2018-02-23 16:21:00,2.213,1.0,602.0,720.0,642.0,939.0,383.0,0.011,10.0,<10,24.6,22.6,23.6,24.3,20.4,24.97277778,21.6056172,22.01111111,23.665,23.28,17.46277778,26.9,29.5,28.1,29.0,15.8,29.147,21.301,22.869,30.087,29.685,21.55,,10.0,,7.3
2018-02-23 16:22:00,1.968,1.0,606.0,718.0,638.0,946.0,380.0,0.011,10.0,<10,24.6,22.6,23.6,24.3,19.4,24.99722222,21.629508,22.01111111,23.665,23.28,17.27222222,26.9,29.4,28.1,29.1,17.0,29.149,20.788,22.322,29.716,29.752,22.08,,10.0,,7.3
2018-02-23 16:23:00,2.258,1.0,606.0,713.0,635.0,949.0,383.0,0.012,10.0,<10,24.6,22.6,23.6,24.3,19.1,24.97277778,21.629508,22.01111111,23.64111111,23.28,17.17722222,26.9,29.1,28.1,29.1,17.4,29.181,20.925,25.12,29.748,29.685,22.447,,10.0,,7.3
2018-02-23 16:24:00,1.999,1.0,616.0,712.0,630.0,954.0,383.0,0.012,10.0,<10,24.6,22.6,23.6,24.3,19.4,24.97277778,21.629508,22.01111111,23.61722222,23.28,17.03388889,26.9,29.3,28.1,29.1,17.3,29.215,20.513,22.767,30.049,29.718000000000004,22.741,,10.0,,7.3
2018-02-23 16:25:00,1.862,1.0,622.0,704.0,626.0,952.0,388.0,0.011,10.0,<10,24.6,22.6,23.6,24.3,19.2,24.97277778,21.629508,22.01111111,23.61722222,23.28,16.725,26.9,29.6,28.1,29.1,17.5,29.215,21.749,22.116,29.577,29.718000000000004,23.058000000000003,,10.0,,7.3
2018-02-23 16:26:00,3.113,1.0,633.0,699.0,619.0,952.0,392.0,0.011,10.0,<10,24.6,22.6,23.6,24.3,19.6,24.97277778,21.6539544,22.01111111,23.61722222,23.25611111,16.415,26.9,29.4,28.1,29.2,16.7,29.215,21.339,21.361,29.476,29.75,23.509,,10.0,,7.3
