Time,PM_MET_OUT,PM_MET_IN1,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_OUT,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_OUT,TS_HBI_LOFT,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_OUT,RHS_HBI_LOFT,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2018-03-06 15:37:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3
2018-03-06 15:38:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3
2018-03-06 15:39:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3
2018-03-06 15:40:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3
2018-03-06 15:41:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3
2018-03-06 15:42:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3
2018-03-06 15:43:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3
2018-03-06 15:44:00,,,,,,,,,<10,,,,,,,,,,,,,,,,,,,,,,,,7.3
2018-03-06 15:45:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:46:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:47:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:48:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:49:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:50:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:51:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:52:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:53:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:54:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:55:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:56:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:57:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:58:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 15:59:00,,,,,,,,<10,<10,,,,,,,,,,,,,,,,,,,,,NO2gb,,NO2gb,
2018-03-06 16:00:00,0.8240000000000001,2.0,801.0,733.0,716.0,375.0,0.022,<10,<10,21.9,21.9,24.0,23.2,23.93388889,23.2579716,23.18388889,,,22.82388889,37.0,38.8,34.4,9.3,37.742,27.317,37.567,,,12.287,NO2gb,,NO2gb,
2018-03-06 16:01:00,0.748,2.0,811.0,727.0,723.0,373.0,0.021,<10,<10,21.9,21.9,24.0,23.2,23.93388889,23.2818624,23.18388889,,,22.82388889,37.0,40.0,34.4,9.3,37.775,29.078000000000007,37.6,,,11.44,NO2gb,,NO2gb,
2018-03-06 16:02:00,0.763,2.0,814.0,730.0,736.0,375.0,0.022,<10,<10,21.9,21.9,24.0,23.1,23.93388889,23.2818624,23.20777778,,,22.8,37.4,39.0,34.5,9.7,37.874,29.752,37.668,,,12.145,NO2gb,,NO2gb,
2018-03-06 16:03:00,0.809,2.0,819.0,730.0,752.0,377.0,0.03,<10,<10,21.9,21.9,24.1,23.2,23.93388889,23.2818624,23.20777778,,,22.75277778,37.6,39.1,34.6,9.6,37.874,28.808000000000003,37.734,,,13.199000000000002,NO2gb,,NO2gb,
2018-03-06 16:04:00,3.922,2.0,836.0,730.0,813.0,377.0,0.02,<10,<10,21.9,21.9,24.1,23.1,23.93388889,23.2818624,23.20777778,,,22.705,38.2,38.8,34.7,10.0,38.005,28.943,37.865,,,13.513,NO2gb,,NO2gb,
2018-03-06 16:05:00,1.785,2.0,845.0,731.0,813.0,379.0,0.031,<10,<10,21.9,21.9,24.1,23.1,23.93388889,23.3057532,23.20777778,,,22.63277778,38.3,39.0,34.7,9.9,38.038,28.066,37.898,,,13.826,NO2gb,,NO2gb,
2018-03-06 16:06:00,1.48,2.0,856.0,734.0,813.0,380.0,0.021,<10,<10,22.0,21.9,24.1,23.1,23.93388889,23.3057532,23.23222222,,,22.585,38.6,38.6,34.6,10.1,38.203,29.248,38.065,,,14.034,NO2gb,,NO2gb,
2018-03-06 16:07:00,0.748,2.0,856.0,734.0,803.0,379.0,0.031,<10,11.0,22.0,21.9,24.1,23.0,23.93388889,23.3057532,23.23222222,,,22.56111111,38.2,38.9,34.6,10.2,38.137,29.518,38.032,,,13.822,NO2gb,,NO2gb,
2018-03-06 16:08:00,0.946,2.0,869.0,732.0,801.0,379.0,0.02,<10,11.0,22.0,22.0,24.1,23.0,23.95777778,23.329644,23.23222222,,,22.51277778,38.0,39.0,34.5,10.2,38.337,28.744,38.131,,,14.031,NO2gb,,NO2gb,
2018-03-06 16:09:00,0.748,2.0,891.0,733.0,810.0,379.0,0.038,<10,11.0,22.0,22.0,24.1,23.0,23.95777778,23.329644,23.23222222,,,22.465,38.4,38.8,34.6,10.0,38.205,30.16,38.229,,,13.993,NO2gb,,NO2gb,
2018-03-06 16:10:00,0.9,2.0,905.0,736.0,829.0,377.0,0.02,<10,11.0,22.0,22.0,24.1,23.0,23.95777778,23.329644,23.23222222,,,22.51277778,38.2,38.9,34.5,10.1,38.534,30.899,38.262,,,13.469,NO2gb,,NO2gb,
2018-03-06 16:11:00,0.748,2.0,928.0,740.0,835.0,380.0,0.046,<10,11.0,22.0,22.0,24.1,22.9,23.95777778,23.3540904,23.23222222,,,22.53722222,38.7,39.1,34.5,10.3,38.797,29.893,38.295,,,14.242,NO2gb,,NO2gb,
2018-03-06 16:12:00,1.16,2.0,967.0,745.0,835.0,379.0,0.017,<10,11.0,22.0,22.0,24.1,22.9,23.95777778,23.3540904,23.23222222,,,22.53722222,38.3,38.8,34.5,10.2,38.732,32.976,38.361,,,14.032,NO2gb,,NO2gb,
2018-03-06 16:13:00,1.19,3.0,1006.0,757.0,830.0,381.0,0.058,<10,11.0,22.0,22.0,24.1,22.9,23.93388889,23.3540904,23.25611111,,,22.53722222,38.4,39.0,34.5,10.6,38.861,30.094,38.462,,,14.312,NO2gb,,NO2gb,
2018-03-06 16:14:00,0.87,3.0,1036.0,768.0,823.0,381.0,0.018000000000000002,<10,11.0,22.0,22.0,24.2,22.9,23.93388889,23.3779812,23.25611111,,,22.51277778,38.7,39.5,34.6,10.5,38.828,31.172,38.56,,,13.329,NO2gb,,NO2gb,
