Time,PM_MET_OUT,PM_MET_IN1,CO2_ETC_IN1,CO2_ETC_BR1,CO2_ETC_BR2,CO2_ETC_BR3,CO2_ETC_BR4,NO2_AQL_IN1,FRM_FMM_IN1,FRM_FMM_BR1,T_ETC_IN1,T_ETC_BR1,T_ETC_BR2,T_ETC_BR3,T_ETC_BR4,TS_HBI_LOFT,T_HBO_BA1,T_HBO_BA2,T_HBO_BA3,T_HBO_LAU,T_HBO_OUT,RH_ETC_IN1,RH_ETC_BR1,RH_ETC_BR2,RH_ETC_BR3,RH_ETC_BR4,RHS_HBI_LOFT,RH_HBO_BA1,RH_HBO_BA2,RH_HBO_BA3,RH_HBO_LAU,RH_HBO_OUT,FRM_FLG_IN1,FRM_ADJ_IN1,FRM_FLG_BR1,FRM_ADJ_BR1
2018-03-12 15:36:00,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2018-03-12 15:37:00,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2018-03-12 15:38:00,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2018-03-12 15:39:00,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2018-03-12 15:40:00,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2018-03-12 15:41:00,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
2018-03-12 15:42:00,,,,,,,,,23.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,,20.0
2018-03-12 15:43:00,,,,,,,,,23.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,,20.0
2018-03-12 15:44:00,,,,,,,,,23.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,,20.0
2018-03-12 15:45:00,,,,,,,,,23.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,,20.0
2018-03-12 15:46:00,,,,,,,,,23.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,,20.0
2018-03-12 15:47:00,,,,,,,,,23.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,,20.0
2018-03-12 15:48:00,,,,,,,,,23.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,23.0,,20.0
